"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8"
"ENGL 110","-0.8899999999999864","-0.0350000000000108","0.020000000000010232","-0.010000000000005116","0.0","0.0","0.0","0.0"
"MATH 162","-0.2849999999999966","0.07499999999998863","-0.07499999999996021","-0.09999999999999432","-0.01999999999999602","-0.01999999999999602","0.0","0.0"
"ECE 101","0.0800000000000125","-0.03499999999998238","0.0","0.0","0.0","0.0","0.0","0.0"
"ECE 131","0.37999999999999545","0.1700000000000017","-0.044999999999973284","-0.005000000000009663","0.0","0.0","0.0","0.0"
"PHYC 160","0.22500000000000853","0.1349999999999909","-0.09000000000001762","-0.0549999999999784","-0.03499999999998238","0.0","-0.0049999999999954525","0.0"
"ENGL 120","0.0","-0.4099999999999824","0.06500000000002615","-0.01999999999998181","-0.015000000000000568","-0.009999999999990905","0.0","0.0"
"MATH 163","0.0","-0.75","0.21999999999997044","-0.06999999999999318","-0.15499999999998693","-0.009999999999990905","0.01999999999999602","0.004999999999981242"
"PHYC 161","0.0","0.2650000000000148","0.3350000000000364","0.010000000000033538","0.06500000000001194","-0.03499999999996817","-0.025000000000005684","-0.0049999999999954525"
"PHYC 161L","0.0","0.13500000000000512","0.11499999999996646","-0.07000000000003581","-0.05499999999999261","-0.029999999999986926","-0.0049999999999954525","-0.0049999999999954525"
"ECE 231","0.0","0.25000000000004263","0.1699999999999875","0.020000000000038654","0.014999999999986358","-0.015000000000000568","0.0","0.0"
"ECE 203","0.0","0.0","-0.5749999999999957","0.26499999999998636","-1.4210854715202004e-14","-0.20999999999997954","-0.08500000000000796","0.010000000000033538"
"ECE 238L","0.0","0.13500000000000512","0.13500000000000512","0.010000000000019327","-0.005000000000009663","0.015000000000000568","0.010000000000005116","0.0"
"Basic Science","-0.2749999999999915","0.020000000000024443","-0.0899999999999892","-0.0049999999999954525","0.005000000000009663","0.0","0.0","0.0"
"Basic Science Lab","-0.13500000000000512","-0.28000000000000114","-0.0800000000000125","-0.044999999999987494","-0.009999999999990905","0.0","0.0","0.0"
"ENGL 219","0.0","0.0","-0.29500000000004434","-0.05500000000003524","-0.01500000000001478","-0.01999999999999602","-0.015000000000000568","0.0"
"ECON 105","0.0","-0.6899999999999995","-0.1699999999999875","-0.15500000000000114","-0.08499999999999375","0.020000000000010232","0.010000000000005116","0.0049999999999954525"
"ECE 206L","0.0","0.0","0.0","-0.5699999999999932","0.3050000000000068","-0.004999999999981242","-0.20999999999996533","-0.09500000000001307"
"ECE 300","0.0","0.0","-0.9299999999999926","0.05999999999998806","-0.14000000000001478","-0.12000000000004718","-0.030000000000001137","0.045000000000001705"
"ECE 213","0.0","0.0","0.0","-0.3650000000000162","0.3500000000000085","0.09000000000004604","-0.2300000000000182","-0.13000000000002387"
"MATH 264","0.0","0.0","-0.2799999999999976","0.20999999999999375","0.10999999999999943","-0.17499999999998295","-0.025000000000005684","-0.014999999999986358"
"ECE 330","0.0","0.0","0.21999999999999176","0.3300000000000125","-0.009999999999976694","0.009999999999990905","-0.01999999999999602","0.0"
"ECE 321L","0.0","0.0","0.0","0.0","-0.21000000000000796","0.27499999999997726","0.004999999999981242","-0.23499999999999943"
"MATH 327","0.0","0.0","-0.060000000000000164","-0.6550000000000153","0.2499999999999858","-0.06500000000002615","0.10999999999999943","-0.01999999999999602"
"ECE 314","0.0","0.0","0.0","0.0","-0.4099999999999966","0.555000000000021","0.14499999999999602","-0.14999999999997726"
"ECE 340","0.0","0.0","0.0","-0.6150000000000091","0.20000000000001705","-0.38000000000000966","-0.15999999999998238","-0.004999999999981242"
"Second Language","0.0","0.0","0.6850000000000023","0.7699999999999889","-0.21000000000003638","0.08999999999997499","0.03499999999998238","0.010000000000005116"
"ECE 335","0.0","0.0","0.0","0.014999999999997016","0.15999999999998238","-0.04000000000000625","0.015000000000000568","-0.01999999999999602"
"ECE 331","0.0","0.0","0.0","0.0","-0.8400000000000034","0.2749999999999915","0.06500000000002615","0.06499999999999773"
"ECE 344L","0.0","0.0","0.0","0.0","0.0","0.1700000000000017","0.10999999999998522","0.2750000000000057"
"Social Sciences","0.0","0.0","-0.05499999999999999","0.004999999999999005","0.3749999999999929","-0.24500000000000455","-0.020000000000010232","-0.03499999999998238"
"ECE 419","0.0","0.0","0.0","-0.46000000000000085","-0.4450000000000003","0.005000000000009663","-0.049999999999968736","0.0049999999999954525"
"ECE 437","0.0","0.0","0.0","-0.0250000000000008","-0.019999999999999574","0.2599999999999909","0.07000000000003581","-0.025000000000005684"
"ECE 435","0.0","0.0","0.0","0.0","0.065","-0.5300000000000011","-0.009999999999990905","0.07500000000000284"
"Tech Elective","0.0","0.0","0.0","0.004999999999999893","-0.03500000000000103","-0.7399999999999984","-0.4399999999999977","-0.1600000000000108"
"Humanities","0.0","0.0","0.0","-0.005000000000000003","0.10000000000000009","-0.019999999999999574","0.03000000000002956","0.10000000000000853"
"ECE 420","0.0","0.0","0.0","0.0","0.08499999999999952","0.1250000000000009","0.3050000000000068","0.0549999999999784"
"ECE 440","0.0","0.0","0.0","0.0","0.03500000000000025","0.2699999999999996","-0.22999999999999687","0.2949999999999733"
"Tech Elective","0.0","0.0","0.0","0.0","0.009999999999999995","0.12000000000000033","-0.7449999999999903","-0.05500000000002103"
"Fine Arts","0.0","0.0","0.0","0.0","0.0","0.2499999999999999","1.870000000000001","7.829999999999998"
"Humanities","0.0","0.0","0.0","0.0","0.0","0.050000000000000044","-0.23499999999999943","-0.4900000000000091"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","0.06499999999999906","4.7350000000000065"
