"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8"
"ENGL 110","-0.16500000000000625","-0.09499999999998465","-2.842170943040401e-14","-0.015000000000000568","0.0","0.0","0.0","0.0"
"MATH 162","0.15500000000000114","0.11499999999998067","0.025000000000019895","-0.09000000000000341","-0.014999999999986358","-0.0049999999999954525","-0.0049999999999954525","0.0"
"ECE 101","0.3200000000000074","-0.0049999999999954525","-0.0049999999999954525","-0.0049999999999954525","0.0","0.0","0.0","0.0"
"ECE 131","-0.07499999999998863","0.060000000000016485","-0.004999999999967031","0.0049999999999954525","-0.0049999999999954525","0.0","0.0","0.0"
"PHYC 160","0.17499999999999716","0.18999999999998352","-0.045000000000001705","-0.045000000000001705","-0.015000000000000568","-0.005000000000009663","0.0","0.0"
"ENGL 120","0.0","0.05000000000001137","-0.10499999999997556","-0.01999999999999602","-0.03999999999997783","0.0","0.0","0.0"
"MATH 163","0.0","-0.5649999999999977","-0.04999999999999716","0.14999999999999147","-0.06999999999997897","-0.11000000000001364","-0.009999999999990905","-0.005000000000009663"
"PHYC 161","0.0","-0.060000000000002274","1.4210854715202004e-14","1.4210854715202004e-14","0.030000000000015348","-0.0049999999999954525","-0.030000000000001137","0.0"
"PHYC 161L","0.0","0.16499999999999204","0.17499999999998295","-0.05500000000002103","-0.030000000000001137","-0.01999999999999602","-0.005000000000009663","0.0"
"ECE 231","0.0","-0.3100000000000023","-0.04000000000000625","2.842170943040401e-14","0.0199999999999676","-0.0049999999999954525","0.0","0.0"
"ECE 203","0.0","0.0","-0.5749999999999957","-0.17499999999999716","0.20000000000000284","-0.0899999999999892","-0.13000000000000966","-0.014999999999986358"
"ECE 238L","0.0","0.1449999999999818","0.07500000000000284","0.05000000000001137","0.030000000000001137","0.0049999999999954525","-0.004999999999981242","0.0"
"Basic Science","-0.5799999999999699","-0.37999999999998124","-0.045000000000001705","-0.0049999999999954525","-0.009999999999990905","0.0","0.0","0.0"
"Basic Science Lab","0.3499999999999801","0.044999999999987494","-0.06499999999999773","-0.045000000000001705","-0.0049999999999954525","0.0","0.0","0.0"
"ENGL 219","0.0","0.0","-0.23500000000002785","-0.12000000000003297","-0.04500000000003013","-0.0350000000000108","0.0049999999999954525","0.0"
"ECON 105","0.0","-0.46000000000000085","-0.1799999999999926","0.045000000000001705","0.060000000000002274","0.07000000000003581","0.045000000000001705","0.009999999999990905"
"ECE 206L","0.0","0.0","0.0","-0.49499999999999034","-0.2150000000000034","0.23500000000001364","-0.10000000000000853","-0.14000000000000057"
"ECE 300","0.0","0.0","-0.8249999999999886","-0.18000000000000682","0.029999999999972715","-0.040000000000020464","-0.09000000000000341","-0.01500000000001478"
"ECE 213","0.0","0.0","0.0","-0.4300000000000139","-0.05499999999999261","0.07000000000005002","-0.05000000000001137","-0.18000000000002103"
"MATH 264","0.0","0.0","-0.4699999999999953","0.025000000000005684","0.1950000000000358","-0.11499999999998067","-0.11000000000001364","-0.03499999999999659"
