"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8"
"ENGL 110","-0.605000000000004","-0.08500000000002217","0.04999999999998295","-0.009999999999990905","0.0","0.0","0.0","0.0"
"MATH 162","-0.45999999999999375","-0.18000000000002103","0.01500000000002899","-0.01999999999999602","-0.009999999999990905","-0.005000000000023874","0.0","0.0"
"ECE 101","0.26499999999998636","-0.03499999999999659","-0.030000000000001137","-0.0049999999999954525","0.0","0.0","0.0","0.0"
"ECE 131","-0.15499999999998693","-0.07499999999997442","-0.020000000000010232","0.020000000000010232","0.005000000000009663","0.0","0.0","0.0"
"PHYC 160","0.5599999999999881","-0.07500000000000284","-0.21999999999999886","-0.04999999999999716","-0.015000000000000568","0.0","0.0","0.0"
"ENGL 120","0.0","-0.7349999999999994","-0.20999999999996533","0.04500000000003013","-0.015000000000000568","0.0","0.0","0.0"
"MATH 163","0.0","16.505000000000003","8.769999999999996","3.444999999999993","1.0400000000000347","0.2400000000000233","0.10499999999997556","0.024999999999991473"
"PHYC 161","0.0","2.842170943040401e-14","0.05000000000001137","-0.19999999999998863","0.05000000000001137","0.0","0.0","0.0"
"PHYC 161L","0.0","0.625","-0.08500000000002217","-0.21500000000001762","-0.04999999999999716","-0.010000000000005116","0.0","0.0"
"ECE 231","0.0","-0.44999999999998863","-2.842170943040401e-14","0.010000000000019327","0.025000000000005684","0.005000000000009663","0.0","0.0"
"ECE 203","0.0","0.0","11.620000000000005","8.394999999999982","3.805000000000021","1.25","0.28000000000000114","0.125"
"ECE 238L","0.0","-0.05500000000000682","-0.009999999999990905","0.03500000000002501","0.06999999999999318","0.020000000000010232","0.005000000000009663","0.0"
"Basic Science","-0.3050000000000068","-0.11999999999999034","-0.045000000000015916","0.009999999999990905","-0.0049999999999954525","0.0","0.0","0.0"
"Basic Science Lab","0.31500000000002615","0.12499999999997158","0.009999999999990905","-0.015000000000000568","-0.010000000000005116","0.0","0.0","0.0"
"ENGL 219","0.0","0.0","-0.8000000000000114","-0.3000000000000256","-0.010000000000047748","-0.01500000000001478","0.0","0.0"
"ECON 105","0.0","0.01000000000000334","0.07499999999998863","-0.1250000000000142","0.15500000000000114","0.05000000000002558","0.030000000000001137","0.014999999999986358"
"ECE 206L","0.0","0.0","0.0","11.625","8.470000000000013","3.8500000000000227","1.2649999999999864","0.28000000000000114"
"ECE 300","0.0","0.0","13.469999999999999","9.189999999999998","3.884999999999991","1.2749999999999773","0.33499999999999375","0.1449999999999818"
"ECE 213","0.0","0.0","0.0","11.309999999999988","8.409999999999997","3.985000000000028","1.394999999999996","0.3049999999999784"
"MATH 264","0.0","0.0","7.16500000000001","8.409999999999997","4.245000000000033","1.4550000000000125","0.4750000000000085","0.15500000000002956"
"ECE 330","0.0","0.0","-10.565000000000005","-0.5550000000000068","-0.004999999999967031","0.025000000000005684","0.005000000000009663","0.0"
"ECE 321L","0.0","0.0","0.0","0.0","11.089999999999996","8.554999999999978","4.094999999999985","1.4849999999999852"
"MATH 327","0.0","0.0","0.05999999999999994","5.634999999999998","3.9499999999999886","1.4949999999999761","0.5299999999999727","0.13500000000001933"
"ECE 314","0.0","0.0","0.0","0.0","8.969999999999999","8.76000000000002","4.340000000000018","1.6099999999999994"
"ECE 340","0.0","0.0","0.0","9.584999999999994","9.439999999999998","4.0449999999999875","1.4750000000000085","0.44000000000001194"
"Second Language","0.0","0.0","-8.129999999999997","-8.070000000000007","-1.5149999999999864","-0.16500000000000625","0.03999999999999204","1.4210854715202004e-14"
"ECE 335","0.0","0.0","0.0","-7.5600000000000005","-2.200000000000003","0.044999999999987494","0.030000000000015348","0.005000000000009663"
"ECE 331","0.0","0.0","0.0","0.0","3.859999999999985","4.614999999999981","1.8149999999999835","0.6249999999999858"
"ECE 344L","0.0","0.0","0.0","0.0","0.0","10.129999999999995","8.344999999999985","4.699999999999989"
"Social Sciences","0.0","0.0","-0.11999999999999994","-6.8850000000000025","-7.105000000000011","-1.1350000000000051","-0.0700000000000216","1.4210854715202004e-14"
"ECE 419","0.0","0.0","0.0","-6.440000000000001","-7.834999999999994","-1.049999999999983","0.060000000000016485","0.0049999999999954525"
"ECE 437","0.0","0.0","0.0","-2.075","-4.9999999999999964","-2.049999999999983","0.2500000000000284","0.0"
"ECE 435","0.0","0.0","0.0","0.0","0.12999999999999984","0.8400000000000034","2.0549999999999926","0.6099999999999994"
"Tech Elective","0.0","0.0","0.0","-0.5549999999999999","-4.340000000000002","-4.619999999999997","0.07500000000001705","-0.03499999999999659"
"Humanities","0.0","0.0","0.0","-0.015000000000000003","-2.375000000000001","-3.66","1.075000000000017","0.2599999999999909"
"ECE 420","0.0","0.0","0.0","0.0","-1.7650000000000001","-2.954999999999999","1.204999999999984","0.2599999999999767"
"ECE 440","0.0","0.0","0.0","0.0","-0.6500000000000001","-1.8749999999999998","3.6600000000000037","0.5949999999999847"
"Tech Elective","0.0","0.0","0.0","0.0","-0.029999999999999995","-1.06","3.1550000000000082","1.0149999999999864"
"Fine Arts","0.0","0.0","0.0","0.0","0.0","-0.5900000000000001","2.5600000000000023","2.3200000000000216"
"Humanities","0.0","0.0","0.0","0.0","0.0","-0.40499999999999997","0.054999999999999716","3.0649999999999835"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","0.6649999999999996","5.545000000000023"
