"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8"
"ENGL 110","-0.7399999999999949","-0.19000000000001194","0.024999999999991473","-0.025000000000005684","0.0","0.0","0.0","0.0"
"MATH 162","0.2050000000000125","0.24499999999997613","0.020000000000024443","-0.040000000000020464","-0.025000000000005684","-0.009999999999990905","-0.0049999999999954525","0.0"
"ECE 101","0.10499999999998977","-0.07499999999998863","-0.005000000000009663","0.0","0.0","0.0","0.0","0.0"
"ECE 131","-0.36499999999996646","0.0","-0.12999999999998124","-0.01999999999998181","0.010000000000005116","0.0","0.0","0.0"
"PHYC 160","20.679999999999993","4.35499999999999","0.7999999999999972","0.14499999999999602","0.015000000000000568","0.0049999999999954525","0.0","0.0"
"ENGL 120","0.0","-0.7599999999999909","-0.23499999999998522","0.010000000000005116","-0.01999999999999602","0.0","0.0","0.0"
"MATH 163","0.0","-0.5550000000000139","0.42499999999999716","0.05500000000000682","-0.09499999999997044","-0.14499999999999602","0.010000000000005116","0.0"
"PHYC 161","0.0","17.350000000000023","6.420000000000016","1.7000000000000313","0.4600000000000364","0.08500000000000796","0.009999999999990905","0.0049999999999954525"
"PHYC 161L","0.0","20.445000000000007","4.570000000000007","0.8599999999999852","0.1599999999999966","0.01999999999999602","0.0049999999999954525","0.0"
"ECE 231","0.0","-0.3949999999999818","-0.005000000000038085","-0.09499999999997044","-0.03499999999999659","0.0049999999999954525","0.0","0.0"
"ECE 203","0.0","0.0","1.365000000000009","0.8199999999999932","0.285000000000025","0.009999999999990905","-0.16500000000002046","1.4210854715202004e-14"
"ECE 238L","0.0","-1.2350000000000136","-0.24499999999999034","-0.0899999999999892","0.010000000000019327","0.009999999999990905","0.005000000000009663","0.0"
"Basic Science","-0.2149999999999892","0.0800000000000125","-0.14000000000000057","-0.024999999999991473","0.005000000000009663","0.0","0.0","0.0"
"Basic Science Lab","-0.2699999999999818","-1.7149999999999892","-0.23999999999999488","-0.01999999999999602","-0.009999999999990905","0.0","0.0","0.0"
"ENGL 219","0.0","0.0","-0.5650000000000261","-0.32500000000001705","-0.05500000000002103","-0.009999999999990905","0.0","0.0"
"ECON 105","0.0","0.4350000000000023","0.9100000000000108","0.12999999999998124","0.13000000000000966","0.0800000000000125","0.03499999999998238","0.009999999999990905"
"ECE 206L","0.0","0.0","0.0","1.365000000000002","0.8299999999999983","0.3100000000000165","0.01999999999999602","-0.17000000000003013"
"ECE 300","0.0","0.0","0.9100000000000037","0.6550000000000011","-0.01500000000001478","-0.060000000000044906","-0.14500000000001023","0.014999999999986358"
"ECE 213","0.0","0.0","0.0","1.6199999999999903","0.914999999999992","0.33500000000002217","0.005000000000009663","-0.140000000000029"
"MATH 264","0.0","0.0","3.379999999999999","1.3250000000000028","0.4450000000000358","-0.08500000000000796","-0.0700000000000216","0.005000000000023874"
"ECE 330","0.0","0.0","2.109999999999985","1.1999999999999886","-0.07999999999996987","-0.03999999999999204","0.0049999999999954525","0.0"
"ECE 321L","0.0","0.0","0.0","0.0","1.6950000000000003","1.089999999999975","0.3050000000000068","0.0049999999999954525"
"MATH 327","0.0","0.0","0.029999999999999916","2.260000000000005","0.5149999999999864","0.009999999999976694","-0.08500000000002217","-0.03999999999999204"
"ECE 314","0.0","0.0","0.0","0.0","1.8950000000000031","1.045000000000016","0.41499999999999204","0.14000000000000057"
"ECE 340","0.0","0.0","0.0","2.6199999999999903","1.365000000000009","0.010000000000005116","-0.0799999999999983","-0.12499999999995737"
"Second Language","0.0","0.0","5.325000000000006","6.75","2.0799999999999983","0.20000000000000284","0.07999999999998408","0.010000000000005116"
"ECE 335","0.0","0.0","0.0","2.0750000000000064","2.5549999999999926","-0.0350000000000108","-0.03499999999998238","0.0049999999999954525"
"ECE 331","0.0","0.0","0.0","0.0","2.8699999999999974","0.664999999999992","0.08499999999999375","-0.1150000000000091"
"ECE 344L","0.0","0.0","0.0","0.0","0.0","1.8249999999999886","0.789999999999992","0.7149999999999892"
"Social Sciences","0.0","0.0","0.06999999999999984","0.3849999999999998","4.854999999999997","1.1049999999999756","0.26499999999995794","-0.014999999999986358"
"ECE 419","0.0","0.0","0.0","0.6799999999999979","2.0800000000000054","2.875","0.07000000000000739","0.0049999999999954525"
"ECE 437","0.0","0.0","0.0","0.625","0.8849999999999998","4.754999999999981","0.4450000000000074","0.01999999999998181"
"ECE 435","0.0","0.0","0.0","0.0","0.13999999999999985","4.759999999999998","0.6999999999999886","-0.09499999999999886"
"Tech Elective","0.0","0.0","0.0","0.21999999999999986","0.5349999999999993","3.095000000000006","1.670000000000016","-0.004999999999981242"
"Humanities","0.0","0.0","0.0","0.0","0.23999999999999888","1.1449999999999996","2.7350000000000136","0.44499999999997897"
"ECE 420","0.0","0.0","0.0","0.0","0.43500000000000005","0.370000000000001","4.935000000000031","0.2799999999999727"
"ECE 440","0.0","0.0","0.0","0.0","0.2400000000000001","0.46999999999999975","4.910000000000011","0.8249999999999886"
"Tech Elective","0.0","0.0","0.0","0.0","0.06500000000000002","0.3899999999999999","4.25","1.3949999999999818"
"Fine Arts","0.0","0.0","0.0","0.0","0.005","0.2799999999999999","2.5400000000000027","2.180000000000007"
"Humanities","0.0","0.0","0.0","0.0","0.0","0.19499999999999984","1.1550000000000011","2.9350000000000023"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","0.5999999999999992","2.8650000000000233"
