"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8"
"ENGL 110","-0.3599999999999852","-0.11499999999999488","0.0199999999999676","-0.015000000000000568","-0.010000000000005116","0.0","0.0","0.0"
"MATH 162","-0.835000000000008","-0.4550000000000125","-0.1549999999999585","-0.07500000000000284","-0.014999999999972147","0.0049999999999954525","0.0","0.0"
"ECE 101","0.44999999999998863","-0.05500000000000682","0.0049999999999954525","0.0","0.0","0.0","0.0","0.0"
"ECE 131","-0.025000000000005684","0.12000000000001876","-0.01999999999998181","0.0","0.005000000000009663","0.0","0.0","0.0"
"PHYC 160","0.05500000000000682","0.060000000000002274","-0.15999999999998238","-0.0799999999999983","-0.010000000000005116","0.0","-0.0049999999999954525","0.0"
"ENGL 120","0.0","-0.5450000000000017","-0.1799999999999926","-0.07499999999997442","-0.029999999999986926","-0.015000000000000568","0.0","0.0"
"MATH 163","0.0","-0.730000000000004","-0.2600000000000051","-0.060000000000002274","-0.1199999999999477","-0.1150000000000091","0.024999999999991473","0.014999999999986358"
"PHYC 161","0.0","0.045000000000015916","0.05500000000000682","-0.06499999999999773","-0.029999999999972715","-0.009999999999976694","-0.020000000000010232","-0.0049999999999954525"
"PHYC 161L","0.0","1.115000000000009","0.29999999999999716","-0.09999999999999432","-0.06499999999999773","-0.005000000000009663","0.0","-0.0049999999999954525"
"ECE 231","0.0","0.09500000000002728","0.2600000000000051","0.08000000000002672","0.01999999999999602","-0.0049999999999954525","-0.0049999999999954525","0.0"
"ECE 203","0.0","0.0","-0.7649999999999935","-0.32500000000000284","-0.1349999999999909","-0.1449999999999818","-0.12000000000001876","0.020000000000024443"
"ECE 238L","0.0","-0.125","0.01999999999998181","0.03499999999999659","0.030000000000001137","0.01999999999999602","0.010000000000005116","0.0"
"Basic Science","-0.3499999999999801","-0.29000000000002046","-0.060000000000002274","-0.03999999999999204","-0.0049999999999954525","0.0","0.0","0.0"
"Basic Science Lab","-0.14499999999999602","-0.07500000000000284","-0.03499999999999659","-0.03499999999999659","-0.01500000000001478","0.0","0.0","0.0"
"ENGL 219","0.0","0.0","-0.4350000000000165","-0.2750000000000199","-0.09499999999999886","-0.014999999999986358","-0.015000000000000568","0.0"
"ECON 105","0.0","-0.02499999999999858","0.17000000000001592","-0.17500000000001137","0.03499999999999659","0.025000000000019895","0.01999999999999602","0.0"
"ECE 206L","0.0","0.0","0.0","-0.6949999999999861","-0.39000000000000057","-0.11499999999999488","-0.14000000000000057","-0.12000000000001876"
"ECE 300","0.0","0.0","-0.4849999999999781","-0.2400000000000091","-0.285000000000025","-0.05000000000003979","-0.14000000000001478","0.044999999999987494"
"ECE 213","0.0","0.0","0.0","-0.6200000000000117","-0.34499999999999886","-0.28499999999996817","-0.12999999999999545","-0.125"
"MATH 264","0.0","0.0","-1.004999999999992","-0.06499999999998352","0.10500000000001819","-0.07000000000000739","-0.08500000000002217","0.03500000000002501"
"ECE 330","0.0","0.0","0.539999999999992","0.27000000000001023","0.05500000000003524","0.01999999999999602","-0.0049999999999954525","-0.0049999999999954525"
"ECE 321L","0.0","0.0","0.0","0.0","-0.480000000000004","-0.39500000000001023","-0.3800000000000239","-0.15000000000000568"
"MATH 327","0.0","0.0","-0.14000000000000007","-0.595000000000006","0.35499999999997556","-0.09500000000002728","-0.03500000000002501","0.010000000000033538"
"ECE 314","0.0","0.0","0.0","0.0","-0.384999999999998","0.10500000000001819","-0.2799999999999727","-0.16499999999997783"
"ECE 340","0.0","0.0","0.0","-0.5249999999999986","-0.044999999999973284","-0.5400000000000063","-0.19499999999999318","-0.10999999999999943"
"Second Language","0.0","0.0","0.6700000000000017","0.1699999999999946","-0.4299999999999926","-0.0700000000000216","-0.010000000000019327","0.005000000000009663"
"ECE 335","0.0","0.0","0.0","0.14499999999999602","0.18500000000000227","-0.0049999999999954525","0.025000000000005684","-0.0049999999999954525"
"ECE 331","0.0","0.0","0.0","0.0","-0.6100000000000136","0.3650000000000091","0.025000000000005684","-0.125"
"ECE 344L","0.0","0.0","0.0","0.0","0.0","-0.14500000000001023","-0.4549999999999983","-0.1950000000000216"
"Social Sciences","0.0","0.0","-0.07999999999999996","0.16000000000000014","0.2849999999999966","-0.21500000000001762","-0.010000000000019327","-0.01999999999999602"
"ECE 419","0.0","0.0","0.0","0.0849999999999973","-0.19500000000000028","0.0950000000000415","0.010000000000019327","0.0049999999999954525"
"ECE 437","0.0","0.0","0.0","0.28500000000000014","0.16000000000000192","0.4300000000000068","0.060000000000030695","-0.005000000000009663"
"ECE 435","0.0","0.0","0.0","0.0","-0.00500000000000006","-0.9900000000000091","0.03999999999999204","-0.08499999999999375"
"Tech Elective","0.0","0.0","0.0","-0.004999999999999893","0.21999999999999886","-0.37999999999999545","0.03000000000002956","-0.07500000000001705"
"Humanities","0.0","0.0","0.0","-0.010000000000000002","-8.881784197001252e-16","0.3800000000000008","0.5100000000000051","0.015000000000000568"
"ECE 420","0.0","0.0","0.0","0.0","0.14499999999999957","0.2250000000000023","0.28000000000000114","0.04999999999998295"
"ECE 440","0.0","0.0","0.0","0.0","0.1250000000000001","0.1599999999999997","0.0700000000000145","0.22999999999998977"
"Tech Elective","0.0","0.0","0.0","0.0","0.0","0.17500000000000004","-0.789999999999992","0.15499999999998693"
"Fine Arts","0.0","0.0","0.0","0.0","0.0","0.18999999999999995","-0.4349999999999987","0.5600000000000023"
"Humanities","0.0","0.0","0.0","0.0","0.0","0.11999999999999988","-0.08999999999999986","0.08500000000002217"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","-0.23500000000000032","-0.02999999999997982"
