"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8"
"ENGL 110","-0.7150000000000034","0.009999999999990905","0.05999999999997385","-0.01999999999999602","-0.0049999999999954525","0.0","0.0","0.0"
"MATH 162","-0.04000000000000625","0.08499999999997954","-0.049999999999968736","-0.040000000000020464","-0.03499999999998238","-0.01500000000001478","-0.010000000000005116","-0.0049999999999954525"
"ECE 101","0.37999999999999545","-0.14999999999999147","-0.01500000000001478","0.0","0.0","0.0","0.0","0.0"
"ECE 131","-0.3149999999999977","-0.01999999999998181","-0.06499999999999773","0.0049999999999954525","0.010000000000005116","0.0","0.0","0.0"
"PHYC 160","0.060000000000002274","0.029999999999986926","0.06500000000001194","0.020000000000024443","-0.015000000000000568","0.0","0.0","0.0"
"ENGL 120","0.0","-0.6450000000000102","-0.009999999999990905","0.0350000000000108","-0.029999999999986926","-0.0049999999999954525","-0.0049999999999954525","0.0"
"MATH 163","0.0","-0.4099999999999895","0.2949999999999875","0.32500000000000284","-0.044999999999973284","-0.05999999999997385","-0.01999999999998181","-0.01999999999999602"
"PHYC 161","0.0","-0.20499999999998408","0.13000000000000966","0.04999999999999716","0.1500000000000199","0.03499999999999659","-0.010000000000019327","0.0049999999999954525"
"PHYC 161L","0.0","0.1150000000000233","0.10499999999998977","0.08499999999999375","0.025000000000019895","-0.010000000000005116","0.0","0.0"
"ECE 231","0.0","-0.1799999999999926","-0.14000000000000057","-0.014999999999972147","0.004999999999981242","0.0049999999999954525","0.0","0.0"
"ECE 203","0.0","0.0","-0.0449999999999946","0.5149999999999721","0.5500000000000114","-0.024999999999991473","-0.07000000000000739","-0.029999999999972715"
"ECE 238L","0.0","-0.024999999999991473","-0.05499999999999261","-0.045000000000001705","0.01999999999999602","0.030000000000001137","0.010000000000005116","0.0"
"Basic Science","-0.29000000000000625","-0.19499999999997897","-0.11000000000001364","-0.03499999999998238","0.005000000000009663","-0.0049999999999954525","0.0","0.0"
"Basic Science Lab","0.1150000000000233","0.23499999999999943","-0.0799999999999983","-0.0350000000000108","-0.015000000000000568","0.0","0.0","0.0"
"ENGL 219","0.0","0.0","-0.9350000000000165","-0.23500000000002785","-0.03000000000004377","-0.025000000000005684","-0.009999999999990905","-0.0049999999999954525"
"ECON 105","0.0","-0.18499999999999694","-0.14000000000000057","-0.08499999999999375","0.10500000000000398","0.020000000000024443","0.03499999999998238","0.014999999999986358"
"ECE 206L","0.0","0.0","0.0","-0.05999999999998806","0.5450000000000017","0.549999999999983","-0.03499999999999659","-0.07500000000000284"
"ECE 300","0.0","0.0","-0.40499999999999403","0.30999999999998806","0.3149999999999835","-0.040000000000020464","-0.09499999999999886","0.0"
"ECE 213","0.0","0.0","0.0","0.11499999999999488","0.4650000000000034","0.5650000000000119","0.045000000000015916","-0.07500000000001705"
"MATH 264","0.0","0.0","-0.5349999999999966","0.5999999999999943","0.18000000000000682","-0.18000000000000682","-0.10500000000000398","-0.044999999999987494"
"ECE 330","0.0","0.0","-0.31500000000000483","-0.0999999999999801","-0.00499999999995282","0.004999999999981242","0.0049999999999954525","0.0"
"ECE 321L","0.0","0.0","0.0","0.0","0.25499999999999545","0.5099999999999909","0.5049999999999955","0.01999999999998181"
"MATH 327","0.0","0.0","-0.020000000000000018","-1.3699999999999903","0.43499999999997385","0.11999999999997613","0.05499999999999261","-0.024999999999991473"
"ECE 314","0.0","0.0","0.0","0.0","0.3100000000000023","0.640000000000029","0.43000000000002103","-0.01999999999998181"
"ECE 340","0.0","0.0","0.0","-0.6899999999999977","0.41500000000002046","0.025000000000005684","-0.03499999999998238","-0.06499999999999773"
"Second Language","0.0","0.0","2.3550000000000004","3.759999999999991","4.639999999999986","0.8900000000000006","0.12499999999998579","0.010000000000005116"
"ECE 335","0.0","0.0","0.0","-0.015000000000000568","-0.2500000000000142","0.024999999999991473","0.009999999999990905","0.0049999999999954525"
"ECE 331","0.0","0.0","0.0","0.0","-1.1550000000000011","0.6399999999999864","0.125","0.024999999999977263"
"ECE 344L","0.0","0.0","0.0","0.0","0.0","0.33499999999998664","0.0899999999999892","0.4099999999999824"
"Social Sciences","0.0","0.0","-0.010000000000000009","-0.11999999999999922","1.1849999999999952","0.5549999999999784","0.03499999999999659","-0.014999999999986358"
"ECE 419","0.0","0.0","0.0","-0.18500000000000227","0.025000000000005684","1.2500000000000142","0.010000000000005116","0.0049999999999954525"
