"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8"
"ENGL 110","-0.6199999999999903","-0.05499999999999261","0.025000000000005684","0.0","0.0","0.0","0.0","0.0"
"MATH 162","-0.42499999999998295","-0.040000000000034674","-0.05999999999997385","-0.07500000000001705","-0.04999999999998295","-0.020000000000010232","0.0","0.0"
"ECE 101","0.44999999999998863","-0.07500000000000284","-0.0049999999999954525","0.0","0.0","0.0","0.0","0.0"
"ECE 131","0.38000000000000966","0.0799999999999983","-0.05499999999999261","0.009999999999990905","1.4210854715202004e-14","0.0","0.0","0.0"
"PHYC 160","-0.3400000000000176","-0.010000000000019327","-0.15499999999998693","-0.03499999999999659","-0.029999999999986926","-0.010000000000019327","0.0","0.0"
"ENGL 120","0.0","-0.8149999999999977","-0.2749999999999915","-0.03499999999998238","-0.014999999999986358","0.0","0.0","0.0"
"MATH 163","0.0","-0.1500000000000128","0.2499999999999858","0.04999999999999716","-0.08499999999997954","-0.12000000000000455","-0.014999999999986358","-0.005000000000009663"
"PHYC 161","0.0","-0.4299999999999784","-0.015000000000000568","-0.03999999999999204","0.040000000000020464","0.005000000000009663","-0.025000000000005684","0.0"
"PHYC 161L","0.0","-0.39500000000001023","-0.030000000000001137","-0.14000000000001478","-0.0350000000000108","-0.029999999999986926","-0.010000000000019327","0.0"
"ECE 231","0.0","0.09499999999999886","0.11499999999999488","-0.024999999999977263","0.029999999999986926","-0.005000000000009663","0.0","0.0"
"ECE 203","0.0","0.0","-0.529999999999994","0.07999999999996987","0.0049999999999954525","-0.11499999999999488","-0.15500000000000114","-0.014999999999972147"
"ECE 238L","0.0","0.6449999999999818","0.06999999999999318","0.01999999999999602","0.03999999999999204","0.020000000000010232","0.010000000000005116","0.0"
"Basic Science","-0.39500000000001023","-0.35499999999997556","-0.08499999999999375","-0.05500000000000682","-0.009999999999990905","0.0","0.0","0.0"
"Basic Science Lab","-0.09499999999999886","-0.09999999999999432","-0.07000000000000739","-0.045000000000015916","-0.009999999999990905","0.0","0.0","0.0"
"ENGL 219","0.0","0.0","-0.8900000000000148","-0.38500000000003354","-0.13500000000001933","-0.03499999999999659","0.0049999999999954525","0.0"
"ECON 105","0.0","-0.9799999999999986","-0.1599999999999966","-0.08500000000000796","0.10499999999998977","0.08500000000003638","0.044999999999973284","0.009999999999990905"
"ECE 206L","0.0","0.0","0.0","-0.45999999999999375","0.060000000000016485","0.015000000000000568","-0.1150000000000091","-0.16500000000000625"
"ECE 300","0.0","0.0","-0.7149999999999892","0.18499999999998806","0.004999999999967031","-0.05500000000002103","-0.10500000000000398","-0.029999999999986926"
"ECE 213","0.0","0.0","0.0","-0.38500000000002643","0.1599999999999966","-0.024999999999977263","-0.0800000000000125","-0.17499999999999716"
"MATH 264","0.0","0.0","-0.534999999999993","0.05499999999999261","0.14500000000002444","-0.05500000000000682","-0.16500000000002046","-0.01999999999998181"
"ECE 330","0.0","0.0","0.5149999999999864","0.024999999999991473","-0.03999999999996362","0.029999999999986926","-0.005000000000009663","0.0"
"ECE 321L","0.0","0.0","0.0","0.0","-0.20000000000000284","0.17499999999996874","-0.125","-0.09500000000001307"
"MATH 327","0.0","0.0","-0.015000000000000124","-0.8299999999999912","0.4200000000000017","-0.05000000000003979","-0.06500000000001194","-0.024999999999991473"
"ECE 314","0.0","0.0","0.0","0.0","-0.5149999999999935","0.1250000000000142","-0.14000000000000057","-0.08500000000000796"
"ECE 340","0.0","0.0","0.0","-0.30000000000000426","0.2550000000000381","-0.10999999999998522","-0.04999999999998295","-0.0899999999999892"
"Second Language","0.0","0.0","0.05500000000000327","0.125","-0.19499999999999318","0.024999999999977263","0.03999999999999204","1.4210854715202004e-14"
"ECE 335","0.0","0.0","0.0","-0.2950000000000017","-0.27000000000003865","-0.01500000000001478","0.03499999999999659","-0.005000000000009663"
"ECE 331","0.0","0.0","0.0","0.0","-0.3500000000000014","0.4350000000000023","-1.4210854715202004e-14","-0.07500000000003126"
"ECE 344L","0.0","0.0","0.0","0.0","0.0","-0.05500000000000682","-0.30500000000002103","0.1950000000000074"
"Social Sciences","0.0","0.0","-0.025000000000000078","1.3949999999999996","3.7449999999999974","4.759999999999991","0.8749999999999858","0.0799999999999983"
"ECE 419","0.0","0.0","0.0","-0.5899999999999999","-0.4549999999999983","-0.01999999999998181","0.0350000000000108","0.0049999999999954525"
"ECE 437","0.0","0.0","0.0","-0.1800000000000006","0.015000000000000568","0.5099999999999909","0.22000000000002728","0.0"
"ECE 435","0.0","0.0","0.0","0.0","0.0799999999999999","0.9649999999999892","0.1349999999999909","-0.05500000000000682"
"Tech Elective","0.0","0.0","0.0","-0.06500000000000006","0.014999999999998792","0.06000000000000938","0.1850000000000307","-0.06500000000001194"
"Humanities","0.0","0.0","0.0","-0.005000000000000003","0.015000000000000568","0.29499999999999993","0.9000000000000057","0.4000000000000057"
"ECE 420","0.0","0.0","0.0","0.0","0.125","0.1800000000000015","1.4250000000000114","0.12499999999995737"
"ECE 440","0.0","0.0","0.0","0.0","0.1250000000000001","0.19500000000000028","2.0700000000000074","0.3849999999999625"
"Tech Elective","0.0","0.0","0.0","0.0","0.0","0.17500000000000004","0.8599999999999994","0.04999999999998295"
"Fine Arts","0.0","0.0","0.0","0.0","0.0","0.17499999999999993","0.9500000000000028","0.6700000000000017"
"Humanities","0.0","0.0","0.0","0.0","0.0","0.08000000000000007","0.030000000000001137","1.0200000000000102"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","-0.11000000000000121","0.5849999999999937"
