"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8"
"ENGL 110","-0.8549999999999898","-0.125","0.014999999999986358","-0.009999999999990905","-0.009999999999990905","0.0","0.0","0.0"
"MATH 162","-0.004999999999981242","-0.025000000000019895","-0.13999999999995794","-0.07000000000000739","-0.004999999999981242","-0.010000000000019327","-0.010000000000005116","0.0"
"ECE 101","0.2600000000000193","-0.029999999999986926","-0.014999999999986358","0.0","0.0","0.0","0.0","0.0"
"ECE 131","-0.33499999999999375","0.12999999999999545","0.010000000000019327","0.0","0.0","0.0","0.0","0.0"
"PHYC 160","-0.15500000000001535","-0.3100000000000023","-0.06500000000001194","-0.01999999999999602","-0.0049999999999954525","0.0","0.0","0.0"
"ENGL 120","0.0","-0.9200000000000017","-0.29999999999998295","-0.030000000000001137","-0.029999999999986926","-0.015000000000000568","0.0","0.0"
"MATH 163","0.0","-0.18500000000000227","0.0049999999999954525","-0.03999999999999204","-0.15999999999996817","-0.0899999999999892","-0.004999999999981242","0.009999999999976694"
"PHYC 161","0.0","-0.3499999999999801","-0.2049999999999983","-0.0899999999999892","0.025000000000019895","0.005000000000009663","-0.025000000000005684","0.0049999999999954525"
"PHYC 161L","0.0","-0.1150000000000091","-0.3200000000000074","-0.09000000000001762","-0.01500000000001478","0.0","0.0","0.0"
"ECE 231","0.0","-0.23999999999999488","0.13000000000000966","0.05500000000003524","0.01500000000001478","0.0049999999999954525","0.0","0.0"
"ECE 203","0.0","0.0","-1.1049999999999898","-0.47999999999998977","0.030000000000015348","-0.18999999999999773","-0.13500000000003354","-0.024999999999977263"
"ECE 238L","0.0","-0.25","-0.13999999999998636","-0.03499999999999659","0.040000000000034674","0.010000000000005116","0.010000000000005116","0.0"
"Basic Science","0.13000000000000966","0.0350000000000108","-0.0999999999999801","-0.01999999999999602","0.0","0.0","0.0","0.0"
"Basic Science Lab","0.04999999999999716","-0.14500000000001023","-0.060000000000030695","-0.05500000000000682","-0.01500000000001478","0.0","0.0","0.0"
"ENGL 219","0.0","0.0","-0.9450000000000216","-0.3750000000000142","-0.05500000000003524","-0.010000000000019327","-0.015000000000000568","0.0"
"ECON 105","0.0","0.08000000000000185","-0.23499999999998522","0.015000000000000568","0.09499999999999886","0.09000000000003183","0.05999999999998806","0.009999999999990905"
"ECE 206L","0.0","0.0","0.0","-1.0700000000000003","-0.4399999999999977","0.05500000000002103","-0.18499999999998806","-0.1500000000000199"
"ECE 300","0.0","0.0","-0.5249999999999986","0.06499999999999773","-0.05000000000003979","-0.20000000000003126","-0.12499999999998579","0.01500000000001478"
"ECE 213","0.0","0.0","0.0","-0.7750000000000128","-0.44000000000001194","0.025000000000019895","-0.13500000000000512","-0.15500000000001535"
"MATH 264","0.0","0.0","-0.014999999999997016","-0.0049999999999954525","0.13000000000002387","-0.07499999999998863","-0.08499999999999375","0.01500000000002899"
"ECE 330","0.0","0.0","0.10999999999999943","0.08000000000002672","0.06500000000004036","0.010000000000005116","0.0049999999999954525","0.0"
"ECE 321L","0.0","0.0","0.0","0.0","-0.7150000000000105","-0.35000000000003695","-0.020000000000024443","-0.07999999999998408"
"MATH 327","0.0","0.0","-0.07000000000000006","-1.045000000000016","-0.020000000000010232","-0.045000000000015916","0.004999999999967031","-0.06499999999999773"
"ECE 314","0.0","0.0","0.0","0.0","-0.5949999999999918","-0.1699999999999875","0.19000000000001194","-0.17000000000001592"
"ECE 340","0.0","0.0","0.0","-0.7749999999999986","0.2400000000000233","-0.2600000000000193","-0.2600000000000051","-0.1449999999999818"
"Second Language","0.0","0.0","0.33999999999999986","0.539999999999992","0.05499999999999261","0.05999999999995964","0.06999999999999318","1.4210854715202004e-14"
"ECE 335","0.0","0.0","0.0","-0.0899999999999963","-0.07500000000000284","0.08499999999997954","0.01500000000001478","0.0049999999999954525"
"ECE 331","0.0","0.0","0.0","0.0","-0.8800000000000097","-0.04999999999999716","-0.10999999999999943","-0.0350000000000108"
"ECE 344L","0.0","0.0","0.0","0.0","0.0","-0.3900000000000148","-0.6599999999999966","0.10999999999998522"
"Social Sciences","0.0","0.0","-0.08000000000000007","-0.129999999999999","0.19499999999999318","-0.08500000000002217","-0.020000000000010232","-0.024999999999991473"
"ECE 419","0.0","0.0","0.0","-0.23500000000000298","-0.3049999999999926","0.025000000000005684","0.020000000000024443","0.0049999999999954525"
"ECE 437","0.0","0.0","0.0","-0.29500000000000126","-0.11000000000000298","-0.15499999999997272","0.18999999999999773","-0.0049999999999954525"
"ECE 435","0.0","0.0","0.0","0.0","0.09499999999999997","-0.7900000000000063","0.0049999999999954525","-0.03499999999998238"
"Tech Elective","0.0","0.0","0.0","0.0850000000000003","-0.14500000000000046","-0.2499999999999929","0.4450000000000216","-0.030000000000001137"
"Humanities","0.0","0.0","0.0","0.0","-0.07000000000000028","0.10999999999999943","-0.05999999999997385","0.36999999999999034"
"ECE 420","0.0","0.0","0.0","0.0","-0.020000000000000462","0.06500000000000128","-0.539999999999992","0.05999999999997385"
"ECE 440","0.0","0.0","0.0","0.0","-0.07500000000000018","0.1550000000000007","-0.7149999999999892","0.1999999999999602"
"Tech Elective","0.0","0.0","0.0","0.0","-0.010000000000000002","0.2849999999999999","2.5300000000000082","6.3999999999999915"
"Fine Arts","0.0","0.0","0.0","0.0","0.0","0.18000000000000016","-0.14999999999999503","0.48499999999999943"
"Humanities","0.0","0.0","0.0","0.0","0.0","0.09499999999999997","-0.014999999999997904","-0.35499999999997556"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","0.07499999999999973","3.9550000000000054"
