"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12"
"ENGL 110","-0.060000000000030695","0.21500000000001762","-0.0049999999999954525","0.005000000000009663","0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"MATH 162","-0.19000000000002615","0.22500000000000853","0.13999999999998636","0.10499999999997556","0.03499999999999659","0.005000000000009663","-0.0049999999999954525","-0.0049999999999954525","0.0","0.0","0.0","0.0"
"ME 160L","-0.09000000000000341","-0.0899999999999892","-0.0649999999999693","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"CHEM 121","-0.4450000000000074","0.004999999999981242","-0.009999999999990905","-0.025000000000019895","0.005000000000009663","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"CHEM 123L","-0.355000000000004","-0.015000000000000568","0.020000000000010232","0.009999999999990905","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Fine Arts","0.12000000000000455","0.06999999999997897","1.4210854715202004e-14","-0.009999999999990905","-0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"ENGL 120","0.0","-0.12000000000001876","0.10500000000001819","0.03500000000002501","0.03499999999999659","0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0"
"MATH 163","0.0","-0.8549999999999969","0.045000000000015916","0.15500000000001535","0.23499999999999943","0.13999999999998636","0.03999999999997783","0.0049999999999954525","0.0","-0.010000000000005116","0.0","0.0"
"CS 151L","0.0","-0.5250000000000057","-0.045000000000001705","-0.005000000000009663","-0.015000000000000568","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"PHYC 160","0.0","-0.740000000000002","0.020000000000024443","0.2249999999999659","0.08499999999999375","0.09500000000001307","1.4210854715202004e-14","0.005000000000009663","1.4210854715202004e-14","0.0","0.0","0.0"
"PHYC 160L","0.0","-0.09499999999999886","0.28000000000001535","0.1349999999999909","0.0999999999999801","0.029999999999986926","0.005000000000009663","-0.0049999999999954525","-0.0049999999999954525","-0.0049999999999954525","0.0","0.0"
"Humanities","0.0","0.0799999999999983","0.014999999999986358","0.0","0.0","-0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0"
"CE 202","0.0","0.0","2.4850000000000065","3.180000000000007","1.6650000000000063","0.7900000000000347","0.375","0.11000000000002785","0.045000000000015916","0.005000000000009663","-0.010000000000005116","0.0"
"ME 260L","0.0","-0.029999999999997584","-0.030000000000001137","-0.06499999999998352","-0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"MATH 264","0.0","0.0","-1.0449999999999804","-0.18500000000001648","0.07500000000000284","0.17499999999998295","0.09999999999999432","0.040000000000020464","0.025000000000005684","0.0049999999999954525","-0.010000000000005116","0.0"
