"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12"
"ENGL 110","-0.07500000000001705","-0.044999999999973284","-0.010000000000019327","0.010000000000005116","0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"MATH 162","-0.4000000000000057","-0.05000000000001137","1.4210854715202004e-14","0.0049999999999954525","-0.0350000000000108","-0.0049999999999954525","-0.005000000000009663","0.0","0.0","0.0","0.0","0.0"
"ME 160L","0.27000000000001023","0.06499999999999773","-0.03499999999998238","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"CHEM 121","-0.5200000000000102","-0.005000000000009663","0.025000000000005684","-0.005000000000023874","-0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"CHEM 123L","10.77000000000001","1.2249999999999943","0.14000000000000057","0.014999999999986358","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Fine Arts","0.6299999999999955","0.015000000000000568","-0.029999999999986926","0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"ENGL 120","0.0","-0.0800000000000125","0.12000000000000455","0.05500000000003524","0.03999999999999204","0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0"
"MATH 163","0.0","-0.2749999999999986","0.1850000000000307","-0.03999999999999204","0.1799999999999926","0.029999999999986926","-0.030000000000001137","-0.0049999999999954525","0.009999999999990905","0.0","0.0","0.0"
"CS 151L","0.0","-0.6450000000000102","-0.12999999999999545","-0.005000000000038085","-0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"PHYC 160","0.0","-0.7299999999999898","-0.12999999999999545","0.12999999999999545","-0.09000000000001762","-0.045000000000015916","-0.030000000000001137","0.0","0.005000000000009663","0.0","0.0","0.0"
"PHYC 160L","0.0","-0.3100000000000307","-0.044999999999987494","0.004999999999981242","0.009999999999990905","-0.030000000000015348","-0.0049999999999954525","-0.005000000000009663","0.0","0.0","0.0","0.0"
"Humanities","0.0","0.6649999999999636","0.46000000000000796","0.10499999999998977","0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"CE 202","0.0","0.0","-0.7199999999999989","0.045000000000015916","0.12499999999997158","0.19000000000002615","-0.005000000000009663","-0.044999999999987494","0.015000000000000568","0.015000000000000568","0.0","0.0"
"ME 260L","0.0","0.10000000000000142","0.030000000000015348","-0.03499999999999659","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"MATH 264","0.0","0.0","0.04500000000000881","0.014999999999972147","0.06999999999999318","0.2249999999999659","0.08499999999999375","0.0","0.009999999999990905","0.009999999999990905","0.0","0.0"
"PHYC 161","0.0","0.0","-0.9400000000000048","-0.18000000000000682","0.17500000000001137","-0.03999999999996362","-0.12999999999999545","-0.024999999999991473","-0.014999999999986358","0.005000000000009663","0.0","0.0"
"ME 217","0.0","0.0","0.6049999999999898","-0.004999999999967031","-0.05499999999999261","0.004999999999981242","0.0","0.0","0.0","0.0","0.0","0.0"
"ME 306","0.0","0.0","0.0","-0.33499999999999375","-0.11999999999999034","0.13000000000000966","0.1349999999999909","0.0800000000000125","-0.06999999999997897","0.014999999999972147","0.015000000000000568","0.0049999999999954525"
"MATH 316","0.0","0.0","0.4899999999999993","0.5150000000000006","0.20000000000001705","0.17499999999999716","0.0899999999999892","-0.03499999999999659","-0.004999999999981242","-1.4210854715202004e-14","-0.0049999999999954525","0.0"
"ECE 203","0.0","0.0","0.0","-0.15500000000000114","1.4210854715202004e-14","0.20999999999999375","0.029999999999986926","-0.06499999999999773","-0.01500000000001478","0.01999999999999602","0.0","0.0"
"ME 318L","0.0","0.0","0.0","-0.03999999999999915","-0.29000000000000625","0.14000000000000057","0.10000000000000853","-0.009999999999990905","-0.010000000000005116","-0.005000000000038085","0.024999999999991473","0.0"
"ENGL 219","0.0","0.0","-0.1550000000000047","0.22500000000000853","0.17499999999998295","0.009999999999990905","0.0049999999999954525","0.0","0.0","0.0","0.0","0.0"
