"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12"
"ENGL 110","-0.3450000000000273","-0.024999999999991473","-0.04500000000003013","0.015000000000000568","0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"MATH 162","0.4549999999999841","0.13500000000000512","0.1600000000000108","0.1449999999999818","0.05999999999998806","0.01500000000001478","0.0","0.0","0.0","0.0","0.0","0.0"
"ME 160L","0.10999999999999943","0.060000000000002274","-0.06499999999999773","-0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"CHEM 121","-0.20999999999999375","-0.07500000000000284","0.014999999999972147","0.01999999999998181","0.0049999999999954525","-0.010000000000005116","-0.0049999999999954525","0.0","0.0","0.0","0.0","0.0"
"CHEM 123L","0.010000000000019327","0.0899999999999892","0.020000000000024443","-0.005000000000009663","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Fine Arts","0.05999999999997385","0.14000000000001478","1.4210854715202004e-14","0.010000000000005116","-0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"ENGL 120","0.0","-0.3199999999999932","0.015000000000000568","-0.014999999999972147","0.024999999999991473","0.0","-0.0049999999999954525","0.0","0.0","0.0","0.0","0.0"
"MATH 163","0.0","-0.02999999999999403","-0.08499999999999375","0.4399999999999977","0.2949999999999875","0.2150000000000034","0.01999999999998181","-0.015000000000000568","-0.005000000000009663","-0.015000000000000568","0.0","0.0"
"CS 151L","0.0","10.710000000000008","1.125","0.11999999999997613","0.010000000000005116","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"PHYC 160","0.0","-0.3049999999999997","0.22000000000002728","0.26499999999997215","0.17499999999998295","0.0800000000000125","0.004999999999981242","-0.0049999999999954525","0.005000000000009663","0.0","0.0","0.0"
"PHYC 160L","0.0","0.25","0.12000000000003297","0.11499999999999488","0.12999999999996703","0.0649999999999693","0.01500000000001478","0.0","-0.0049999999999954525","0.0","0.0","0.0"
"Humanities","0.0","0.4999999999999858","0.1349999999999909","0.060000000000002274","-0.03499999999999659","-0.01999999999999602","-0.0049999999999954525","0.0","0.0","0.0","0.0","0.0"
"CE 202","0.0","0.0","-0.5450000000000017","0.09000000000001762","0.5350000000000108","0.410000000000025","0.26500000000000057","0.060000000000016485","0.0049999999999954525","-0.0049999999999954525","-0.015000000000000568","-0.0049999999999954525"
"ME 260L","0.0","-0.30499999999999794","0.18000000000002103","-0.06999999999999318","-0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"MATH 264","0.0","0.0","0.20000000000000995","-0.045000000000015916","0.3599999999999852","0.22999999999996135","0.12999999999999545","0.060000000000016485","0.01999999999998181","-0.005000000000009663","-0.015000000000000568","0.0"
"PHYC 161","0.0","0.0","0.9799999999999969","0.4649999999999892","0.24500000000000455","0.0950000000000415","0.06499999999999773","0.03499999999999659","0.0","0.010000000000005116","0.0","0.0"
"ME 217","0.0","0.0","4.314999999999969","0.1950000000000074","-0.06999999999999318","-0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0"
"ME 306","0.0","0.0","0.0","-0.3950000000000031","-0.3149999999999977","0.375","0.4399999999999835","0.23499999999999943","0.07500000000000284","0.029999999999972715","-0.0049999999999954525","-0.010000000000005116"
"MATH 316","0.0","0.0","0.8999999999999995","0.7950000000000159","0.7250000000000085","0.33499999999999375","0.2749999999999915","0.0049999999999954525","-0.029999999999986926","-0.005000000000009663","-0.015000000000000568","0.0"
"ECE 203","0.0","0.0","0.0","1.2700000000000102","0.6100000000000136","0.3200000000000074","0.28000000000000114","0.0","-0.0350000000000108","0.0","-0.015000000000000568","0.0"
"ME 318L","0.0","0.0","0.0","0.6149999999999984","0.2950000000000017","0.29000000000000625","0.1349999999999909","0.07500000000000284","0.08000000000002672","0.009999999999962483","0.0049999999999954525","-0.015000000000000568"
"ENGL 219","0.0","0.0","1.4600000000000009","2.6500000000000057","0.4199999999999875","0.03499999999998238","-0.03499999999999659","-0.0049999999999954525","0.0","0.0","0.0","0.0"
"ME 301","0.0","0.0","0.0","0.02999999999999997","0.7800000000000153","0.39000000000000057","0.19499999999999318","0.10500000000000398","0.08500000000003638","0.015000000000000568","0.0","-0.020000000000010232"
"ME 317","0.0","0.0","0.0","0.0","0.8449999999999953","0.2600000000000051","0.269999999999996","0.40500000000001535","0.2149999999999892","0.10999999999997101","0.05999999999997385","0.0"
"CE 302","0.0","0.0","0.0","0.5200000000000005","0.6700000000000017","0.6499999999999773","0.3849999999999909","0.27000000000001023","0.09499999999999886","-1.4210854715202004e-14","0.0","-0.010000000000005116"
"Math Elective","0.0","0.0","0.8249999999999993","1.749999999999993","1.7649999999999864","0.23000000000000398","0.010000000000019327","-0.005000000000009663","0.0","0.0","0.0","0.0"
"Humanities","0.0","0.0","0.28000000000000025","0.8449999999999989","1.9850000000000065","0.46999999999999886","2.842170943040401e-14","-0.014999999999986358","0.005000000000009663","0.0","0.0","0.0"
"ME 360L","0.0","0.0","0.0","0.0","0.05999999999999983","0.789999999999992","0.6500000000000341","0.394999999999996","0.2500000000000142","0.10999999999997101","0.004999999999981242","0.0049999999999954525"
"ME 357","0.0","0.0","0.0","0.0","-0.0950000000000002","0.44999999999998863","0.5450000000000017","0.4350000000000023","0.23999999999999488","0.06500000000002615","0.03999999999996362","-0.0049999999999954525"
"ME 370L","0.0","0.0","0.0","0.0","-0.06500000000000017","1.105000000000004","0.7549999999999955","0.5100000000000051","0.269999999999996","0.11499999999999488","-2.842170943040401e-14","-0.009999999999990905"
"ME 352L","0.0","0.0","0.0","0.0","-0.04499999999999987","1.249999999999993","0.6599999999999966","0.38999999999998636","0.27000000000001023","0.09499999999999886","-1.4210854715202004e-14","0.0"
"ECON 105","0.0","0.0","0.0","0.7999999999999972","0.879999999999999","1.8449999999999918","0.6199999999999903","-0.125","0.01500000000002899","0.024999999999963052","0.020000000000010232","0.0049999999999954525"
