"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12"
"ENGL 110","0.17499999999998295","0.07500000000001705","-0.010000000000005116","0.010000000000005116","0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"MATH 162","0.5349999999999966","0.4300000000000068","0.3149999999999977","0.13999999999997215","0.010000000000005116","-0.0049999999999954525","-0.0049999999999954525","-0.0049999999999954525","-0.0049999999999954525","0.0","0.0","0.0"
"ME 160L","0.30500000000002103","0.0800000000000125","-0.045000000000001705","0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"CHEM 121","-0.34499999999999886","-0.2400000000000091","-0.005000000000009663","0.029999999999972715","-0.0049999999999954525","-0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0"
"CHEM 123L","-0.3149999999999835","0.06499999999999773","-0.0049999999999954525","0.009999999999990905","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Fine Arts","0.2949999999999733","0.20000000000000284","0.01500000000001478","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"ENGL 120","0.0","-0.2600000000000051","0.0","-0.00499999999995282","0.015000000000000568","0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0"
"MATH 163","0.0","0.010000000000005116","0.7750000000000199","0.4749999999999801","0.27000000000001023","0.1449999999999818","0.045000000000001705","-0.01999999999998181","0.0049999999999954525","-0.0049999999999954525","-0.0049999999999954525","0.0"
"CS 151L","0.0","-0.6300000000000239","-0.11999999999999034","-0.005000000000009663","1.4210854715202004e-14","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"PHYC 160","0.0","-0.240000000000002","0.5650000000000261","0.3849999999999909","0.0899999999999892","0.05999999999997385","0.0049999999999954525","0.0049999999999954525","0.005000000000009663","-0.0049999999999954525","0.0","0.0"
"PHYC 160L","0.0","0.6349999999999909","0.5500000000000114","0.31999999999997897","0.1449999999999676","0.01999999999999602","-0.014999999999986358","-0.0049999999999954525","-0.0049999999999954525","-0.0049999999999954525","0.0","0.0"
"Humanities","0.0","0.5749999999999886","0.23999999999999488","-0.030000000000015348","-0.014999999999986358","-0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0"
"CE 202","0.0","0.0","-0.28000000000000114","0.7900000000000063","0.6450000000000102","0.29000000000002046","0.20999999999999375","0.07500000000003126","0.010000000000005116","0.0049999999999954525","-0.0049999999999954525","-0.0049999999999954525"
"ME 260L","0.0","-0.639999999999997","0.17000000000003013","-0.04000000000000625","0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"MATH 264","0.0","0.0","-0.5149999999999935","0.4499999999999744","0.2150000000000034","0.27499999999997726","0.13000000000000966","0.05500000000003524","-0.005000000000023874","0.004999999999981242","-0.015000000000000568","-0.0049999999999954525"
"PHYC 161","0.0","0.0","-0.2850000000000037","0.5299999999999869","0.535000000000025","0.10000000000002274","0.01999999999999602","0.015000000000000568","0.014999999999986358","0.010000000000005116","-0.0049999999999954525","-0.0049999999999954525"
"ME 217","0.0","0.0","0.24499999999999034","0.05500000000000682","-0.014999999999972147","-0.005000000000009663","0.0","0.0","0.0","0.0","0.0","0.0"
"ME 306","0.0","0.0","0.0","-0.585000000000008","0.3500000000000085","0.38999999999998636","0.25","0.2150000000000034","0.07500000000001705","0.014999999999986358","-0.009999999999990905","-0.010000000000005116"
"MATH 316","0.0","0.0","0.20999999999999996","0.8050000000000068","0.9849999999999852","0.3200000000000074","0.269999999999996","0.009999999999990905","-0.009999999999976694","0.0049999999999954525","-0.009999999999990905","-0.0049999999999954525"
"ECE 203","0.0","0.0","0.0","5.764999999999986","2.04500000000003","0.7099999999999937","0.3299999999999983","0.0700000000000216","-0.009999999999990905","0.015000000000000568","-0.0049999999999954525","-0.0049999999999954525"
"ME 318L","0.0","0.0","0.0","-0.40000000000000213","0.2749999999999915","0.28000000000002956","0.26500000000000057","0.1150000000000233","0.045000000000015916","0.014999999999972147","0.024999999999977263","-0.015000000000000568"
"ENGL 219","0.0","0.0","-0.34000000000000696","0.025000000000019895","0.2049999999999983","0.044999999999987494","-0.020000000000010232","0.0","0.0","0.0","0.0","0.0"
"ME 301","0.0","0.0","0.0","-0.019999999999999962","1.039999999999992","0.34499999999999886","0.32500000000000284","0.13500000000000512","0.05500000000003524","0.020000000000010232","0.01999999999998181","-0.015000000000000568"
"ME 317","0.0","0.0","0.0","0.0","-0.20500000000000185","0.4000000000000057","0.3049999999999642","0.4300000000000068","0.20499999999996987","0.04999999999999716","0.024999999999991473","-1.4210854715202004e-14"
"CE 302","0.0","0.0","0.0","0.09000000000000075","0.9849999999999994","0.9849999999999994","0.33499999999997954","0.2400000000000091","0.0799999999999983","0.015000000000000568","0.014999999999986358","0.0"
"Math Elective","0.0","0.0","-0.5549999999999962","-0.9450000000000003","1.1199999999999903","0.16999999999997328","-0.030000000000001137","0.010000000000005116","0.0049999999999954525","0.0","0.0","0.0"
"Humanities","0.0","0.0","-0.17999999999999927","-0.9700000000000024","0.8600000000000065","0.49499999999999034","0.045000000000015916","0.004999999999981242","1.4210854715202004e-14","0.0","0.0","0.0"
"ME 360L","0.0","0.0","0.0","0.0","0.044999999999999485","1.0300000000000011","0.960000000000008","0.29999999999999716","0.22000000000001307","0.06999999999999318","0.01999999999999602","0.01999999999998181"
"ME 357","0.0","0.0","0.0","0.0","0.07499999999999996","1.1950000000000003","0.575000000000017","0.28000000000002956","0.2049999999999983","0.07500000000003126","0.0199999999999676","-0.009999999999990905"
"ME 370L","0.0","0.0","0.0","0.0","0.07999999999999985","1.0700000000000145","1.0899999999999892","0.5550000000000068","0.3299999999999983","0.06999999999997897","0.029999999999986926","0.014999999999986358"
"ME 352L","0.0","0.0","0.0","0.0","0.06499999999999995","1.3500000000000014","1.0700000000000074","0.339999999999975","0.2400000000000091","0.0799999999999983","0.015000000000000568","0.014999999999986358"
"ECON 105","0.0","0.0","0.0","-0.025000000000000355","0.054999999999999716","0.23499999999999943","0.34499999999997044","-0.20999999999997954","0.010000000000033538","0.029999999999972715","0.030000000000001137","0.009999999999990905"
"Second Language","0.0","0.0","0.0","-0.1250000000000009","-0.7750000000000057","0.6649999999999991","0.4350000000000023","0.025000000000019895","0.01999999999998181","0.014999999999986358","0.0","0.0"
"ME 320L","0.0","0.0","0.0","0.0","0.0","0.10999999999999988","0.8449999999999918","0.29999999999999716","0.41499999999997783","0.15000000000000568","0.060000000000002274","0.03999999999996362"
"ME 459","0.0","0.0","0.0","0.0","0.0","0.08000000000000007","1.8950000000000102","0.5450000000000017","0.20000000000000284","0.09000000000001762","0.0350000000000108","0.009999999999990905"
"ME 380","0.0","0.0","0.0","0.0","0.0","0.019999999999999993","1.5049999999999955","0.7649999999999864","0.4099999999999966","0.2400000000000091","0.060000000000002274","0.0199999999999676"
"Tech Elective","0.0","0.0","0.0","-0.29499999999999993","-0.5049999999999972","-0.23499999999999588","0.5750000000000028","0.01999999999998181","-0.01999999999998181","0.0","-0.0049999999999954525","-0.0049999999999954525"
"ME 460","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.4849999999999994","0.6750000000000114","0.4949999999999761","0.19499999999999318","0.05000000000001137"
"Tech Elective","0.0","0.0","0.0","-0.1849999999999999","-0.1999999999999993","-0.03500000000000192","0.18000000000000682","0.4549999999999841","0.0799999999999983","0.08500000000000796","-0.0049999999999954525","0.0"
"Tech Elective","0.0","0.0","0.0","0.0","-0.06999999999999984","-0.07000000000000117","-0.4599999999999991","1.200000000000017","0.030000000000001137","-0.015000000000000568","-0.014999999999986358","0.0"
"Tech Elective","0.0","0.0","0.0","0.0","-0.1599999999999997","-0.19000000000000128","-0.28000000000000114","0.9949999999999903","-0.005000000000023874","-1.4210854715202004e-14","-0.010000000000005116","-0.0049999999999954525"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.6600000000000037","0.7450000000000188","0.5500000000000114","0.18999999999999773","0.05000000000003979"
