"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12"
"ENGL 110","-0.025000000000019895","0.07999999999998408","0.0","0.005000000000009663","0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"MATH 162","0.3749999999999858","-0.06499999999999773","0.0799999999999983","0.024999999999963052","-0.05000000000001137","-0.014999999999986358","-0.010000000000005116","-0.0049999999999954525","0.0","0.0","0.0","0.0"
"ME 160L","-0.20000000000001705","-0.09000000000000341","-0.044999999999987494","-0.005000000000009663","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"CHEM 121","-0.9350000000000165","-0.08500000000000796","0.07499999999998863","0.0199999999999676","0.015000000000000568","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"CHEM 123L","-0.42499999999998295","0.03999999999999204","0.0","-0.010000000000019327","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Fine Arts","0.19999999999997442","-0.08999999999997499","0.0049999999999954525","0.015000000000000568","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"ENGL 120","0.0","-0.19000000000001194","0.14500000000001023","0.04500000000004434","0.009999999999990905","0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0"
"MATH 163","0.0","-0.045000000000015916","-0.11499999999999488","-0.0049999999999954525","0.09500000000001307","0.0549999999999784","0.024999999999977263","0.0049999999999954525","0.010000000000005116","-0.009999999999990905","0.0","0.0"
"CS 151L","0.0","-0.7949999999999875","-0.2050000000000125","-0.01500000000002899","1.4210854715202004e-14","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"PHYC 160","0.0","-0.6450000000000102","0.030000000000015348","0.2599999999999909","0.020000000000010232","-0.07500000000001705","-0.009999999999976694","-0.0049999999999954525","0.005000000000009663","-0.0049999999999954525","-0.0049999999999954525","-0.0049999999999954525"
"PHYC 160L","0.0","-0.0350000000000108","0.03000000000002956","0.045000000000001705","0.03499999999998238","-0.060000000000002274","-0.030000000000001137","-0.010000000000005116","-0.0049999999999954525","0.0","0.0","0.0"
"Humanities","0.0","-0.6050000000000182","0.09500000000001307","0.05499999999999261","-0.01999999999998181","-0.024999999999991473","0.0","0.0","0.0","0.0","0.0","0.0"
"CE 202","0.0","0.0","-0.779999999999994","-0.20000000000000284","0.1599999999999966","0.09000000000003183","0.08499999999997954","0.060000000000002274","0.01999999999999602","0.010000000000005116","-0.009999999999990905","-0.009999999999990905"
"ME 260L","0.0","-0.23499999999999943","-0.2849999999999824","-0.03499999999999659","-0.005000000000009663","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"MATH 264","0.0","0.0","-0.2849999999999966","-0.1950000000000216","-0.07000000000003581","-0.0049999999999954525","0.010000000000005116","0.04999999999999716","0.0199999999999676","0.0049999999999954525","-0.009999999999990905","-0.0049999999999954525"
"PHYC 161","0.0","0.0","-0.8050000000000068","-0.08500000000000796","0.48500000000004206","-0.03999999999997783","-0.125","-0.025000000000005684","0.0","0.0","-0.0049999999999954525","-0.0049999999999954525"
"ME 217","0.0","0.0","-0.4099999999999966","-0.13999999999998636","-0.03999999999999204","0.010000000000005116","-0.0049999999999954525","0.0","0.0","0.0","0.0","0.0"
"ME 306","0.0","0.0","0.0","-0.8300000000000054","-0.6700000000000017","-0.01500000000001478","-0.045000000000001705","0.005000000000009663","0.07000000000000739","0.03999999999997783","0.0049999999999954525","-0.0049999999999954525"
"MATH 316","0.0","0.0","0.21500000000000075","0.33500000000000796","0.20499999999998408","-0.10000000000000853","0.09500000000001307","0.014999999999986358","0.005000000000009663","0.010000000000005116","-0.009999999999990905","0.0"
"ECE 203","0.0","0.0","0.0","0.3900000000000148","0.09499999999999886","0.16500000000000625","0.01999999999999602","0.025000000000005684","0.0049999999999954525","0.010000000000005116","-0.009999999999990905","-0.0049999999999954525"
"ME 318L","0.0","0.0","0.0","-0.8250000000000028","-0.3499999999999943","0.10499999999998977","-0.07000000000000739","-0.08500000000000796","0.07500000000000284","0.03999999999996362","0.014999999999986358","-0.009999999999990905"
"ENGL 219","0.0","0.0","-0.30499999999999616","0.3850000000000051","0.2049999999999983","0.09499999999999886","-0.010000000000005116","0.0","0.0","0.0","0.0","0.0"
"ME 301","0.0","0.0","0.0","0.004999999999999949","0.1700000000000017","0.20000000000000284","0.009999999999990905","-0.05000000000001137","0.040000000000034674","0.020000000000010232","0.0","-0.014999999999986358"
"ME 317","0.0","0.0","0.0","0.0","-0.5549999999999979","-0.47999999999998977","-0.10999999999999943","0.030000000000001137","-0.11000000000001364","0.06999999999999318","0.06999999999997897","0.010000000000005116"
"CE 302","0.0","0.0","0.0","-0.28000000000000025","-0.5399999999999778","0.1599999999999966","0.03499999999999659","0.07000000000000739","0.06999999999999318","0.029999999999986926","0.010000000000005116","-0.0049999999999954525"
"Math Elective","0.0","0.0","-0.41499999999999737","0.10999999999999943","0.04999999999999716","-0.10000000000000853","-0.07499999999998863","0.009999999999990905","0.0049999999999954525","0.0","0.0","0.0"
"Humanities","0.0","0.0","-0.014999999999999236","0.03000000000000469","0.16500000000001336","0.40500000000000114","-0.09499999999998465","0.009999999999990905","0.005000000000009663","-0.0049999999999954525","0.0","0.0"
"ME 360L","0.0","0.0","0.0","0.0","-0.0750000000000004","-0.3599999999999923","0.07500000000001705","0.004999999999981242","0.10500000000001819","0.04999999999998295","0.024999999999991473","0.015000000000000568"
"ME 357","0.0","0.0","0.0","0.0","-0.010000000000000231","-0.4099999999999895","-0.12000000000000455","-0.060000000000002274","-0.009999999999990905","0.05000000000001137","0.04999999999998295","0.0"
"ME 370L","0.0","0.0","0.0","0.0","-0.14500000000000024","-0.8600000000000065","0.24499999999999034","0.18500000000000227","0.13500000000000512","0.04000000000000625","0.03499999999998238","0.010000000000005116"
"ME 352L","0.0","0.0","0.0","0.0","-0.12499999999999994","-0.5549999999999926","0.16499999999999204","0.030000000000001137","0.07000000000000739","0.06999999999999318","0.029999999999986926","0.010000000000005116"
"ECON 105","0.0","0.0","0.0","2.9499999999999957","4.524999999999999","8.865000000000009","9.049999999999983","1.8950000000000102","0.41500000000002046","0.08499999999997954","0.030000000000001137","0.009999999999990905"
"Second Language","0.0","0.0","0.0","0.134999999999998","0.09499999999999886","1.6700000000000017","0.7049999999999983","0.060000000000044906","0.020000000000010232","0.0","0.0","0.0"
"ME 320L","0.0","0.0","0.0","0.0","0.0","0.06000000000000005","-0.3400000000000105","-0.10499999999998977","0.03499999999996817","-0.11000000000001364","0.07000000000000739","0.05999999999994543"
"ME 459","0.0","0.0","0.0","0.0","0.0","0.05499999999999994","1.7349999999999994","0.09999999999999432","0.005000000000009663","0.060000000000002274","0.045000000000001705","0.0"
"ME 380","0.0","0.0","0.0","0.0","0.0","0.035","0.5049999999999955","-0.060000000000002274","0.020000000000010232","0.005000000000009663","0.07499999999998863","0.03999999999996362"
"Tech Elective","0.0","0.0","0.0","-0.11499999999999977","0.1600000000000037","0.6950000000000003","4.634999999999991","0.5500000000000114","0.030000000000001137","0.030000000000001137","0.0","0.0"
"ME 460","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5749999999999957","-0.030000000000001137","0.014999999999986358","-0.12999999999999545","0.08500000000002217"
"Tech Elective","0.0","0.0","0.0","-0.09999999999999998","0.585","1.0949999999999989","2.595000000000006","1.1599999999999966","0.11000000000002785","0.0350000000000108","-0.015000000000000568","0.0"
"Tech Elective","0.0","0.0","0.0","0.0","0.45500000000000007","0.7199999999999971","0.7400000000000002","2.525000000000034","0.3949999999999818","0.005000000000038085","1.4210854715202004e-14","0.0"
"Tech Elective","0.0","0.0","0.0","0.0","0.24000000000000044","0.4899999999999993","0.5350000000000001","5.624999999999986","0.8849999999999625","0.09000000000000341","0.009999999999990905","0.0049999999999954525"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.065000000000005","1.1750000000000114","0.17500000000002558","-0.10999999999999943","0.10000000000003695"
