"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12"
"ENGL 110","10.249999999999986","1.1300000000000097","0.08499999999997954","0.015000000000000568","0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"MATH 162","-0.24500000000001876","0.12999999999996703","0.1799999999999926","0.08499999999997954","0.029999999999986926","-0.004999999999967031","-0.0049999999999954525","-0.0049999999999954525","0.0","0.0","0.0","0.0"
"ME 160L","0.025000000000005684","0.05999999999998806","-0.024999999999977263","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"CHEM 121","-0.769999999999996","-0.21999999999999886","0.0350000000000108","-0.005000000000023874","0.0","-0.009999999999990905","-0.0049999999999954525","-0.0049999999999954525","-0.0049999999999954525","0.0","0.0","0.0"
"CHEM 123L","-0.0049999999999954525","0.024999999999977263","0.0","-0.010000000000005116","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Fine Arts","0.03499999999999659","-0.0049999999999954525","-0.03999999999997783","-0.010000000000005116","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"ENGL 120","0.0","9.745000000000005","1.8400000000000176","0.25000000000004263","0.03999999999999204","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"MATH 163","0.0","-0.7450000000000045","-0.0899999999999892","0.16500000000000625","0.10499999999998977","0.09499999999998465","0.05499999999999261","0.005000000000009663","0.005000000000009663","-0.0049999999999954525","0.0","0.0"
"CS 151L","0.0","-0.835000000000008","-0.17499999999999716","0.0","-0.0049999999999954525","-0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0"
"PHYC 160","0.0","-0.9750000000000014","-0.29999999999999716","0.2599999999999767","0.11999999999999034","0.03499999999998238","-0.020000000000010232","1.4210854715202004e-14","1.4210854715202004e-14","-0.009999999999990905","-0.0049999999999954525","-0.0049999999999954525"
"PHYC 160L","0.0","-0.5999999999999943","0.13500000000000512","0.20499999999996987","0.0999999999999659","0.03999999999997783","-0.004999999999967031","-0.0049999999999954525","-0.0049999999999954525","0.0","0.0","0.0"
"Humanities","0.0","-0.18000000000002103","0.07999999999998408","0.0999999999999801","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"CE 202","0.0","0.0","-0.8799999999999955","-0.5299999999999727","0.3400000000000034","0.11000000000001364","0.17499999999999716","0.0700000000000216","0.040000000000020464","1.4210854715202004e-14","-0.014999999999986358","-0.0049999999999954525"
