"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12"
"ENGL 110","0.1349999999999767","-1.4210854715202004e-14","-0.025000000000019895","0.0","0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"MATH 162","-0.060000000000016485","-0.160000000000025","-0.025000000000005684","0.07499999999998863","0.04999999999999716","0.005000000000023874","0.0","0.0","0.0","0.0","0.0","0.0"
"ME 160L","-0.4900000000000091","-0.05999999999998806","-0.029999999999986926","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"CHEM 121","-0.0799999999999983","-0.08499999999999375","-0.030000000000001137","0.009999999999990905","0.0","-0.009999999999990905","0.0","0.0","0.0","0.0","0.0","0.0"
"CHEM 123L","-0.29000000000000625","-0.09000000000001762","0.030000000000015348","0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Fine Arts","0.0649999999999693","0.09499999999999886","-0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"ENGL 120","0.0","0.08500000000000796","0.14000000000000057","0.03000000000004377","0.03499999999998238","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"MATH 163","0.0","-0.5650000000000119","-0.12499999999998579","0.01999999999999602","0.1250000000000142","0.1349999999999909","0.024999999999991473","0.0049999999999954525","0.015000000000000568","0.0","0.0","0.0"
"CS 151L","0.0","-0.15500000000000114","-0.1799999999999926","0.009999999999990905","-0.005000000000009663","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"PHYC 160","0.0","-0.1950000000000074","0.12000000000000455","0.15999999999998238","0.024999999999991473","0.024999999999977263","0.015000000000000568","0.020000000000010232","0.010000000000005116","0.0","0.0","0.0"
"PHYC 160L","0.0","-0.21500000000001762","-0.044999999999973284","-0.07500000000000284","0.08999999999997499","0.0549999999999784","0.005000000000023874","0.0","-0.0049999999999954525","0.0","0.0","0.0"
"Humanities","0.0","-0.3200000000000074","0.2149999999999892","0.045000000000001705","1.4210854715202004e-14","-0.0049999999999954525","-0.0049999999999954525","0.0","0.0","0.0","0.0","0.0"
"CE 202","0.0","0.0","-0.5900000000000034","0.1950000000000074","0.18499999999998806","0.11500000000003752","0.10499999999998977","0.0700000000000216","0.030000000000001137","0.01500000000001478","0.0","0.0"
"ME 260L","0.0","-0.1349999999999998","-0.2600000000000051","-0.030000000000001137","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"MATH 264","0.0","0.0","-0.6999999999999957","-0.3750000000000284","0.06999999999997897","0.15999999999998238","0.15000000000000568","0.030000000000001137","0.024999999999991473","0.010000000000005116","-0.0049999999999954525","0.0"
"PHYC 161","0.0","0.0","-0.34500000000000597","-0.14500000000001023","0.19000000000002615","0.020000000000038654","-0.024999999999977263","-0.030000000000001137","0.015000000000000568","1.4210854715202004e-14","0.0","0.0"
"ME 217","0.0","0.0","0.37999999999999545","-0.2050000000000125","-0.05499999999999261","0.005000000000009663","0.0","0.0","0.0","0.0","0.0","0.0"
"ME 306","0.0","0.0","0.0","-0.7850000000000001","-0.22999999999998977","-2.842170943040401e-14","0.09999999999999432","0.13999999999998636","0.05999999999998806","0.04999999999998295","0.010000000000005116","0.0"
"MATH 316","0.0","0.0","0.21499999999999986","-0.2149999999999892","0.26500000000000057","0.14999999999999147","0.18000000000000682","0.014999999999986358","-0.004999999999981242","0.010000000000005116","0.0","0.0"
"ECE 203","0.0","0.0","0.0","0.05500000000000682","0.03000000000002956","0.11499999999999488","0.09999999999999432","0.030000000000001137","0.015000000000000568","0.01500000000001478","-0.0049999999999954525","0.0"
"ME 318L","0.0","0.0","0.0","-0.8200000000000003","-0.3850000000000051","0.14999999999999147","0.12999999999996703","0.09000000000001762","0.014999999999986358","0.029999999999972715","0.015000000000000568","-0.0049999999999954525"
"ENGL 219","0.0","0.0","-0.23000000000000398","0.37000000000001876","0.1349999999999909","0.0649999999999693","-0.010000000000005116","0.0","0.0","0.0","0.0","0.0"
"ME 301","0.0","0.0","0.0","-0.010000000000000064","-0.13500000000000512","0.1699999999999875","0.09000000000001762","-1.4210854715202004e-14","-0.009999999999990905","0.04000000000000625","0.005000000000009663","-0.0049999999999954525"
"ME 317","0.0","0.0","0.0","0.0","-0.610000000000003","-0.18499999999998806","0.005000000000009663","0.16500000000000625","0.12999999999999545","-0.0049999999999954525","0.03499999999998238","0.005000000000009663"
"CE 302","0.0","0.0","0.0","0.14999999999999947","-0.30999999999998806","0.35499999999998977","0.17000000000001592","0.1349999999999909","0.07000000000003581","0.01999999999999602","0.025000000000005684","0.0049999999999954525"
"Math Elective","0.0","0.0","-0.3199999999999985","-0.18000000000000682","-0.08000000000002672","-0.09000000000001762","-0.04999999999999716","0.0049999999999954525","0.0049999999999954525","0.0","0.0","0.0"
"Humanities","0.0","0.0","0.2950000000000004","1.9849999999999959","4.3400000000000105","4.659999999999997","0.5100000000000193","0.04999999999998295","0.010000000000005116","0.0","0.0","0.0"
"ME 360L","0.0","0.0","0.0","0.0","0.12999999999999967","-0.3499999999999943","0.2550000000000381","0.20000000000000284","0.13999999999998636","0.06500000000001194","0.009999999999990905","0.025000000000005684"
"ME 357","0.0","0.0","0.0","0.0","0.08999999999999986","-0.06999999999997897","0.09499999999999886","0.11499999999999488","0.11499999999999488","0.05500000000000682","0.06499999999998352","0.005000000000009663"
"ME 370L","0.0","0.0","0.0","0.0","-0.025000000000000133","0.2850000000000037","0.3400000000000034","0.2950000000000159","0.14000000000000057","0.044999999999987494","-1.4210854715202004e-14","0.025000000000005684"
"ME 352L","0.0","0.0","0.0","0.0","-0.04999999999999988","0.3100000000000023","0.3850000000000051","0.17500000000001137","0.1349999999999909","0.06500000000002615","0.01999999999999602","0.025000000000005684"
"ECON 105","0.0","0.0","0.0","0.29499999999999993","0.25","1.0499999999999972","-0.19000000000001194","-0.19000000000001194","-0.029999999999986926","-0.015000000000000568","0.005000000000009663","0.0049999999999954525"
"Second Language","0.0","0.0","0.0","0.15499999999999847","0.19999999999999574","1.4550000000000054","0.22499999999999432","0.025000000000019895","0.04999999999999716","0.014999999999986358","0.0","0.0"
"ME 320L","0.0","0.0","0.0","0.0","0.0","0.10000000000000009","0.020000000000003126","0.014999999999986358","0.09999999999999432","0.10500000000000398","0.020000000000010232","0.049999999999968736"
"ME 459","0.0","0.0","0.0","0.0","0.0","0.20499999999999985","1.5600000000000165","0.2849999999999966","0.10500000000001819","0.05499999999999261","0.045000000000001705","0.015000000000000568"
"ME 380","0.0","0.0","0.0","0.0","0.0","0.005000000000000001","1.779999999999994","0.30000000000001137","0.1599999999999966","0.18999999999999773","0.07999999999998408","0.06499999999998352"
"Tech Elective","0.0","0.0","0.0","0.1299999999999999","0.4250000000000025","0.2899999999999956","2.0","0.37999999999999545","-0.014999999999986358","0.024999999999991473","-0.0049999999999954525","0.0"
"ME 460","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.3449999999999918","0.29000000000000625","0.14999999999997726","0.18999999999998352","0.045000000000001705"
