"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12"
"ENGL 110","-0.410000000000025","0.030000000000015348","-0.020000000000010232","1.4210854715202004e-14","0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"MATH 162","1.1249999999999858","0.5449999999999875","0.2950000000000017","0.11499999999996646","0.045000000000015916","2.842170943040401e-14","0.0049999999999954525","0.0","0.0","0.0","0.0","0.0"
"ME 160L","0.3049999999999926","0.1599999999999966","-0.01999999999998181","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"CHEM 121","-0.5849999999999795","0.18999999999998352","0.009999999999976694","-1.4210854715202004e-14","0.009999999999990905","-0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0"
"CHEM 123L","0.09000000000000341","-0.03500000000002501","0.010000000000019327","0.009999999999990905","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Fine Arts","0.3249999999999602","0.01500000000002899","-0.03999999999997783","0.005000000000009663","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"ENGL 120","0.0","-0.26500000000000057","0.03999999999999204","0.025000000000034106","-0.005000000000009663","-0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0"
"MATH 163","0.0","0.43499999999998806","0.575000000000017","0.3850000000000051","0.24500000000000455","0.11000000000001364","0.004999999999981242","0.0049999999999954525","0.010000000000005116","0.0","0.0","0.0"
"CS 151L","0.0","-0.30500000000002103","-0.10500000000000398","-0.030000000000015348","-0.009999999999990905","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"PHYC 160","0.0","0.25500000000000256","0.6700000000000159","0.4300000000000068","0.024999999999991473","0.03499999999996817","-0.009999999999976694","0.020000000000010232","0.005000000000009663","0.0","0.0","0.0"
"PHYC 160L","0.0","1.2249999999999943","0.7450000000000472","0.2400000000000091","0.1349999999999767","0.05500000000000682","-0.004999999999981242","0.0049999999999954525","0.0","0.0","0.0","0.0"
"Humanities","0.0","-0.14499999999999602","0.2799999999999869","0.07999999999998408","-0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"CE 202","0.0","0.0","-0.14999999999999858","0.5050000000000097","0.5999999999999943","0.26500000000000057","0.15000000000000568","0.005000000000023874","0.03000000000002956","0.01500000000001478","0.0","0.0"
"ME 260L","0.0","-0.8249999999999975","0.13500000000000512","-0.014999999999986358","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"MATH 264","0.0","0.0","0.4000000000000199","0.6699999999999733","0.25499999999999545","0.19499999999999318","0.125","0.040000000000020464","0.03499999999999659","0.015000000000000568","-0.0049999999999954525","0.0"
"PHYC 161","0.0","0.0","-0.23000000000000398","0.9849999999999852","0.6450000000000244","0.11000000000001364","-0.01999999999998181","-0.014999999999986358","0.01999999999998181","0.010000000000005116","0.0","0.0"
"ME 217","0.0","0.0","0.5","-0.12999999999998124","-0.05999999999998806","-1.4210854715202004e-14","0.0","0.0","0.0","0.0","0.0","0.0"
"ME 306","0.0","0.0","0.0","-0.10500000000000043","0.21999999999999886","0.519999999999996","0.21000000000000796","0.2049999999999983","0.025000000000019895","0.06500000000001194","0.020000000000010232","-0.0049999999999954525"
"MATH 316","0.0","0.0","0.9050000000000002","11.789999999999992","3.684999999999988","1.1149999999999949","0.4200000000000159","0.07999999999998408","0.01999999999999602","0.010000000000005116","0.0","0.0"
"ECE 203","0.0","0.0","0.0","0.8449999999999847","0.36000000000002785","0.16499999999997783","0.13500000000000512","-0.03999999999999204","0.01999999999999602","0.01500000000001478","0.0","0.0"
"ME 318L","0.0","0.0","0.0","-0.2049999999999983","0.5950000000000131","0.4200000000000017","0.2300000000000182","-0.004999999999981242","0.015000000000000568","0.03499999999998238","0.024999999999991473","-0.0049999999999954525"
"ENGL 219","0.0","0.0","-0.860000000000003","0.13000000000000966","0.05999999999997385","0.029999999999986926","-0.014999999999986358","0.0","0.0","0.0","0.0","0.0"
"ME 301","0.0","0.0","0.0","-0.06000000000000005","1.4849999999999852","0.49499999999999034","0.2400000000000091","0.04999999999999716","0.005000000000023874","0.045000000000015916","0.025000000000005684","-0.0049999999999954525"
"ME 317","0.0","0.0","0.0","0.0","2.8399999999999963","1.6550000000000082","0.9450000000000074","0.5900000000000034","0.29999999999998295","0.04999999999998295","0.07500000000000284","0.024999999999991473"
"CE 302","0.0","0.0","0.0","0.2400000000000002","1.7400000000000233","0.9050000000000153","0.26500000000000057","0.17499999999999716","0.030000000000001137","0.015000000000000568","0.01999999999999602","0.0049999999999954525"
"Math Elective","0.0","0.0","-1.134999999999998","-0.4450000000000003","1.0649999999999835","0.214999999999975","-0.004999999999981242","0.0049999999999954525","0.0049999999999954525","0.0","0.0","0.0"
"Humanities","0.0","0.0","-0.2699999999999996","-0.21499999999999986","0.6250000000000142","0.4949999999999761","-0.03999999999996362","0.0","0.0","0.0","0.0","0.0"
