"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12"
"ENGL 110","-0.020000000000024443","0.07499999999998863","0.0049999999999954525","0.015000000000000568","0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"MATH 162","0.2149999999999892","0.3499999999999659","0.18500000000000227","0.08499999999996533","0.014999999999986358","0.005000000000009663","0.0049999999999954525","0.0","0.0","0.0","0.0","0.0"
"ME 160L","0.394999999999996","0.05000000000001137","-0.044999999999987494","-0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"CHEM 121","-0.23999999999999488","0.07499999999998863","0.04999999999998295","0.014999999999957936","0.005000000000009663","-0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0"
"CHEM 123L","-0.4099999999999824","-0.030000000000015348","0.005000000000023874","0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Fine Arts","0.025000000000005684","-0.05499999999999261","-0.07499999999998863","-0.010000000000005116","-0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"ENGL 120","0.0","-0.32500000000000284","0.06499999999999773","0.08000000000004093","0.014999999999986358","0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0"
"MATH 163","0.0","-0.3849999999999909","0.25500000000000966","0.3400000000000034","0.1150000000000233","0.10499999999998977","0.05499999999999261","0.009999999999990905","0.015000000000000568","-0.0049999999999954525","0.0","0.0"
"CS 151L","0.0","-0.5649999999999977","-0.29999999999999716","-0.030000000000001137","1.4210854715202004e-14","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"PHYC 160","0.0","-0.4200000000000088","0.09999999999999432","0.18999999999999773","0.0049999999999954525","0.015000000000000568","-0.005000000000009663","0.01999999999999602","0.010000000000005116","0.0","0.0","0.0"
"PHYC 160L","0.0","0.24999999999997158","0.3800000000000239","0.15500000000001535","0.0649999999999693","0.009999999999976694","0.005000000000009663","0.0","0.0","0.0","0.0","0.0"
"Humanities","0.0","0.47999999999998977","0.20999999999997954","0.03499999999999659","-0.01999999999998181","-0.009999999999990905","0.0","0.0","0.0","0.0","0.0","0.0"
"CE 202","0.0","0.0","-0.5049999999999955","0.17500000000001137","0.3749999999999858","0.07500000000001705","0.1150000000000091","0.09000000000003183","0.040000000000020464","0.020000000000010232","-0.0049999999999954525","0.0"
"ME 260L","0.0","0.0400000000000027","0.7500000000000142","-0.030000000000001137","-0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"MATH 264","0.0","0.0","-0.7749999999999844","0.30999999999997385","0.20499999999996987","0.07499999999998863","0.10500000000000398","0.045000000000001705","0.029999999999986926","0.015000000000000568","-0.0049999999999954525","-0.0049999999999954525"
"PHYC 161","0.0","0.0","-0.7850000000000108","-0.18000000000000682","0.29000000000002046","0.040000000000034674","1.4210854715202004e-14","-0.025000000000005684","0.0","0.015000000000000568","0.0","0.0"
"ME 217","0.0","0.0","0.015000000000000568","0.11499999999998067","-0.01999999999998181","-1.4210854715202004e-14","-0.0049999999999954525","0.0","0.0","0.0","0.0","0.0"
"ME 306","0.0","0.0","0.0","-0.7399999999999949","-0.10999999999997101","0.17499999999998295","0.01999999999999602","0.12999999999999545","0.045000000000001705","0.06499999999998352","0.014999999999986358","0.0"
"MATH 316","0.0","0.0","0.21999999999999975","0.5700000000000216","0.6000000000000085","0.18500000000001648","0.16499999999999204","0.03999999999999204","-0.015000000000000568","0.0049999999999954525","-0.0049999999999954525","0.0"
"ECE 203","0.0","0.0","0.0","0.33499999999999375","0.09499999999999886","0.04999999999998295","0.11499999999998067","-0.01999999999998181","0.01999999999999602","0.020000000000010232","-0.0049999999999954525","0.0"
"ME 318L","0.0","0.0","0.0","-0.865000000000002","0.045000000000001705","0.2750000000000057","0.05500000000000682","0.08000000000002672","0.01999999999999602","0.029999999999972715","0.03499999999999659","-0.0049999999999954525"
"ENGL 219","0.0","0.0","0.0","0.2950000000000017","0.18499999999998806","0.030000000000001137","-0.009999999999990905","0.0","0.0","0.0","0.0","0.0"
"ME 301","0.0","0.0","0.0","0.06499999999999995","0.27999999999999403","0.1950000000000074","0.08999999999997499","0.09499999999999886","0.005000000000023874","0.025000000000005684","0.030000000000001137","-0.0049999999999954525"
"ME 317","0.0","0.0","0.0","0.0","-0.1599999999999966","0.10499999999999687","0.03499999999999659","0.030000000000001137","0.12499999999997158","0.015000000000000568","0.04999999999999716","0.015000000000000568"
"CE 302","0.0","0.0","0.0","0.024999999999999467","0.39500000000002444","0.4199999999999875","0.19499999999999318","0.10999999999998522","0.07499999999998863","0.040000000000020464","0.024999999999991473","0.0"
"Math Elective","0.0","0.0","-0.41999999999999993","-0.01500000000001478","-0.045000000000015916","0.12999999999998124","-0.01999999999998181","0.0049999999999954525","0.0","0.0","0.0","0.0"
"Humanities","0.0","0.0","-0.05999999999999961","0.0849999999999973","-0.29999999999999716","0.3599999999999852","-0.12999999999999545","-0.0049999999999954525","1.4210854715202004e-14","0.0","0.0","0.0"
