"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12"
"ENGL 110","-0.1850000000000307","0.13500000000000512","-0.005000000000023874","0.005000000000009663","0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"MATH 162","-0.3500000000000085","-0.06999999999999318","0.030000000000015348","0.09499999999998465","0.025000000000005684","0.005000000000009663","0.0","0.0","0.0","0.0","0.0","0.0"
"ME 160L","0.15000000000000568","0.03500000000002501","-0.01999999999998181","0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"CHEM 121","-0.09000000000003183","-0.07500000000000284","0.03499999999999659","0.009999999999976694","0.020000000000010232","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"CHEM 123L","-0.2949999999999875","-0.0049999999999954525","1.4210854715202004e-14","-1.4210854715202004e-14","-0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Fine Arts","0.3599999999999852","0.2650000000000148","0.010000000000005116","0.010000000000005116","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"ENGL 120","0.0","-0.19999999999998863","0.3149999999999977","0.10500000000001819","0.03999999999999204","0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0"
"MATH 163","0.0","-0.8400000000000176","-0.1599999999999966","-0.10499999999997556","0.15000000000000568","0.18000000000000682","0.025000000000005684","0.0","0.005000000000009663","0.0","0.0","0.0"
"CS 151L","0.0","-0.34499999999999886","-0.014999999999986358","0.014999999999986358","0.010000000000005116","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"PHYC 160","0.0","-0.7150000000000034","-0.10499999999998977","0.044999999999973284","-1.4210854715202004e-14","0.030000000000001137","-0.015000000000000568","0.010000000000019327","0.010000000000005116","0.0","0.0","0.0"
"PHYC 160L","0.0","-0.22000000000001307","-0.029999999999986926","-0.015000000000000568","0.09999999999999432","0.025000000000005684","-0.009999999999990905","-0.0049999999999954525","0.0","0.0","0.0","0.0"
"Humanities","0.0","0.5249999999999773","0.20499999999998408","0.03999999999999204","0.01999999999998181","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"CE 202","0.0","0.0","-0.9149999999999991","-0.3199999999999932","-0.17499999999999716","0.040000000000020464","0.18499999999998806","0.05000000000001137","0.010000000000019327","0.0","-0.0049999999999954525","0.0"
"ME 260L","0.0","0.2950000000000017","1.4210854715202004e-14","-0.03499999999998238","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"MATH 264","0.0","0.0","-0.4999999999999929","-0.3650000000000091","-0.20499999999998408","0.014999999999986358","0.15999999999998238","0.08000000000002672","0.020000000000010232","-0.015000000000000568","-0.0049999999999954525","0.0"
"PHYC 161","0.0","0.0","-1.1500000000000128","-0.28000000000001535","0.21000000000000796","-0.044999999999987494","0.010000000000005116","0.010000000000005116","0.015000000000000568","1.4210854715202004e-14","0.0","0.0"
"ME 217","0.0","0.0","1.1199999999999903","1.4210854715202004e-14","-0.07000000000000739","-0.005000000000009663","0.0","0.0","0.0","0.0","0.0","0.0"
"ME 306","0.0","0.0","0.0","-0.5650000000000084","-0.8049999999999926","-0.3050000000000068","-0.16500000000000625","0.22499999999999432","0.09999999999999432","0.020000000000010232","-0.014999999999986358","-0.0049999999999954525"
"MATH 316","0.0","0.0","0.04999999999999982","0.25500000000000966","0.20999999999999375","0.23499999999999943","0.1950000000000074","0.009999999999990905","1.4210854715202004e-14","0.0","-0.0049999999999954525","0.0"
"ECE 203","0.0","0.0","0.0","-0.07500000000000284","-0.25499999999999545","0.0999999999999801","0.2149999999999892","0.0","1.4210854715202004e-14","0.01500000000001478","0.0","0.0"
"ME 318L","0.0","0.0","0.0","-0.8050000000000033","-0.5900000000000176","-0.21000000000000796","-0.06999999999997897","0.12000000000001876","0.10499999999998977","0.024999999999977263","-0.0049999999999954525","-0.0049999999999954525"
"ENGL 219","0.0","0.0","0.06999999999999318","0.9849999999999852","0.28999999999999204","0.05499999999999261","-0.030000000000001137","-0.0049999999999954525","0.0","0.0","0.0","0.0"
"ME 301","0.0","0.0","0.0","-0.05500000000000005","2.8899999999999864","1.105000000000004","0.41500000000000625","0.27000000000001023","0.13000000000000966","0.03999999999999204","-0.009999999999990905","-0.0049999999999954525"
"ME 317","0.0","0.0","0.0","0.0","-0.6999999999999993","-0.7699999999999889","-0.3749999999999858","-0.16499999999999204","0.20999999999997954","0.11999999999999034","0.014999999999986358","-0.0049999999999954525"
"CE 302","0.0","0.0","0.0","-0.05500000000000016","-0.19999999999998863","-0.05500000000000682","-0.025000000000005684","0.16499999999999204","0.060000000000002274","0.010000000000005116","0.0049999999999954525","-0.0049999999999954525"
"Math Elective","0.0","0.0","0.1800000000000015","0.3499999999999943","0.4200000000000017","0.029999999999972715","-0.004999999999981242","-0.015000000000000568","0.0","0.0","0.0","0.0"
"Humanities","0.0","0.0","-0.044999999999999485","0.37500000000000355","0.6499999999999986","0.2049999999999983","0.020000000000024443","-0.020000000000010232","0.005000000000009663","0.0","0.0","0.0"
"ME 360L","0.0","0.0","0.0","0.0","0.019999999999999574","-0.09000000000000341","-0.11999999999997613","-0.05000000000001137","0.1349999999999909","0.05999999999998806","-0.009999999999990905","0.0049999999999954525"
"ME 357","0.0","0.0","0.0","0.0","0.11499999999999977","-0.15999999999998948","-0.14499999999999602","-0.19499999999999318","0.18999999999998352","0.09000000000000341","0.025000000000005684","-0.01999999999998181"
"ME 370L","0.0","0.0","0.0","0.0","-0.12000000000000016","0.5550000000000068","-0.06500000000002615","0.045000000000001705","0.16000000000003922","0.045000000000001705","-0.0049999999999954525","0.0"
"ME 352L","0.0","0.0","0.0","0.0","-0.1349999999999999","0.5750000000000028","-0.004999999999981242","-0.025000000000005684","0.16499999999999204","0.060000000000002274","0.010000000000005116","0.0049999999999954525"
"ECON 105","0.0","0.0","0.0","0.7199999999999989","0.3749999999999929","0.8649999999999949","0.06999999999999318","-0.20999999999997954","-0.024999999999991473","-2.842170943040401e-14","0.009999999999990905","-1.4210854715202004e-14"
"Second Language","0.0","0.0","0.0","-0.010000000000001563","-0.12000000000000455","1.2250000000000085","0.24499999999999034","0.19000000000002615","0.01999999999998181","0.0049999999999954525","-0.0049999999999954525","0.0"
"ME 320L","0.0","0.0","0.0","0.0","0.0","0.004999999999999893","-0.39000000000000057","-0.21999999999998465","-0.13000000000000966","0.2149999999999892","0.14499999999999602","0.024999999999963052"
"ME 459","0.0","0.0","0.0","0.0","0.0","0.03499999999999992","1.065000000000012","0.17499999999998295","0.18500000000000227","0.10500000000000398","0.030000000000015348","-0.0049999999999954525"
"ME 380","0.0","0.0","0.0","0.0","0.0","0.039999999999999994","0.4749999999999943","-0.14000000000000057","-0.10500000000000398","0.2049999999999983","0.10999999999997101","0.014999999999986358"
"Tech Elective","0.0","0.0","0.0","-0.125","0.23500000000000298","0.1750000000000007","1.1850000000000023","-0.12000000000001876","-0.025000000000005684","-0.0049999999999954525","0.0","0.0"
"ME 460","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.44999999999998863","-0.004999999999981242","-0.10000000000002274","0.23499999999999943","0.15499999999998693"
"Tech Elective","0.0","0.0","0.0","-0.025000000000000022","0.40500000000000025","0.5099999999999998","0.7550000000000026","0.23000000000000398","0.07500000000001705","0.020000000000010232","-0.009999999999990905","0.0"
"Tech Elective","0.0","0.0","0.0","0.0","0.125","0.1850000000000005","0.09999999999999964","0.5350000000000108","0.1600000000000108","-0.014999999999972147","2.842170943040401e-14","0.0"
"Tech Elective","0.0","0.0","0.0","0.0","-0.07999999999999963","-0.06500000000000039","-0.019999999999998685","-0.3500000000000085","-0.2849999999999966","-0.03500000000002501","0.024999999999991473","0.0049999999999954525"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.18499999999999517","-0.24500000000000455","-0.12499999999998579","0.25","0.1599999999999966"
