"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12"
"ENGL 110","-0.3550000000000182","0.03499999999999659","-0.030000000000001137","0.0","0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"MATH 162","0.10499999999998977","-0.07999999999998408","0.09000000000000341","0.08499999999995111","0.0049999999999954525","-0.0049999999999954525","0.0049999999999954525","0.0","0.0","0.0","0.0","0.0"
"ME 160L","-0.044999999999987494","-0.0800000000000125","-0.03999999999999204","0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"CHEM 121","0.03999999999999204","0.20999999999997954","0.009999999999976694","-0.020000000000038654","0.005000000000009663","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"CHEM 123L","-0.22999999999996135","-0.03499999999999659","0.025000000000005684","0.009999999999990905","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Fine Arts","0.17499999999998295","0.17499999999999716","0.010000000000005116","0.015000000000000568","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"ENGL 120","0.0","-0.47500000000002274","0.010000000000005116","-0.03999999999997783","0.029999999999986926","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"MATH 163","0.0","-0.40500000000000824","-0.06499999999999773","0.07500000000001705","0.0049999999999954525","0.10999999999999943","0.06999999999999318","0.0049999999999954525","0.015000000000000568","0.0","0.0","0.0"
"CS 151L","0.0","-0.5650000000000119","-0.1700000000000017","-0.05500000000003524","-0.0049999999999954525","-0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0"
"PHYC 160","0.0","-0.22500000000000142","-0.1899999999999693","0.12999999999999545","-0.020000000000024443","0.0549999999999784","0.010000000000005116","0.025000000000005684","0.010000000000005116","0.0","0.0","0.0"
"PHYC 160L","0.0","0.10999999999998522","0.09000000000001762","0.09499999999999886","0.08999999999996078","-0.005000000000009663","-0.009999999999990905","0.0049999999999954525","0.0","0.0","0.0","0.0"
"Humanities","0.0","0.17499999999996874","0.13999999999998636","0.05000000000001137","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"CE 202","0.0","0.0","-0.29999999999999716","-0.04999999999999716","-0.060000000000002274","-0.01999999999998181","0.15999999999998238","0.13000000000000966","0.0350000000000108","0.020000000000010232","0.0","0.0"
"ME 260L","0.0","0.025000000000000355","-0.004999999999981242","-0.04000000000000625","0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
