"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12"
"ENGL 110","-0.05500000000002103","0.09500000000001307","-0.04999999999999716","0.0","0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"MATH 162","-0.07500000000000284","0.15000000000000568","0.009999999999990905","0.09499999999995623","0.024999999999991473","0.010000000000005116","0.0049999999999954525","0.0","0.0","0.0","0.0","0.0"
"ME 160L","0.07499999999998863","0.10000000000002274","-0.024999999999977263","0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"CHEM 121","-0.8399999999999892","-0.03499999999999659","0.0799999999999983","-0.03000000000002956","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"CHEM 123L","-0.6750000000000114","-0.020000000000010232","0.045000000000015916","0.009999999999990905","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Fine Arts","0.06499999999999773","0.060000000000016485","-0.05500000000002103","0.010000000000005116","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"ENGL 120","0.0","-0.48500000000001364","0.125","-0.014999999999986358","0.014999999999986358","0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0"
"MATH 163","0.0","-0.4700000000000131","0.3450000000000131","0.2149999999999892","0.25","0.13000000000000966","0.03999999999997783","-0.0049999999999954525","0.01999999999999602","0.0","0.0","0.0"
"CS 151L","0.0","-0.32499999999998863","-0.18500000000001648","-0.030000000000015348","-0.0049999999999954525","-0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0"
"PHYC 160","0.0","-0.4200000000000088","0.1349999999999909","0.1349999999999767","0.08499999999999375","0.03499999999999659","-0.01999999999999602","0.0","0.005000000000009663","0.0","0.0","0.0"
"PHYC 160L","0.0","2.619999999999976","1.0450000000000301","0.1799999999999926","0.13999999999995794","0.03499999999998238","0.010000000000005116","0.0049999999999954525","0.0","0.0","0.0","0.0"
"Humanities","0.0","-0.1500000000000199","0.015000000000000568","0.025000000000005684","-0.009999999999990905","-0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0"
"CE 202","0.0","0.0","-0.5749999999999957","0.39500000000001023","0.2949999999999875","0.32500000000000284","0.125","0.05500000000002103","0.020000000000010232","0.01999999999999602","0.0","0.0"
"ME 260L","0.0","-0.28999999999999737","0.1600000000000108","-0.030000000000001137","0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"MATH 264","0.0","0.0","-0.32499999999998863","0.15999999999998238","0.0899999999999892","0.25499999999998124","0.10999999999999943","0.07000000000000739","-1.4210854715202004e-14","0.010000000000005116","0.0","0.0"
"PHYC 161","0.0","0.0","-0.670000000000023","-0.13500000000000512","0.24500000000000455","0.01500000000002899","-0.014999999999986358","-0.03999999999999204","0.0","0.010000000000005116","0.0","0.0"
"ME 217","0.0","0.0","0.2599999999999909","-0.0799999999999983","-0.07499999999997442","-0.015000000000000568","-0.0049999999999954525","0.0","0.0","0.0","0.0","0.0"
"ME 306","0.0","0.0","0.0","-0.37000000000000455","-0.024999999999991473","0.030000000000001137","0.20999999999999375","0.07000000000000739","0.060000000000016485","0.025000000000005684","0.010000000000005116","0.0049999999999954525"
"MATH 316","0.0","0.0","0.17999999999999972","0.045000000000015916","0.31999999999997897","0.24999999999997158","0.2050000000000125","0.06499999999999773","-0.015000000000000568","0.01999999999999602","0.0","0.0"
"ECE 203","0.0","0.0","0.0","0.5150000000000006","0.28000000000001535","0.29999999999999716","0.16499999999997783","-0.009999999999990905","-0.015000000000000568","0.015000000000000568","0.0","0.0"
"ME 318L","0.0","0.0","0.0","-0.7850000000000037","-0.3500000000000085","0.17000000000001592","0.17500000000002558","0.07000000000000739","0.010000000000005116","-0.030000000000015348","0.01999999999999602","0.0"
"ENGL 219","0.0","0.0","-0.14000000000000057","0.17499999999999716","0.2400000000000091","0.06999999999999318","-0.009999999999990905","0.0","0.0","0.0","0.0","0.0"
"ME 301","0.0","0.0","0.0","-0.04500000000000004","0.2749999999999915","0.25499999999998124","0.20000000000001705","0.09500000000001307","0.020000000000010232","-0.015000000000000568","0.01999999999999602","0.0"
"ME 317","0.0","0.0","0.0","0.0","-0.5300000000000011","-0.3749999999999858","-0.04000000000000625","0.23499999999999943","0.06999999999999318","0.03499999999999659","0.009999999999976694","0.005000000000009663"
"CE 302","0.0","0.0","0.0","0.07999999999999918","0.4100000000000108","0.25499999999999545","0.3050000000000068","0.1349999999999767","0.05000000000002558","0.01999999999999602","0.029999999999986926","0.0049999999999954525"
"Math Elective","0.0","0.0","-0.4499999999999975","-0.22999999999999687","-0.32500000000001705","0.0649999999999693","-0.04000000000000625","-1.4210854715202004e-14","0.0049999999999954525","0.0","0.0","0.0"
"Humanities","0.0","0.0","-0.23499999999999943","-0.3200000000000003","-0.4099999999999895","0.42500000000001137","-0.0649999999999693","-0.010000000000005116","-0.005000000000009663","0.0","0.0","0.0"
"ME 360L","0.0","0.0","0.0","0.0","0.03999999999999959","0.5349999999999895","0.2600000000000193","0.25","0.16500000000002046","0.015000000000000568","0.0049999999999954525","0.029999999999986926"
"ME 357","0.0","0.0","0.0","0.0","-0.0050000000000001155","0.22500000000002274","0.1150000000000091","0.2600000000000051","0.07999999999998408","0.05500000000002103","0.04000000000000625","0.0049999999999954525"
"ME 370L","0.0","0.0","0.0","0.0","-0.03500000000000014","0.3149999999999977","0.36999999999999034","0.33500000000000796","0.1600000000000108","0.04999999999999716","0.029999999999986926","0.029999999999986926"
"ME 352L","0.0","0.0","0.0","0.0","-0.014999999999999902","0.3100000000000023","0.26500000000000057","0.3050000000000068","0.1349999999999767","0.05000000000002558","0.01999999999999602","0.029999999999986926"
"ECON 105","0.0","0.0","0.0","0.17499999999999893","-0.3450000000000024","-0.8900000000000006","-0.18999999999999773","-0.1599999999999966","-0.01999999999998181","-0.010000000000019327","0.005000000000009663","0.0"
"Second Language","0.0","0.0","0.0","-0.21500000000000163","-0.4250000000000007","-0.31500000000000483","-0.010000000000005116","-0.01999999999998181","-0.009999999999990905","-2.842170943040401e-14","0.0","0.0"
"ME 320L","0.0","0.0","0.0","0.0","0.0","0.0","-0.25499999999999545","0.005000000000009663","0.19499999999997897","0.060000000000016485","0.044999999999987494","0.024999999999963052"
"ME 459","0.0","0.0","0.0","0.0","0.0","0.10000000000000009","0.7800000000000011","0.33500000000000796","0.18999999999999773","0.040000000000020464","0.025000000000019895","0.024999999999991473"
"ME 380","0.0","0.0","0.0","0.0","0.0","0.024999999999999998","0.4800000000000111","0.07499999999998863","0.40500000000000114","0.0799999999999983","0.08499999999997954","0.045000000000001705"
"Tech Elective","0.0","0.0","0.0","-0.24499999999999988","-0.3299999999999965","-0.5300000000000011","-0.6550000000000082","-0.2850000000000108","-0.1600000000000108","-0.005000000000009663","0.0049999999999954525","0.0"
"ME 460","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.18999999999999062","0.010000000000005116","0.29999999999996874","0.03499999999999659","0.07000000000000739"
"Tech Elective","0.0","0.0","0.0","-0.08499999999999991","0.10999999999999854","-0.245000000000001","-0.24499999999999744","-0.07499999999998863","0.015000000000000568","0.06500000000002615","-0.009999999999990905","0.0"
"Tech Elective","0.0","0.0","0.0","0.0","-0.1299999999999999","-0.2550000000000008","-0.35999999999999943","-0.15999999999998238","-0.020000000000010232","-0.0999999999999659","-0.009999999999976694","0.0"
"Tech Elective","0.0","0.0","0.0","0.0","0.0050000000000001155","-0.23000000000000043","-0.35999999999999943","-0.3000000000000256","-0.3650000000000375","-0.040000000000020464","0.01999999999998181","-0.005000000000009663"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-0.19000000000000128","-0.10999999999997101","0.22000000000001307","0.044999999999987494","0.06500000000001194"
