"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12"
"ENGL 110","-0.2750000000000199","0.060000000000030695","-0.03499999999999659","0.015000000000000568","0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"MATH 162","0.2949999999999875","0.1799999999999926","0.19999999999998863","0.09499999999997044","0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"ME 160L","0.19499999999997897","1.4210854715202004e-14","-0.009999999999990905","-0.005000000000009663","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"CHEM 121","-0.21500000000001762","0.04999999999999716","-0.07000000000000739","0.009999999999976694","-0.0049999999999954525","-0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0"
"CHEM 123L","-0.4399999999999977","-0.07500000000001705","-0.044999999999987494","0.009999999999990905","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Fine Arts","0.15499999999997272","0.030000000000015348","-0.06500000000001194","0.010000000000005116","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"ENGL 120","0.0","-0.22499999999999432","0.010000000000005116","0.020000000000052864","0.009999999999990905","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"MATH 163","0.0","-0.10999999999999943","0.46000000000002217","0.3850000000000051","0.26500000000000057","0.09499999999999886","0.01999999999998181","0.009999999999990905","0.009999999999990905","0.0","0.0","0.0"
"CS 151L","0.0","-0.9950000000000188","-0.23999999999999488","-0.0350000000000108","0.005000000000009663","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"PHYC 160","0.0","-0.375","0.08500000000000796","0.19499999999999318","0.029999999999986926","0.010000000000005116","-0.03999999999999204","0.0049999999999954525","0.005000000000009663","0.0","0.0","0.0"
"PHYC 160L","0.0","0.3699999999999761","0.1700000000000017","0.18500000000000227","0.10499999999997556","0.009999999999976694","0.0","-0.005000000000009663","0.0","0.0","0.0","0.0"
"Humanities","0.0","0.36999999999999034","0.14000000000000057","0.10999999999999943","1.4210854715202004e-14","-0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0"
"CE 202","0.0","0.0","-0.5499999999999972","0.2749999999999915","0.41500000000000625","0.3300000000000267","0.12999999999996703","0.020000000000038654","0.015000000000043201","0.014999999999986358","0.0","0.0"
"ME 260L","0.0","-0.28500000000000014","-0.029999999999972715","-0.030000000000001137","-0.005000000000009663","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"MATH 264","0.0","0.0","-0.11499999999998778","0.5599999999999596","0.33500000000000796","0.1700000000000017","0.0800000000000125","0.06500000000001194","0.04999999999998295","0.009999999999990905","-0.009999999999990905","0.0"
"PHYC 161","0.0","0.0","7.424999999999997","6.415000000000006","2.6650000000000205","0.7900000000000205","0.20500000000002672","0.020000000000010232","0.01999999999998181","0.010000000000005116","0.0","0.0"
"ME 217","0.0","0.0","-0.04999999999998295","-0.23500000000001364","-0.0899999999999892","0.005000000000009663","0.0","0.0","0.0","0.0","0.0","0.0"
"ME 306","0.0","0.0","0.0","-0.504999999999999","0.07500000000001705","0.29999999999999716","0.27000000000001023","0.12999999999999545","0.05000000000001137","0.05500000000000682","0.014999999999986358","-0.0049999999999954525"
"MATH 316","0.0","0.0","0.11000000000000032","0.8200000000000216","0.9449999999999932","0.37999999999996703","0.14000000000000057","0.025000000000005684","0.015000000000000568","0.0049999999999954525","0.0","0.0"
"ECE 203","0.0","0.0","0.0","1.0200000000000102","0.35000000000002274","0.31999999999997897","0.0899999999999892","-0.03999999999997783","0.0049999999999954525","0.014999999999986358","0.0","0.0"
"ME 318L","0.0","0.0","0.0","3.7299999999999933","5.349999999999994","2.440000000000026","0.8600000000000279","0.23499999999999943","0.10000000000000853","0.05999999999997385","0.024999999999977263","-0.009999999999990905"
"ENGL 219","0.0","0.0","-0.22500000000000497","-1.019999999999996","0.16499999999999204","0.015000000000000568","-0.005000000000009663","0.0","0.0","0.0","0.0","0.0"
"ME 301","0.0","0.0","0.0","0.1100000000000001","5.509999999999977","2.4799999999999898","0.8900000000000148","0.25499999999998124","0.06500000000002615","0.060000000000016485","0.01999999999998181","-0.009999999999990905"
"ME 317","0.0","0.0","0.0","0.0","2.6549999999999976","4.5","2.500000000000014","1.1749999999999972","0.4549999999999841","0.05999999999998806","0.06499999999998352","0.03499999999998238"
"CE 302","0.0","0.0","0.0","-1.5649999999999995","-0.3249999999999744","0.7150000000000034","0.33499999999999375","0.1699999999999875","0.020000000000010232","-0.009999999999990905","0.014999999999986358","0.0"
"Math Elective","0.0","0.0","-0.6949999999999985","-0.2849999999999966","-0.960000000000008","-0.14500000000002444","-0.09999999999999432","-0.009999999999990905","0.0049999999999954525","0.0","0.0","0.0"
