"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12"
"ENGL 110","-0.3100000000000023","0.20500000000002672","-0.04000000000000625","-0.0049999999999954525","0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"MATH 162","-0.34499999999999886","0.0649999999999693","0.1349999999999909","0.06999999999996476","0.0049999999999954525","-0.024999999999991473","-0.0049999999999954525","-0.0049999999999954525","0.0","0.0","0.0","0.0"
"ME 160L","0.16500000000000625","0.0049999999999954525","-0.07999999999998408","-0.010000000000005116","-0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"CHEM 121","-0.21999999999998465","-0.10499999999998977","0.16500000000000625","0.07999999999998408","0.020000000000010232","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"CHEM 123L","-0.16499999999997783","0.08999999999997499","0.0049999999999954525","-0.010000000000005116","-0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Fine Arts","0.18999999999998352","0.10500000000000398","-0.03999999999999204","0.015000000000000568","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"ENGL 120","0.0","-0.2400000000000091","0.2950000000000159","0.020000000000038654","0.0049999999999954525","0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0"
"MATH 163","0.0","-0.49499999999999034","0.375","0.23499999999999943","0.22999999999998977","0.08500000000000796","-0.020000000000024443","-0.014999999999986358","0.0049999999999954525","0.0","0.0","0.0"
"CS 151L","0.0","-0.40500000000001535","-0.10999999999998522","-0.01500000000002899","0.010000000000005116","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"PHYC 160","0.0","-0.394999999999996","0.3100000000000023","0.06499999999999773","0.010000000000005116","0.05999999999998806","-0.025000000000005684","0.01500000000001478","0.005000000000009663","0.0","0.0","0.0"
"PHYC 160L","0.0","-0.18000000000000682","0.06499999999998352","0.15499999999998693","0.05999999999997385","0.0049999999999954525","-0.024999999999991473","-0.0049999999999954525","-0.009999999999990905","-0.0049999999999954525","0.0","0.0"
"Humanities","0.0","0.6299999999999955","0.18999999999999773","0.07999999999998408","-0.01999999999998181","-0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0"
"CE 202","0.0","0.0","-0.3299999999999983","0.45000000000000284","0.2949999999999875","0.21000000000003638","0.14499999999999602","0.03000000000002956","0.025000000000034106","0.015000000000000568","0.0","0.0"
"ME 260L","0.0","-0.10999999999999943","0.03499999999999659","-0.07500000000001705","-0.010000000000005116","-0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0"
"MATH 264","0.0","0.0","-0.37999999999999545","0.38999999999995794","0.31500000000001194","0.21999999999998465","0.12000000000000455","0.010000000000005116","0.0049999999999954525","-1.4210854715202004e-14","-0.009999999999990905","0.0"
"PHYC 161","0.0","0.0","-0.39500000000001734","0.2149999999999892","0.2049999999999983","0.05500000000003524","0.0","-0.04999999999999716","0.014999999999986358","0.005000000000009663","0.0","0.0"
"ME 217","0.0","0.0","0.6349999999999909","0.08500000000000796","-0.05000000000001137","0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0"
"ME 306","0.0","0.0","0.0","0.04500000000000526","0.12000000000000455","0.3849999999999767","0.11999999999999034","0.2150000000000034","0.03999999999999204","0.06499999999999773","0.009999999999990905","-0.010000000000005116"
"MATH 316","0.0","0.0","0.03500000000000014","0.4700000000000273","0.5299999999999869","0.19000000000001194","0.17500000000001137","-0.024999999999991473","-0.009999999999990905","0.0049999999999954525","0.0","0.0"
