"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12"
"ENGL 110","0.1699999999999875","0.14500000000002444","0.020000000000010232","0.010000000000005116","0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"MATH 162","-0.42500000000001137","-0.2500000000000142","0.06999999999999318","0.14999999999997726","0.045000000000015916","0.005000000000023874","0.0","-0.0049999999999954525","-0.0049999999999954525","-0.0049999999999954525","-0.0049999999999954525","0.0"
"ME 160L","0.25500000000000966","0.04000000000000625","-0.024999999999977263","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"CHEM 121","-0.3650000000000091","-0.13500000000000512","-0.005000000000009663","-0.005000000000023874","-0.009999999999990905","-0.015000000000000568","-0.0049999999999954525","0.0","0.0","0.0","0.0","0.0"
"CHEM 123L","-0.4549999999999699","0.009999999999990905","-0.01999999999999602","0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Fine Arts","0.09000000000000341","0.07500000000003126","-0.009999999999976694","1.4210854715202004e-14","-0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"ENGL 120","0.0","0.0700000000000216","0.2500000000000142","0.10000000000003695","0.014999999999986358","0.0","-0.0049999999999954525","0.0","0.0","0.0","0.0","0.0"
"MATH 163","0.0","-0.7500000000000142","-0.394999999999996","0.0800000000000125","0.18500000000000227","0.09000000000000341","0.025000000000005684","-0.009999999999990905","0.010000000000005116","-0.0049999999999954525","-0.0049999999999954525","-0.0049999999999954525"
"CS 151L","0.0","-0.30500000000002103","-0.12000000000000455","-0.060000000000030695","-0.005000000000009663","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"PHYC 160","0.0","-0.23500000000000654","-0.3149999999999835","0.05499999999999261","-0.010000000000019327","0.03499999999998238","-0.025000000000005684","0.005000000000009663","-0.004999999999981242","-0.0049999999999954525","-0.0049999999999954525","-0.0049999999999954525"
"PHYC 160L","0.0","-0.43000000000002103","-0.14000000000000057","0.015000000000000568","0.12999999999998124","0.05500000000000682","0.005000000000023874","0.0","-0.0049999999999954525","-0.0049999999999954525","-0.0049999999999954525","-0.0049999999999954525"
"Humanities","0.0","0.24499999999997613","0.2599999999999909","0.09000000000000341","0.030000000000001137","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"CE 202","0.0","0.0","-0.4799999999999969","-0.18999999999999773","-0.01500000000001478","0.07000000000000739","0.12999999999999545","0.0350000000000108","0.01500000000001478","0.010000000000005116","-0.015000000000000568","-0.0049999999999954525"
"ME 260L","0.0","0.3550000000000004","0.04000000000000625","-0.03499999999999659","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"MATH 264","0.0","0.0","-0.509999999999998","-0.8350000000000222","-2.842170943040401e-14","0.09499999999995623","0.12999999999999545","0.05500000000002103","0.0049999999999954525","-0.005000000000009663","-0.010000000000005116","-0.0049999999999954525"
"PHYC 161","0.0","0.0","-0.4100000000000037","-0.3450000000000131","0.0350000000000108","-0.05999999999997385","0.010000000000005116","0.0049999999999954525","0.015000000000000568","-0.0049999999999954525","-0.0049999999999954525","-0.0049999999999954525"
"ME 217","0.0","0.0","0.3849999999999767","0.1150000000000091","-0.045000000000001705","-0.0049999999999954525","0.0","0.0","0.0","0.0","0.0","0.0"
"ME 306","0.0","0.0","0.0","-0.3100000000000023","-0.5349999999999824","-0.08500000000000796","-0.020000000000010232","0.1950000000000074","0.05500000000000682","0.020000000000010232","-0.009999999999990905","-0.015000000000000568"
"MATH 316","0.0","0.0","-0.16499999999999915","0.39500000000001023","0.39500000000001023","0.19999999999998863","0.13500000000000512","0.01999999999999602","-0.009999999999990905","0.010000000000005116","-0.0049999999999954525","-0.0049999999999954525"
"ECE 203","0.0","0.0","0.0","-0.10499999999998977","-0.07499999999998863","0.03999999999999204","0.07500000000000284","-0.005000000000009663","-0.0049999999999954525","0.01500000000001478","-0.009999999999990905","-0.0049999999999954525"
"ME 318L","0.0","0.0","0.0","-0.350000000000005","-0.8450000000000131","-0.2849999999999824","-0.13000000000000966","0.025000000000019895","0.08499999999997954","0.024999999999977263","0.0049999999999954525","-0.010000000000005116"
"ENGL 219","0.0","0.0","0.5949999999999989","0.23999999999999488","0.29000000000002046","0.04999999999998295","-0.030000000000001137","-0.0049999999999954525","0.0","0.0","0.0","0.0"
"ME 301","0.0","0.0","0.0","-0.0050000000000000044","-0.394999999999996","-0.375","-0.09499999999999886","0.010000000000005116","0.025000000000034106","0.030000000000015348","-0.0049999999999954525","-0.010000000000005116"
"ME 317","0.0","0.0","0.0","0.0","-0.07500000000000284","-0.5100000000000122","-0.3399999999999892","-0.23000000000000398","0.16499999999999204","0.1349999999999909","0.06499999999998352","-0.0049999999999954525"
"CE 302","0.0","0.0","0.0","0.14000000000000057","-0.20999999999999375","0.09999999999999432","0.0350000000000108","0.2150000000000034","0.025000000000005684","0.020000000000010232","0.009999999999990905","-0.015000000000000568"
"Math Elective","0.0","0.0","0.19500000000000384","0.22499999999999432","0.5249999999999915","0.1449999999999818","-0.05999999999998806","-0.0049999999999954525","0.0","0.0","0.0","0.0"
"Humanities","0.0","0.0","0.02499999999999991","0.14499999999999957","0.40499999999999403","0.5049999999999955","0.08500000000000796","0.014999999999986358","0.005000000000009663","0.0","0.0","0.0"
"ME 360L","0.0","0.0","0.0","0.0","0.07499999999999973","-0.054999999999985505","0.05000000000002558","0.01999999999998181","0.22500000000000853","0.030000000000001137","0.009999999999990905","0.009999999999990905"
"ME 357","0.0","0.0","0.0","0.0","0.02499999999999991","-0.12499999999997868","-0.10500000000000398","-0.025000000000005684","0.21999999999999886","0.05500000000000682","0.01999999999999602","-0.009999999999990905"
"ME 370L","0.0","0.0","0.0","0.0","-0.060000000000000275","0.22000000000000597","0.010000000000005116","0.16500000000000625","0.2600000000000051","0.029999999999972715","0.024999999999977263","0.0"
"ME 352L","0.0","0.0","0.0","0.0","-0.06999999999999995","0.21500000000001052","0.10999999999998522","0.04000000000000625","0.2150000000000034","0.025000000000005684","0.020000000000010232","0.009999999999990905"
"ECON 105","0.0","0.0","0.0","0.7899999999999991","0.21000000000000085","0.09999999999999432","-0.4250000000000256","-0.2950000000000017","-0.014999999999972147","-0.01500000000001478","0.0049999999999954525","0.0"
"Second Language","0.0","0.0","0.0","0.21499999999999808","0.04999999999999716","0.13999999999999346","-0.23500000000001364","-0.024999999999991473","0.009999999999990905","0.009999999999990905","0.0","0.0"
"ME 320L","0.0","0.0","0.0","0.0","0.0","0.08999999999999991","-0.29000000000000625","-0.3050000000000068","-0.2600000000000193","0.125","0.14499999999999602","0.06999999999996476"
"ME 459","0.0","0.0","0.0","0.0","0.0","0.12499999999999978","0.41500000000000625","0.06499999999999773","0.1500000000000199","0.03499999999998238","0.040000000000020464","-0.0049999999999954525"
