"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8"
"ENGL 101","-0.5679200000000114","0.06172000000000196","-0.08639999999998253","-0.012339999999961436","0.03704000000000065","0.01234000000001231","0.0123400000000089","0.0"
"MATH 162","-0.666660000000006","-0.8888199999999667","-0.8394399999999752","-0.5555400000000037","-0.35800000000003906","-0.3951199999999679","-0.37041999999995423","-0.11105999999998659"
"ECE 101","-0.44442000000001114","0.08642000000002553","8.810729923425242e-15","0.0","0.0","0.0","0.0","0.0"
"ECE 131","-0.8025399999999974","-0.024740000000049348","-0.14821999999998467","-0.06175999999997288","-1.999999997536861e-5","8.810729923425242e-15","0.0","0.0"
"PHYC 160","-0.3210000000000065","-0.32099999999996726","-0.2221600000000197","0.4814799999999687","-0.16050000000002795","-0.02471999999998161","0.012420000000020082","0.11108000000004012"
"ENGL 102","0.0","-1.5062599999999982","0.33324000000000725","0.04935999999998955","-0.07401999999999759","0.024720000000040442","-0.024699999999978958","-0.024699999999991177"
"MATH 163","0.0","0.0988800000000024","-0.5308199999999711","-1.3951200000000024","-1.1110400000000087","-0.8642399999999943","-0.6542600000000067","-0.654319999999995"
"PHYC 161","0.0","-0.3085999999999974","0.6049400000000007","-0.6913400000000164","-0.2345600000000104","-0.03696000000000993","-0.18522000000003316","-0.02469999999999601"
"PHYC 161L","0.0","-0.3703799999999978","-0.2592599999999928","-0.4445200000000193","0.4444799999999671","-0.12346000000000032","-0.04941999999998813","0.037140000000014765"
"ECE 231","0.0","-0.03698000000001144","-0.4321399999999915","-0.049420000000000644","-0.09881999999997675","0.024660000000014008","8.810729923425242e-15","0.0"
"ECE 203","0.0","0.0","-0.8272000000000022","-0.5308000000000191","-0.6049599999999978","-0.8640400000000042","-0.6296200000000121","-0.6418800000000096"
"ECE 238L","0.0","-0.024699999999992884","0.0617799999999886","-0.20984000000002395","-0.11111999999999939","-0.08649999999997363","-0.04935999999999154","-0.012340000000000089"
"CHEM 121","-0.28396000000000865","0.01234000000000691","0.1111799999999809","0.2592400000000052","0.12335999999996403","0.08636000000000933","-0.07405999999996879","0.049400000000026124"
"CHEM 123L","-0.6172600000000024","-0.4937600000000134","0.04930000000000973","-0.23454000000001343","-0.22215999999999808","-0.049359999999981315","-0.02469999999999942","0.024679999999988524"
"ENGL 219","0.0","0.0","-1.7655000000000216","-0.12341999999999359","-0.0493199999999743","-0.04929999999998785","0.02466000000002765","-0.01233999999998872"
"ECON 105","0.0","-0.1851999999999974","-0.4814200000000179","-0.32098000000004673","0.07404000000002668","0.012320000000038078","0.012360000000021784","0.0493600000000248"
"ECE 206L","0.0","0.0","0.0","-0.7778400000000003","-0.5184800000000086","-0.6049399999999856","-0.8763800000000114","-0.6666599999999869"
"ECE 300","0.0","0.0","0.04931999999999768","-0.5431999999999956","-1.4444999999999992","-1.1234000000000086","-0.8642399999999943","-0.6542600000000067"
"ECE 213","0.0","0.0","0.0","-0.5061799999999992","-0.6297000000000011","-0.6172799999999989","-0.7160399999999965","-0.530860000000001"
"MATH 264","0.0","0.0","0.46906000000000053","0.9012999999999901","-0.9136000000000035","-1.1110800000000054","-0.8393599999999987","-0.5803200000000058"
"ECE 330","0.0","0.0","0.37041999999999237","-0.5186199999999883","-0.27163999999999644","-0.09883999999994898","0.024660000000014008","0.0123400000000035"
"ECE 321L","0.0","0.0","0.0","0.0","-0.4567400000000022","-0.7284200000000066","-0.6790199999999933","-0.7654799999999886"
"MATH 327","0.0","0.0","-0.12354000000000014","0.061759999999997886","-1.2962799999999868","-1.0123599999999982","-0.9135200000000145","-0.8517400000000117"
"ECE 314","0.0","0.0","0.0","0.0","0.02467999999999698","-2.0000000004074535e-5","-0.34570000000000417","-0.28395999999999544"
"ECE 340","0.0","0.0","0.0","0.13585999999999834","-0.7655199999999899","-1.765500000000004","-1.086420000000012","-1.0739799999999833"
"SPAN 101","0.0","0.0","-0.06175999999999735","-0.14807999999999055","-0.25942000000003135","-0.07400000000000517","-0.061779999999967854","-0.04936000000000121"
"ECE 335","0.0","0.0","0.0","0.12346000000000416","0.061680000000011434","-0.5431600000000258","-0.18523999999998694","0.01232000000001392"
"ECE 331","0.0","0.0","0.0","0.0","0.7160199999999992","-1.0988000000000078","-1.3580399999999992","-0.8518599999999944"
"ECE 344L","0.0","0.0","0.0","0.0","0.0","-0.2964199999999991","-0.6296600000000027","-0.9381999999999974"
"PSY 105","0.0","0.0","-0.02472000000000004","-0.40736000000000194","0.22226000000000654","0.70376000000001","-0.11110000000001548","-0.08624000000001701"
"ECE 419","0.0","0.0","0.0","-0.4939199999999994","0.6667600000000026","0.8517799999999724","-0.04932000000001409","-0.16049999999998277"
"ECE 437","0.0","0.0","0.0","0.11116000000000056","-4.000000000104364e-5","-0.370379999999998","-0.12346000000001225","-0.5186199999999943"
"ECE 435","0.0","0.0","0.0","0.0","-0.024680000000000007","-0.16048000000000168","-1.345819999999998","-1.2099000000000057"
"ECE 495","0.0","0.0","0.0","0.07400000000000018","-5.933031843596836e-15","0.11117999999999618","-0.6419399999999906","-0.2715199999999874"
"HIST 101","0.0","0.0","0.0","-0.03702000000000003","0.14815999999999974","0.6913800000000018","0.037099999999984874","-0.2221800000000266"
"ECE 420","0.0","0.0","0.0","0.0","0.444420000000001","0.8024800000000016","0.370239999999997","-1.1852000000000364"
