"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8"
"ENGL 101","-1.1111600000000117","0.2223200000000014","6.000000001648687e-5","0.0864200000000389","0.07406000000000092","0.0246800000000124","0.0123400000000089","0.0"
"MATH 162","-1.061740000000006","-1.0987399999999679","-0.6419999999999755","-0.3333600000000038","-0.555500000000038","-0.3332999999999691","-0.2099399999999534","-0.1728999999999857"
"ECE 101","-0.5061800000000113","-0.024699999999974694","0.0123400000000089","0.0","0.0","0.0","0.0","0.0"
"ECE 131","0.11110000000000184","0.518479999999951","0.12332000000001557","0.03704000000002708","0.02468000000002462","0.0123400000000089","0.0","0.0"
"PHYC 160","-0.18526000000000636","0.14806000000003222","0.09885999999997921","0.18515999999996835","-0.024700000000027842","-0.09881999999998158","0.12348000000002031","0.1357800000000401"
"ENGL 102","0.0","-1.308739999999998","0.7037400000000074","0.43213999999998975","0.2840000000000029","0.03706000000004053","0.01234000000002112","0.0123400000000089"
"MATH 163","0.0","-0.41961999999999755","-1.148199999999971","-0.8147800000000034","-0.5801400000000094","-0.8147799999999941","-0.716020000000006","-0.4197399999999959"
"PHYC 161","0.0","0.3951200000000017","0.012380000000000422","-0.6544400000000161","-0.41972000000001003","-0.23452000000001136","-0.2963400000000337","-0.11115999999999673"
"PHYC 161L","0.0","-0.5061999999999972","-0.03695999999999344","-0.03708000000002101","0.024599999999965972","0.0370199999999997","-0.17285999999998694","0.16056000000001489"
"ECE 231","0.0","0.6420199999999884","0.4321000000000083","0.2961399999999986","0.024740000000022917","0.03702000000001391","0.0123400000000089","0.0"
"ECE 203","0.0","0.0","-1.0864000000000018","-0.4073600000000196","0.06164000000000229","0.19765999999999678","-0.814800000000011","-0.7653800000000084"
"ECE 238L","0.0","1.1358600000000063","0.9877599999999868","0.14819999999997635","0.09882000000000034","-0.049379999999974306","-0.012339999999991278","-0.012340000000000089"
"CHEM 121","15.036960000000004","13.728320000000021","9.654379999999971","5.370279999999999","2.543159999999967","1.2222400000000162","0.39506000000003266","0.1974800000000272"
"CHEM 123L","0.6542399999999993","1.629679999999985","0.7777600000000092","-0.012400000000013449","-0.06167999999999751","-0.03695999999998179","-0.02469999999999942","0.03703999999998842"
"ENGL 219","0.0","0.0","-1.2099000000000222","0.185160000000007","0.2962400000000258","0.3086000000000112","0.12348000000002742","0.037040000000011446"
"ECON 105","0.0","2.049380000000003","2.987619999999982","0.7530599999999523","0.20978000000002708","0.07410000000003748","0.07410000000002186","0.03702000000002471"
"ECE 206L","0.0","0.0","0.0","-1.0494000000000003","-0.40736000000000905","0.03694000000001538","0.18527999999998884","-0.8270999999999858"
"ECE 300","0.0","0.0","1.1358399999999986","-0.7408199999999958","-0.8147999999999997","-0.5801400000000094","-0.8147799999999941","-0.716020000000006"
"ECE 213","0.0","0.0","0.0","-0.4320399999999992","-0.6914400000000012","-0.13577999999999846","0.14810000000000456","-0.6295400000000009"
"MATH 264","0.0","0.0","1.6172399999999993","1.592639999999991","-0.18522000000000333","-0.4691200000000063","-0.728339999999998","-0.5555400000000055"
"ECE 330","0.0","0.0","6.617299999999989","4.02458000000001","0.38270000000000237","0.03708000000005057","0.03702000000001391","0.024680000000003588"
"ECE 321L","0.0","0.0","0.0","0.0","-0.37026000000000225","-0.5926200000000068","-0.2592599999999936","0.20988000000001164"
"MATH 327","0.0","0.0","-0.1728200000000001","2.580159999999998","0.3950200000000132","-0.4568599999999981","-0.7283800000000136","-0.7283200000000107"
"ECE 314","0.0","0.0","0.0","0.0","0.2839799999999971","-0.37040000000000406","0.3085399999999943","0.5678000000000054"
"ECE 340","0.0","0.0","0.0","1.308659999999998","0.33320000000001043","-0.39504000000000516","-0.4691200000000117","-0.9628999999999831"
"SPAN 101","0.0","0.0","3.604960000000002","5.321060000000004","4.79005999999997","0.925919999999997","0.14814000000003233","0.024699999999999136"
"ECE 335","0.0","0.0","0.0","3.888800000000003","5.6420000000000154","1.5803199999999762","0.19756000000001278","0.03702000000001391"
"ECE 331","0.0","0.0","0.0","0.0","2.641959999999999","1.7654599999999925","-0.3828200000000001","-0.7654599999999937"
"ECE 344L","0.0","0.0","0.0","0.0","0.0","-3.9999999999000836e-5","-0.4567800000000028","-0.17277999999999735"
"PSY 105","0.0","0.0","0.08642000000000002","2.3086200000000003","3.481480000000002","4.074120000000013","1.9135799999999825","0.7408999999999841"
"ECE 419","0.0","0.0","0.0","2.14804","3.9753199999999977","5.7406399999999715","1.8641599999999898","0.09880000000001758"
"ECE 437","0.0","0.0","0.0","0.5432200000000007","2.8765000000000027","4.358039999999994","2.9259199999999863","0.4443200000000027"
"ECE 435","0.0","0.0","0.0","0.0","-0.06170000000000002","2.518539999999997","2.691300000000001","0.03703999999999524"
"ECE 495","0.0","0.0","0.0","0.4444799999999999","2.061779999999996","3.2345399999999973","4.185140000000002","1.5185600000000141"
"HIST 101","0.0","0.0","0.0","-0.024680000000000035","0.6913799999999994","2.1358","4.086439999999983","2.6296599999999715"
"ECE 420","0.0","0.0","0.0","0.0","1.1482600000000018","2.3950600000000035","4.111059999999998","2.296299999999967"
"ECE 440","0.0","0.0","0.0","0.0","0.06169999999999981","1.1357799999999996","3.4197800000000025","2.6790400000000267"
"ECE 412","0.0","0.0","0.0","0.0","0.0","-0.024700000000000007","1.1358799999999984","2.728420000000002"
"ARTH 101","0.0","0.0","0.0","0.0","0.037019999999999983","0.16052000000000027","1.7160799999999972","3.543139999999996"
"CLST 107","0.0","0.0","0.0","0.0","0.0","0.5184599999999999","1.4691599999999965","4.172960000000018"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","0.02467999999999999","1.6049599999999966"
