"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8"
"ENGL 101","-1.1975200000000124","-0.08637999999999807","-0.08635999999998234","0.06172000000003891","0.03704000000000065","0.0246800000000124","0.0123400000000089","0.0"
"MATH 162","0.3703999999999948","0.02468000000003258","-0.27153999999997525","-0.4567200000000045","-0.1851000000000383","-0.28397999999996953","-0.20993999999995366","-0.12341999999998648"
"ECE 101","0.30869999999998926","-0.07407999999997486","0.0123400000000089","0.0","0.0","0.0","0.0","0.0"
"ECE 131","-0.2345799999999983","0.06175999999995071","-0.08647999999998461","-0.024699999999972987","-0.024699999999975547","-0.012339999999991278","0.0","0.0"
"PHYC 160","-0.22222000000000633","-0.33339999999996733","0.4445599999999794","0.35799999999996857","-0.2592800000000281","-0.19749999999998066","-0.07401999999997969","0.1234200000000402"
"ENGL 102","0.0","-2.160559999999997","0.03694000000000472","0.28395999999998933","0.049440000000003294","0.03704000000004072","-0.049379999999979135","-0.037019999999991456"
"MATH 163","0.0","0.6421200000000025","0.555600000000029","-0.18514000000000252","-0.5184800000000109","-0.9012999999999937","-0.9876400000000064","-0.6790199999999956"
"PHYC 161","0.0","-0.24683999999999784","-0.22219999999999843","0.24683999999998407","-0.17284000000001015","-0.45676000000001066","-0.4074000000000339","-0.20991999999999592"
"PHYC 161L","0.0","-0.02465999999999781","-0.06171999999999343","0.4567199999999801","0.3703599999999659","-0.1975400000000002","-0.22217999999998683","-0.024599999999985016"
"ECE 231","0.0","-0.09874000000001132","-0.2716399999999919","0.036959999999999125","-0.03703999999997677","-0.03705999999998624","-0.024679999999991365","0.0"
"ECE 203","0.0","0.0","-0.8272400000000019","0.5308799999999809","0.5061200000000013","-0.12338000000000307","-0.8888400000000124","-1.0863400000000072"
"ECE 238L","0.0","0.4938200000000087","0.4321399999999889","0.1358599999999757","0.03710000000000008","-0.11111999999997436","-0.06169999999999163","-0.024680000000000177"
"CHEM 121","-0.11118000000000805","-0.24699999999999264","0.5062399999999811","0.8024000000000036","0.08631999999996566","0.06158000000000954","-0.061679999999969086","-0.061699999999974296"
"CHEM 123L","15.90118","12.814819999999987","6.444520000000006","2.592599999999985","0.9013200000000071","0.30864000000001995","0.11108000000000118","0.07405999999998869"
"ENGL 219","0.0","0.0","-2.160580000000022","-0.3704799999999935","0.18520000000002626","0.09868000000001188","-0.024719999999971945","-0.07405999999998897"
"ECON 105","0.0","-0.11103999999999747","0.7901599999999825","0.3333999999999503","-0.061739999999973066","-0.037019999999961896","-0.02465999999997848","0.012340000000024531"
"ECE 206L","0.0","0.0","0.0","-0.8025600000000004","0.5308599999999913","0.5554800000000131","-0.12340000000001083","-0.938179999999987"
"ECE 300","0.0","0.0","0.5555399999999967","0.40734000000000437","-0.20989999999999923","-0.5184800000000109","-0.9012999999999937","-0.9876400000000064"
"ECE 213","0.0","0.0","0.0","-0.46913999999999917","0.036939999999998537","0.6666600000000004","0.03704000000000434","-0.7777200000000005"
"MATH 264","0.0","0.0","0.5678400000000007","0.88901999999999","0.4814799999999957","-0.2592400000000049","-1.333279999999997","-1.0617400000000052"
"ECE 330","0.0","0.0","0.4567599999999919","0.19746000000000946","-0.11107999999999749","-0.061739999999948905","-0.03705999999998624","-0.012339999999996678"
"ECE 321L","0.0","0.0","0.0","0.0","-0.5061800000000024","-0.024720000000006834","0.5431600000000049","0.03706000000001097"
"MATH 327","0.0","0.0","-1.1657341758564144e-16","0.1974999999999976","-0.6790599999999875","-0.6543599999999975","-0.8148800000000136","-1.0616600000000114"
"ECE 314","0.0","0.0","0.0","0.0","-0.16054000000000296","0.4567799999999957","1.0493799999999958","-0.049419999999994385"
"ECE 340","0.0","0.0","0.0","0.3827599999999981","0.13568000000000993","-0.0987200000000044","-0.4568200000000121","-1.1233199999999834"
"SPAN 101","0.0","0.0","0.061720000000002814","-0.40735999999999095","0.5925199999999688","-0.11106000000000421","-0.12349999999996783","1.999999999895863e-5"
"ECE 335","0.0","0.0","0.0","-0.13573999999999636","0.5061800000000122","0.03707999999997554","-0.16051999999998742","-0.061739999999986424"
"ECE 331","0.0","0.0","0.0","0.0","0.6419199999999989","-0.530800000000008","-0.9876400000000001","-0.8394999999999943"
"ECE 344L","0.0","0.0","0.0","0.0","0.0","-0.30869999999999903","-0.30864000000000325","-0.03695999999999728"
"PSY 105","0.0","0.0","-0.06174000000000004","-0.11112000000000201","0.34562000000000653","1.3086600000000095","1.123579999999984","0.6544999999999825"
"ECE 419","0.0","0.0","0.0","-0.4816199999999993","0.3210200000000022","1.2839399999999717","0.12341999999998592","-0.12343999999998288"
"ECE 437","0.0","0.0","0.0","0.2345800000000005","0.04931999999999874","0.2840200000000006","0.16047999999998835","-0.3580799999999954"
"ECE 435","0.0","0.0","0.0","0.0","-0.02466000000000003","0.18519999999999842","-0.03711999999999705","-0.9505200000000036"
"ECE 495","0.0","0.0","0.0","0.12348000000000006","0.3457199999999936","0.18519999999999606","0.19754000000000985","-0.01227999999998758"
"HIST 101","0.0","0.0","0.0","-0.024680000000000035","-0.09876000000000036","0.38272000000000184","-4.000000001511239e-5","-0.3827200000000255"
"ECE 420","0.0","0.0","0.0","0.0","0.20986000000000118","1.0493800000000033","0.19747999999999677","-4.0000000035149695e-5"
"ECE 440","0.0","0.0","0.0","0.0","-0.11115999999999998","0.5308600000000002","0.6420000000000025","-0.2592599999999732"
"ECE 412","0.0","0.0","0.0","0.0","0.0","-0.049379999999999945","0.4939399999999995","-0.4197399999999962"
"ARTH 101","0.0","0.0","0.0","0.0","0.024699999999999958","0.1482000000000003","0.7776599999999967","-0.0988400000000074"
"CLST 107","0.0","0.0","0.0","0.0","0.0","-0.01232000000000002","0.9013399999999949","0.8272600000000154"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","0.08637999999999998","0.22219999999999762"
