"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8"
"ENGL 101","-0.6790800000000129","-0.333299999999999","-0.23453999999998273","-0.012379999999961058","0.07406000000000092","0.0246800000000124","0.0123400000000089","0.0"
"MATH 162","0.7284399999999945","0.5926000000000314","0.3952600000000254","0.13583999999999632","0.08647999999996188","-0.2716799999999682","-0.25925999999995414","-0.07405999999998614"
"ECE 101","-0.6789800000000114","2.00000000251066e-5","0.0123400000000089","0.0","0.0","0.0","0.0","0.0"
"ECE 131","0.13590000000000146","0.3333399999999511","0.12332000000001557","-1.9999999972526437e-5","2.4442670110147446e-14","8.810729923425242e-15","-0.012340000000000089","-0.012340000000000089"
"PHYC 160","-0.7531200000000068","-0.9753199999999671","0.16057999999998004","0.08643999999996822","-0.12342000000002827","-0.14815999999998156","-0.012299999999980002","0.07406000000003984"
"ENGL 102","0.0","-1.1482999999999977","0.7037200000000078","0.2716199999999901","-0.01233999999999753","0.08642000000004088","0.0370200000000213","0.0123400000000089"
"MATH 163","0.0","-0.1233399999999979","-0.2592399999999712","-0.17278000000000263","-0.38272000000001016","-0.7408199999999948","-0.6295800000000062","-0.4444599999999946"
"PHYC 161","0.0","-0.6912199999999984","-0.6296199999999992","-0.08644000000001655","-0.13584000000001026","-0.20974000000001097","-0.5555600000000334","-0.2098399999999961"
"PHYC 161L","0.0","-1.0000399999999983","-0.8765199999999936","-0.049460000000020446","0.24687999999996663","-0.09885999999999996","-0.19755999999998777","-0.03693999999998567"
"ECE 231","0.0","0.3950799999999899","0.19756000000000853","0.07403999999999854","-0.037059999999976584","0.01234000000001373","8.810729923425242e-15","-0.012340000000000089"
"ECE 203","0.0","0.0","-1.3457400000000026","0.037079999999980656","-0.024719999999998236","-0.074020000000003","-0.5184800000000124","-0.8271000000000077"
"ECE 238L","0.0","0.7037600000000073","0.4321799999999891","0.1482199999999773","0.03710000000000036","-0.07407999999997429","-0.024679999999991365","-0.012340000000000089"
"CHEM 121","-1.135840000000008","-1.0123999999999942","0.012439999999980102","0.16040000000000418","0.08629999999996471","0.2592600000000087","-0.04935999999996852","-0.049399999999973826"
"CHEM 123L","0.08643999999999721","0.13583999999998667","-0.07401999999998964","0.06169999999998509","-0.08647999999999655","-0.0740399999999815","0.03704000000000065","0.0617199999999886"
"ENGL 219","0.0","0.0","-1.543300000000022","-0.13573999999999445","-0.03705999999997459","0.02472000000001202","0.16048000000002788","0.06172000000001163"
"ECON 105","0.0","-0.9752199999999976","-1.2222200000000183","-0.6543200000000473","-0.1605199999999732","-0.18527999999996156","-0.012319999999978393","0.012340000000024531"
"ECE 206L","0.0","0.0","0.0","-1.29638","0.03711999999999094","-0.012359999999985832","-0.03700000000001125","-0.49377999999998706"
"ECE 300","0.0","0.0","-0.5679400000000023","-0.4073999999999954","-0.18511999999999929","-0.38272000000001016","-0.7408199999999948","-0.6295800000000062"
"ECE 213","0.0","0.0","0.0","-0.7283799999999993","-0.1729200000000017","-0.12337999999999866","-0.16057999999999567","-0.6419200000000015"
"MATH 264","0.0","0.0","0.09876000000000028","-0.08636000000000969","-0.04942000000000448","-0.07412000000000546","-0.7283599999999972","-0.4937400000000048"
"ECE 330","0.0","0.0","0.6790599999999921","0.20978000000000974","-0.13579999999999728","-0.0493999999999491","0.01234000000001373","0.0123400000000035"
