"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8"
"ENGL 101","-0.35806000000001176","-0.012339999999997815","-0.02467999999998227","0.012340000000038742","0.03702000000000084","0.012320000000012498","0.0123400000000089","0.0"
"MATH 162","-0.17276000000000594","-0.24689999999996728","-0.22213999999997497","-0.29630000000000395","-0.3457200000000373","-0.3950799999999691","-0.24699999999995356","-0.07401999999998651"
"ECE 101","-0.049380000000010964","0.012320000000025573","0.0123400000000089","0.0","0.0","0.0","0.0","0.0"
"ECE 131","0.08628000000000241","0.407479999999951","0.06162000000001541","2.7000623958883806e-14","0.012340000000024531","-0.012339999999991278","0.0","0.0"
"PHYC 160","-0.34562000000000653","-0.7037599999999685","-0.11098000000002002","-0.03706000000003115","-0.13576000000002836","-0.09875999999998243","0.02472000000001998","0.1357600000000403"
"ENGL 102","0.0","-1.1975599999999986","0.18518000000000653","0.03707999999998975","-0.08637999999999693","-0.024679999999959533","-0.049379999999979135","8.810729923425242e-15"
"MATH 163","0.0","-0.2715199999999976","-1.2098599999999708","-1.0493200000000025","-1.02468000000001","-1.4321599999999943","-1.4320400000000064","-0.9135199999999958"
"PHYC 161","0.0","-0.1974399999999976","-0.6790399999999995","-1.333360000000017","-0.7407200000000108","-0.19744000000001052","-0.4320800000000341","-0.12343999999999652"
"PHYC 161L","0.0","-0.6913799999999982","-0.7160199999999927","-0.2963600000000213","-0.11114000000003386","-0.13580000000000042","-0.19753999999998853","-0.03697999999998558"
"ECE 231","0.0","0.2840599999999901","0.02468000000000842","0.17275999999999897","0.03708000000002272","1.3642420526593923e-14","-0.012339999999991278","0.0"
"ECE 203","0.0","0.0","-1.3950600000000029","-0.9752400000000196","-1.185299999999998","-0.6418400000000031","-1.3457000000000128","-1.567800000000008"
"ECE 238L","0.0","1.148140000000008","0.814879999999989","0.074079999999976","0.012380000000000564","-0.07407999999997429","-0.012339999999991278","-0.012340000000000089"
"CHEM 121","-0.5309400000000082","-0.1851199999999939","0.03713999999998066","0.23450000000000415","0.3085399999999646","0.17282000000000863","0.012340000000031636","0.024680000000026327"
"CHEM 123L","0.5926599999999971","0.22229999999998654","-0.3827199999999897","-0.18528000000001354","-0.12339999999999776","-0.049359999999981315","-0.024659999999999797","0.012359999999988247"
"ENGL 219","0.0","0.0","-1.4197800000000216","0.09874000000000621","-0.09871999999997484","-0.037099999999987573","2.7284841053187846e-14","-0.024679999999988808"
"ECON 105","0.0","-1.2345399999999969","-0.22228000000001713","-0.7284000000000478","-0.23459999999997194","-0.01233999999996172","0.09878000000002203","0.06170000000002489"
"ECE 206L","0.0","0.0","0.0","-1.35806","-0.9752600000000092","-1.0865199999999857","-0.6912200000000113","-1.3703599999999878"
"ECE 300","0.0","0.0","0.036979999999997445","-0.987599999999995","-1.0740199999999984","-1.02468000000001","-1.4321599999999943","-1.4320400000000064"
"ECE 213","0.0","0.0","0.0","-0.9876599999999995","-1.2840400000000018","-1.5554599999999987","-0.4445399999999961","-1.2344800000000005"
