"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8"
"ENGL 101","-1.271640000000012","0.09880000000000166","0.04936000000001797","-0.024699999999961336","0.03702000000000084","0.03702000000001249","0.0123400000000089","0.0"
"MATH 162","0.024779999999993977","-0.13565999999996733","-0.03695999999997554","-0.061780000000003665","-0.0493800000000374","-0.209879999999969","-0.1605199999999533","0.012380000000013922"
"ECE 101","0.07401999999998993","-0.04935999999997478","-0.012339999999991278","0.0","0.0","0.0","0.0","0.0"
"ECE 131","-0.07413999999999703","-0.35806000000004873","-0.27161999999998415","-0.04939999999997298","-0.0740599999999759","-0.04935999999999154","-0.024680000000000177","-0.024680000000000177"
"PHYC 160","-0.5802800000000066","0.04940000000003181","-0.4320000000000201","-0.049420000000031335","-0.2716200000000279","-0.14819999999998174","-1.999999997906343e-5","0.12346000000003983"
"ENGL 102","0.0","-1.9013999999999975","0.5184400000000059","0.5554999999999904","-0.04937999999999675","-0.049359999999959714","-0.03703999999997905","8.810729923425242e-15"
"MATH 163","0.0","-0.19739999999999802","-0.13579999999997014","-0.45668000000000236","-1.024640000000009","-1.0864799999999943","-0.8641200000000054","-0.45669999999999505"
"PHYC 161","0.0","0.16060000000000157","0.17280000000000073","-1.0987600000000155","-0.39508000000001003","-0.24684000000001077","-0.5309000000000325","-0.09881999999999579"
"PHYC 161L","0.0","-0.3580799999999977","-0.037039999999992974","-0.4815200000000209","-0.06176000000003341","-0.28399999999999975","-0.19755999999998836","0.037100000000015426"
"ECE 231","0.0","0.3457399999999896","-0.4197599999999915","-0.2345800000000014","-0.13583999999997673","-0.049379999999986525","-0.04935999999999154","-0.024680000000000177"
"ECE 203","0.0","0.0","-0.44434000000000173","-0.19744000000001927","-0.024679999999997478","-0.4937200000000041","-1.1481000000000139","-1.2221600000000086"
"ECE 238L","0.0","0.3951000000000083","0.18515999999998742","-0.43208000000002417","-0.22221999999999953","-0.08641999999997438","-0.08637999999999181","-0.024680000000000177"
"CHEM 121","0.9383199999999927","1.0000600000000057","0.8394799999999819","0.6172600000000037","0.2714599999999646","0.06166000000000849","0.03708000000003125","0.049400000000026124"
"CHEM 123L","-0.8148000000000026","-0.9751800000000139","-0.4691599999999895","-0.4321800000000141","-0.30861999999999684","-0.16049999999998135","-0.09875999999999976","-0.012340000000011741"
"ENGL 219","0.0","0.0","-2.2963400000000225","-0.06169999999999476","0.1357200000000259","0.1481600000000114","-0.024739999999972326","-0.06171999999998889"
"ECON 105","0.0","2.012420000000004","12.617199999999977","6.605059999999959","2.2469800000000193","0.7407400000000394","0.22218000000002291","0.07404000000002497"
"ECE 206L","0.0","0.0","0.0","-0.3703000000000006","-0.2591800000000088","-0.06173999999998458","-0.5184000000000114","-1.1851199999999884"
"ECE 300","0.0","0.0","0.13579999999999778","-0.0617599999999949","-0.4690399999999991","-1.024640000000009","-1.0864799999999943","-0.8641200000000054"
"ECE 213","0.0","0.0","0.0","-0.1234599999999992","-0.38276000000000127","0.012380000000000849","-0.2345999999999944","-0.9382000000000008"
"MATH 264","0.0","0.0","0.6172399999999997","0.6296599999999906","-0.2840000000000039","-0.2469200000000052","-0.9011199999999974","-0.7654600000000056"
"ECE 330","0.0","0.0","1.6790599999999916","1.2222400000000098","-0.1728399999999968","-0.11117999999994879","-0.049379999999986525","-0.037019999999996854"
"ECE 321L","0.0","0.0","0.0","0.0","-0.13578000000000215","-0.5804000000000069","0.18512000000000797","-0.12343999999998857"
"MATH 327","0.0","0.0","-0.16050000000000011","2.1851800000000012","0.25930000000001313","-0.9135599999999977","-1.3457000000000148","-1.111040000000011"
"ECE 314","0.0","0.0","0.0","0.0","-0.037000000000002926","0.27157999999999616","0.30861999999999495","0.44442000000000464"
