"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8"
"ENGL 101","-1.2470000000000128","-0.1850999999999985","0.03708000000001732","0.11108000000003926","0.086400000000001","0.0246800000000124","0.0123400000000089","0.0"
"MATH 162","-0.34568000000000565","-0.4443999999999679","-0.6048999999999742","-0.2098400000000035","-0.2962200000000374","-0.3704599999999692","-0.111139999999954","-0.08637999999998641"
"ECE 101","-0.024680000000010693","-0.07411999999997448","-0.012339999999991278","-0.012340000000000089","0.0","0.0","0.0","0.0"
"ECE 131","-0.23463999999999857","0.29623999999995104","-0.11125999999998414","0.0494400000000266","0.012320000000024721","-0.01235999999999109","0.0","0.0"
"PHYC 160","-0.46922000000000635","-0.8642199999999685","-0.24684000000001988","0.28389999999996746","-0.14814000000002778","-0.19757999999998077","-0.06173999999997932","0.024680000000039684"
"ENGL 102","0.0","-2.2100399999999985","-0.13577999999999377","0.1357999999999899","0.19762000000000285","0.06178000000004033","0.01234000000002112","0.0123400000000089"
"MATH 163","0.0","-0.32087999999999745","-1.2345599999999701","-1.444400000000002","-0.88882000000001","-0.7284199999999939","-0.7283000000000064","-0.6789799999999954"
"PHYC 161","0.0","-0.7653199999999974","-0.4444199999999992","-0.40744000000001646","-0.38262000000001023","-0.6295600000000112","-0.5309600000000324","-0.18519999999999584"
"PHYC 161L","0.0","-0.790159999999998","-1.0987599999999929","-0.271660000000021","0.1851799999999659","-0.12349999999999994","-0.24689999999998719","-0.061679999999985"
"ECE 231","0.0","-0.22214000000001036","0.0740600000000083","-0.08645999999999987","0.07410000000002298","0.01232000000001392","-0.01235999999999109","0.0"
"ECE 203","0.0","0.0","-1.2469400000000024","-0.9259200000000191","-1.0370199999999983","-0.20978000000000321","-0.8642200000000124","-0.703600000000007"
"ECE 238L","0.0","0.5184800000000088","0.7531199999999888","0.024739999999976305","0.01238000000000028","-0.037079999999973835","-0.049399999999991166","-0.012340000000000089"
"CHEM 121","-1.0493800000000084","-0.4568799999999935","0.0123799999999801","0.3950000000000054","0.34555999999996456","0.14806000000000893","-0.16049999999996886","-3.9999999973474584e-5"
"CHEM 123L","-1.7406600000000017","-1.1604400000000137","-0.6666799999999893","-0.32102000000001396","-0.3086599999999967","-0.14817999999998108","5.684341886080802e-16","0.049379999999988516"
"ENGL 219","0.0","0.0","-2.222320000000022","-0.851839999999994","0.17292000000002503","0.1851600000000113","0.07408000000002744","0.012360000000011268"
"ECON 105","0.0","-0.9999399999999968","-1.1852000000000174","-0.5184800000000479","-0.07413999999997259","-0.07409999999996245","2.1884716261411086e-14","-0.04935999999997591"
"ECE 206L","0.0","0.0","0.0","-1.2716799999999995","-0.9135400000000087","-1.049339999999986","-0.19742000000001098","-0.9011999999999872"
"ECE 300","0.0","0.0","-0.25922000000000217","-1.296339999999995","-1.506159999999999","-0.88882000000001","-0.7284199999999939","-0.7283000000000064"
"ECE 213","0.0","0.0","0.0","-0.6542999999999995","-0.765500000000001","-1.0616999999999983","-0.23459999999999553","-1.049220000000002"
"MATH 264","0.0","0.0","1.3086599999999995","4.506199999999996","4.604899999999997","3.2221399999999925","1.8396000000000035","0.6790199999999942"
"ECE 330","0.0","0.0","-0.2839200000000076","0.012320000000009657","-0.18523999999999688","0.07412000000005037","-0.012359999999986257","-1.9999999996400674e-5"
"ECE 321L","0.0","0.0","0.0","0.0","-0.6049600000000024","-0.7284600000000065","-1.3456199999999927","-0.18511999999998863"
"MATH 327","0.0","0.0","-0.25926000000000016","-0.925920000000002","-1.9012999999999871","-0.6419599999999978","-0.777740000000014","-0.9011400000000108"
"ECE 314","0.0","0.0","0.0","0.0","0.4691199999999975","1.5801799999999953","0.9012399999999964","1.1357000000000061"
"ECE 340","0.0","0.0","0.0","0.2839999999999983","-0.9013599999999897","-1.7653400000000052","-0.8641800000000108","-0.9999599999999842"
"SPAN 101","0.0","0.0","0.2715600000000024","0.32100000000000944","0.5924399999999679","0.06177999999999599","0.07408000000003198","1.999999999895863e-5"
"ECE 335","0.0","0.0","0.0","0.024660000000003776","1.6789800000000141","-0.17278000000002577","0.09878000000001265","-0.024699999999986347"
"ECE 331","0.0","0.0","0.0","0.0","0.9381599999999989","-0.8024800000000082","-0.5803199999999998","-0.6913399999999942"
"ECE 344L","0.0","0.0","0.0","0.0","0.0","-0.07403999999999898","-0.3086200000000028","-0.9999199999999976"
"PSY 105","0.0","0.0","-0.14818","-0.11104000000000216","0.8519000000000075","1.35816000000001","0.8889999999999861","0.21007999999998306"
"ECE 419","0.0","0.0","0.0","0.17272000000000065","0.8271800000000024","2.296299999999974","0.38265999999998684","0.012380000000017332"
"ECE 437","0.0","0.0","0.0","-0.037039999999999455","0.3579799999999988","1.0865000000000016","1.012299999999989","-0.0494799999999961"
"ECE 435","0.0","0.0","0.0","0.0","-0.061700000000000026","0.7407599999999976","0.6295800000000027","-0.3456200000000049"
"ECE 495","0.0","0.0","0.0","0.03704000000000016","0.5802599999999939","1.172879999999998","1.4938800000000096","0.3456600000000125"
"HIST 101","0.0","0.0","0.0","-0.024680000000000025","0.2098799999999998","0.543200000000002","0.5431399999999852","0.3580599999999734"
"ECE 420","0.0","0.0","0.0","0.0","0.3333800000000013","1.2345200000000034","1.7653599999999985","0.6913599999999647"
"ECE 440","0.0","0.0","0.0","0.0","0.061719999999999775","0.7901600000000008","1.8395200000000003","1.3703200000000253"
"ECE 412","0.0","0.0","0.0","0.0","0.0","-2.0000000000008343e-5","0.40745999999999954","0.1605200000000042"
"ARTH 101","0.0","0.0","0.0","0.0","0.012340000000000012","-0.061659999999999486","0.641899999999997","1.431999999999996"
