"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8"
"ENGL 101","-0.1728400000000127","0.1976000000000022","0.03710000000001713","-0.012339999999961436","0.086400000000001","0.0246800000000124","0.0123400000000089","0.0"
"MATH 162","-0.03702000000000552","-0.2962599999999665","-0.4936799999999758","-0.1111600000000027","-0.4567800000000375","-0.444519999999969","-0.1976199999999534","-0.12341999999998648"
"ECE 101","-0.09876000000001056","-0.07405999999997476","-0.012339999999991278","0.0","0.0","0.0","0.0","0.0"
"ECE 131","-0.16049999999999784","0.18521999999995103","-0.03715999999998502","0.07402000000002772","-0.012359999999975457","-0.012339999999991278","-0.012340000000000089","0.0"
"PHYC 160","0.22217999999999363","-0.09869999999996878","0.24703999999997933","0.6296999999999676","0.012319999999971855","-0.012379999999981522","0.024740000000020645","0.06166000000004061"
"ENGL 102","0.0","-1.0247599999999975","0.11104000000000638","0.35801999999999085","-0.037039999999997235","-0.04931999999996009","-0.012359999999978867","8.810729923425242e-15"
"MATH 163","0.0","-1.073959999999998","-1.3580599999999703","-1.246820000000003","-0.950580000000011","-0.9629799999999946","-0.8888800000000063","-0.37029999999999547"
"PHYC 161","0.0","-0.506099999999998","-0.2099199999999989","-0.9629200000000162","-0.3333600000000112","-0.19746000000001174","-0.3457400000000331","-0.11103999999999616"
"PHYC 161L","0.0","4.123420000000004","2.259340000000006","1.4197199999999788","1.2222799999999672","0.33327999999999974","0.0987200000000118","0.11122000000001521"
"ECE 231","0.0","-0.18516000000001143","0.18514000000000919","-0.061740000000001204","0.049340000000023566","-1.9999999986168858e-5","-0.012339999999991278","-0.012340000000000089"
"ECE 203","0.0","0.0","-1.0864200000000026","-0.7160400000000189","-0.09883999999999774","-0.543040000000004","-0.7037000000000131","-0.7283200000000082"
"ECE 238L","0.0","0.34566000000000896","0.24695999999998833","-0.2839400000000236","0.037120000000000174","0.02466000000002623","-0.037019999999991456","-0.012340000000000089"
"CHEM 121","0.46913999999999206","0.5185400000000056","0.3457999999999805","0.7778000000000048","0.35793999999996545","0.16044000000000863","0.012440000000030694","2.0000000025959254e-5"
"CHEM 123L","0.12349999999999853","0.32103999999998706","0.2715600000000103","-0.0865200000000138","-0.22223999999999705","-0.08633999999998196","-0.08638000000000005","1.999999998815838e-5"
"ENGL 219","0.0","0.0","-1.0617600000000218","0.012320000000007098","0.09874000000002525","0.02476000000001136","-0.09877999999997286","-0.024679999999988808"
"ECON 105","0.0","-0.6295199999999976","-0.6543200000000179","-0.8024400000000486","-0.35803999999997305","-0.17285999999996135","-0.024679999999978292","-1.999999997536861e-5"
"ECE 206L","0.0","0.0","0.0","-1.0617399999999997","-0.7777800000000087","-0.1235599999999856","-0.49366000000001153","-0.7160399999999879"
"ECE 300","0.0","0.0","-0.9012400000000028","-1.3826599999999951","-1.2591599999999994","-0.950580000000011","-0.9629799999999946","-0.8888800000000063"
"ECE 213","0.0","0.0","0.0","-0.7530799999999992","-1.172840000000001","-0.30867999999999923","-0.1975799999999947","-0.6789599999999993"
"MATH 264","0.0","0.0","0.07406000000000032","-0.90120000000001","-1.049440000000004","-1.1234000000000055","-0.9628799999999981","-0.9259400000000051"
"ECE 330","0.0","0.0","1.0123799999999923","-0.03705999999999051","-0.27155999999999636","0.08638000000005121","-1.9999999986168858e-5","3.4106051316484808e-15"
"ECE 321L","0.0","0.0","0.0","0.0","-0.6789800000000022","-1.3333200000000063","-0.3333399999999935","-0.24689999999998832"
"MATH 327","0.0","0.0","-0.11108000000000011","-0.9506800000000021","-2.0000399999999887","-1.259279999999998","-1.0863600000000144","-0.9505800000000113"
"ECE 314","0.0","0.0","0.0","0.0","-0.2964400000000031","-0.567920000000004","-0.4815200000000043","-0.17291999999999574"
"ECE 340","0.0","0.0","0.0","-0.2838800000000017","-1.5680199999999906","-1.7530200000000047","-1.1111000000000104","-1.135719999999983"
"SPAN 101","0.0","0.0","-0.07407999999999727","0.123460000000009","-0.33338000000003204","-0.4197200000000035","-0.1111199999999684","-0.04936000000000121"
"ECE 335","0.0","0.0","0.0","0.48148000000000374","-0.5061999999999877","-0.32092000000002513","0.07400000000001312","-0.012359999999986257"
"ECE 331","0.0","0.0","0.0","0.0","-0.555660000000001","-1.4321400000000077","-1.4567999999999983","-1.0987599999999946"
"ECE 344L","0.0","0.0","0.0","0.0","0.0","-0.4074799999999992","-1.0741200000000029","-0.27157999999999705"
"PSY 105","0.0","0.0","-0.07408","0.5061799999999979","0.7036800000000057","0.7531000000000102","0.4814999999999853","0.08653999999998263"
"ECE 419","0.0","0.0","0.0","0.3949600000000008","0.9507200000000025","-0.049380000000027735","-0.35808000000001444","-0.06173999999998245"
"ECE 437","0.0","0.0","0.0","0.20990000000000059","0.5432199999999983","-0.5061399999999986","-0.24696000000001334","-0.2840599999999958"
"ECE 435","0.0","0.0","0.0","0.0","1.99999999999545e-5","-0.6667000000000016","-1.6419599999999968","-1.4074200000000046"
"ECE 495","0.0","0.0","0.0","-0.08645999999999993","0.1234799999999941","0.23457999999999565","-0.8888999999999905","-0.506199999999987"
"HIST 101","0.0","0.0","0.0","0.024679999999999955","0.3827199999999998","0.4937600000000024","-1.4198400000000158","-0.45672000000002727"
"ECE 420","0.0","0.0","0.0","0.0","0.037100000000001306","0.8023800000000023","0.2221599999999968","-0.7901600000000354"
"ECE 440","0.0","0.0","0.0","0.0","-0.012360000000000258","0.6049200000000005","0.16060000000000194","-1.4321399999999742"
"ECE 412","0.0","0.0","0.0","0.0","0.0","-0.012360000000000012","-0.16048000000000034","-2.6543199999999967"
"ARTH 101","0.0","0.0","0.0","0.0","0.037059999999999975","0.07410000000000062","0.5308399999999966","-0.38278000000000745"
"CLST 107","0.0","0.0","0.0","0.0","0.02468","0.22220000000000012","0.6173999999999951","-0.4814399999999852"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","0.03701999999999999","-0.29642000000000235"
