"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8"
"ENGL 101","-0.5926600000000115","0.14820000000000222","0.11114000000001767","0.12344000000003916","0.086400000000001","0.0246800000000124","0.0123400000000089","0.0"
"MATH 162","0.2839999999999941","0.06174000000003246","-0.35799999999997484","-0.13582000000000305","-0.09868000000003746","-0.259379999999968","-0.1852199999999536","-0.11109999999998621"
"ECE 101","-0.19750000000001053","-0.13581999999997493","8.810729923425242e-15","0.0","0.0","0.0","0.0","0.0"
"ECE 131","0.8518200000000021","0.33331999999995104","-7.999999998446583e-5","0.06172000000002725","2.4442670110147446e-14","-0.012339999999991278","0.0","0.0"
"PHYC 160","-0.7407000000000066","-0.7653999999999667","-0.6542400000000188","-0.17286000000003185","-0.22222000000002878","-0.0988199999999813","0.03700000000002092","0.07402000000004022"
"ENGL 102","0.0","-1.1482599999999978","0.0617400000000066","0.19757999999999015","0.11116000000000241","0.04942000000004043","2.1032064978498965e-14","0.0123400000000089"
"MATH 163","0.0","0.18522000000000197","-0.49385999999997066","-0.8641000000000024","-0.6913200000000103","-1.0371199999999943","-0.37036000000000624","-0.40735999999999506"
"PHYC 161","0.0","-0.9381999999999979","-0.5185599999999997","-1.172940000000016","-0.7901000000000107","-0.4938000000000119","-0.3457000000000332","-0.17285999999999632"
"PHYC 161L","0.0","-1.074159999999998","-0.999999999999993","-0.7161400000000205","-0.18518000000003326","-0.22226000000000112","-0.22225999999998777","0.024720000000015147"
"ECE 231","0.0","0.7284799999999894","0.41970000000000796","0.036900000000000543","0.01234000000002311","1.3642420526593923e-14","-0.012339999999991278","0.0"
"ECE 203","0.0","0.0","-0.5556000000000018","-0.4814400000000193","-0.5679799999999985","-0.3703000000000031","-0.8271800000000112","-0.5431000000000086"
"ECE 238L","0.0","1.1605200000000062","0.5061999999999887","0.03711999999997545","0.037120000000000174","-0.012359999999974036","-0.04935999999999154","-0.012340000000000089"
"CHEM 121","-1.111100000000008","-1.1851399999999943","-0.5678600000000193","0.012340000000004068","-0.061860000000033895","0.02452000000000936","-0.061659999999969274","2.6147972675971688e-14"
"CHEM 123L","0.7655399999999983","0.6049599999999864","-0.07409999999999087","-0.2593000000000134","-0.3085999999999967","-0.16053999999998098","-0.0493799999999996","1.999999998815838e-5"
"ENGL 219","0.0","0.0","-1.5308600000000223","-0.3209399999999931","-0.18511999999997555","0.1604600000000113","2.7284841053187846e-14","-0.061679999999989264"
"ECON 105","0.0","-0.8517799999999974","0.13577999999998325","-0.5308000000000479","-0.012379999999973563","-0.08645999999996178","0.03702000000002215","-0.012339999999975646"
"ECE 206L","0.0","0.0","0.0","-0.5062200000000007","-0.4567600000000087","-0.592619999999986","-0.35798000000001085","-0.8642199999999867"
"ECE 300","0.0","0.0","-0.09874000000000276","-0.16049999999999542","-0.8517599999999986","-0.6913200000000103","-1.0371199999999943","-0.37036000000000624"
"ECE 213","0.0","0.0","0.0","-0.18515999999999913","-0.5062200000000013","-0.9011999999999987","-0.6790799999999956","-0.8394000000000003"
"MATH 264","0.0","0.0","0.2715800000000005","0.16055999999999002","-0.3580600000000034","-0.27164000000000527","-0.8765399999999974","-0.3580200000000059"
"ECE 330","0.0","0.0","0.17279999999999318","0.29630000000001017","-0.024739999999996768","-1.9999999949220637e-5","1.3642420526593923e-14","3.4106051316484808e-15"
"ECE 321L","0.0","0.0","0.0","0.0","-0.2097600000000022","-0.6543600000000069","-0.9258999999999932","-0.49379999999998775"
"MATH 327","0.0","0.0","-0.012360000000000072","-0.3456600000000023","-0.864179999999987","-0.802559999999998","-1.172860000000014","-0.5060800000000109"
"ECE 314","0.0","0.0","0.0","0.0","0.23453999999999758","-0.2716400000000035","-0.7037600000000042","-0.43215999999999527"
"ECE 340","0.0","0.0","0.0","0.30867999999999823","-0.39523999999999","-1.049400000000005","-0.5925400000000113","-1.1973999999999827"
"SPAN 101","0.0","0.0","-0.7283799999999977","-0.27153999999999057","0.03691999999996938","-0.2962400000000042","-0.18515999999996866","-0.08638000000000147"
"ECE 335","0.0","0.0","0.0","-0.29629999999999623","0.11108000000001368","-0.14808000000002436","-0.049419999999987564","1.3642420526593923e-14"
"ECE 331","0.0","0.0","0.0","0.0","-0.03712000000000103","-0.271640000000008","-0.8519399999999987","-1.160479999999994"
"ECE 344L","0.0","0.0","0.0","0.0","0.0","-0.03705999999999904","-0.6666200000000029","-0.9382399999999975"
"PSY 105","0.0","0.0","0.07403999999999998","3.9506199999999962","5.691400000000004","7.97524000000001","5.963019999999987","2.827219999999979"
"ECE 419","0.0","0.0","0.0","-0.6420599999999987","0.4074600000000025","0.8024199999999729","0.3209999999999866","-0.06167999999998301"
"ECE 437","0.0","0.0","0.0","0.024680000000000497","-0.09886000000000095","0.5186600000000017","0.25923999999998726","-0.19765999999999564"
"ECE 435","0.0","0.0","0.0","0.0","-0.012280000000000024","0.8394599999999977","0.5307600000000038","-0.8518200000000047"
"ECE 495","0.0","0.0","0.0","0.012320000000000195","0.4568599999999939","0.9753199999999967","2.395020000000012","0.7283800000000134"
"HIST 101","0.0","0.0","0.0","-1.1102230246251566e-18","0.7036799999999996","1.0863800000000017","2.3826999999999843","1.8395399999999724"
"ECE 420","0.0","0.0","0.0","0.0","0.567980000000001","1.4074000000000033","2.4937999999999962","0.7283999999999651"
"ECE 440","0.0","0.0","0.0","0.0","0.04935999999999979","0.3580800000000006","2.29638","1.469100000000028"
"ECE 412","0.0","0.0","0.0","0.0","0.0","-0.04937999999999991","0.7901999999999988","0.7778200000000045"
"ARTH 101","0.0","0.0","0.0","0.0","0.024679999999999994","-0.18507999999999952","1.0369599999999963","2.1604199999999936"
"CLST 107","0.0","0.0","0.0","0.0","0.01234","0.3950800000000001","0.8271399999999959","2.802500000000018"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","0.024679999999999983","1.2839599999999967"
