"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8"
"ENGL 101","-1.4939400000000123","-0.28389999999999843","0.06176000000001693","0.037000000000039106","0.049380000000000736","0.0246800000000124","0.0123400000000089","0.0"
"MATH 162","-0.9505200000000055","-0.33335999999996746","-0.3703399999999752","0.07401999999999759","-0.07402000000003796","-0.20995999999996912","-0.1481399999999539","-0.04933999999998633"
"ECE 101","-0.5679400000000112","0.06174000000002536","0.0123400000000089","0.0","0.0","0.0","0.0","0.0"
"ECE 131","-0.09875999999999778","0.0864599999999507","-0.12355999999998403","-0.012399999999972237","-1.999999997536861e-5","-0.012339999999991278","0.0","0.0"
"PHYC 160","0.2962599999999938","-0.1234599999999682","-0.28382000000001883","0.1974599999999674","-0.16050000000002768","-0.23455999999998112","-0.17285999999997956","-0.049399999999960184"
"ENGL 102","0.0","-1.9260399999999978","-0.3209799999999936","0.2962599999999898","0.024720000000003496","0.024740000000040254","2.1032064978498965e-14","-0.012339999999991278"
"MATH 163","0.0","-0.11103999999999793","-0.444399999999971","-1.086420000000003","-0.6048800000000094","-0.6173399999999941","-0.6172200000000047","-0.2097799999999947"
"PHYC 161","0.0","-0.19749999999999823","-0.14811999999999814","-0.5432400000000149","-0.5803000000000105","-0.2838600000000113","-0.3704400000000331","-0.2346399999999957"
"PHYC 161L","0.0","0.08642000000000252","0.012400000000007481","-0.3458400000000199","0.14815999999996507","-0.13579999999999898","-0.23453999999998756","-0.1851199999999852"
"ECE 231","0.0","0.6173199999999892","0.06170000000000755","-0.09885999999999996","-0.06177999999997638","0.012300000000014109","-0.049399999999991166","0.0"
"ECE 203","0.0","0.0","-0.8395200000000025","-0.530840000000019","-0.4074799999999976","-0.0740600000000029","-0.7531000000000128","-0.8764000000000087"
"ECE 238L","0.0","0.13580000000000794","0.4321399999999895","7.99999999756551e-5","-0.09871999999999957","-0.061739999999974204","-0.06169999999999163","-0.03702000000000027"
"CHEM 121","-0.12348000000000851","0.036940000000006704","-0.35800000000002","0.12346000000000287","-0.00014000000003392188","0.13582000000000818","-0.1234599999999682","-1.9999999973663308e-5"
"CHEM 123L","0.7161399999999969","0.41973999999998596","-0.16053999999999036","-0.1605200000000147","-0.061739999999997505","-0.0740399999999815","-0.0493799999999996","0.024679999999988524"
"ENGL 219","0.0","0.0","-2.3457200000000213","-0.4691199999999941","0.13582000000002636","0.01242000000001184","0.04938000000002745","-0.01231999999998891"
"ECON 105","0.0","-0.3950399999999975","-0.11112000000001743","1.9999999952347026e-5","-0.0370599999999726","0.11112000000003831","0.07408000000002204","0.03702000000002471"
"ECE 206L","0.0","0.0","0.0","-0.7654599999999996","-0.48150000000000825","-0.4074799999999856","-0.03704000000001088","-0.8271799999999874"
"ECE 300","0.0","0.0","-0.06176000000000244","-0.4197599999999956","-1.1111399999999991","-0.6048800000000094","-0.6173399999999941","-0.6172200000000047"
"ECE 213","0.0","0.0","0.0","-0.5061799999999995","-0.8765400000000014","-0.7037399999999987","0.22222000000000436","-0.4320000000000007"
"MATH 264","0.0","0.0","0.3456800000000003","0.27161999999999","-0.5803000000000027","-0.740740000000005","-0.8640999999999969","-0.6420000000000052"
"ECE 330","0.0","0.0","0.851799999999991","0.2221400000000105","-0.24693999999999733","-0.049439999999948726","0.012300000000014109","-0.03705999999999648"
