"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12"
"MATH 162","75.1","92.9","96.45","97.15","97.3","97.35","97.35","97.35","97.35","97.35","97.35","97.35"
"MATH 163","0.0","50.6","73.9","82.2","84.55","85.3","85.5","85.5","85.5","85.5","85.5","85.5"
"ENGL 110","89.45","98.75","99.45","99.45","99.45","99.45","99.45","99.45","99.45","99.45","99.45","99.45"
"PHYC 160","78.9","94.2","96.8","97.45","97.55","97.55","97.6","97.6","97.6","97.6","97.6","97.6"
"ECE 131","85.5","97.25","98.95","99.05","99.05","99.05","99.05","99.05","99.05","99.05","99.05","99.05"
"ENGL 120","0.0","75.35","87.85","89.65","89.75","89.75","89.75","89.75","89.75","89.75","89.75","89.75"
"PHYC 161","0.0","62.5","81.15","85.5","86.9","87.3","87.35","87.4","87.4","87.4","87.4","87.4"
"ECE 300","0.0","0.0","40.2","64.55","73.35","76.2","77.15","77.45","77.5","77.5","77.5","77.5"
"ECE 203","0.0","0.0","32.95","62.15","72.65","75.65","76.55","77.0","77.0","77.0","77.0","77.0"
"ECE 231","0.0","72.35","86.45","88.9","89.25","89.25","89.25","89.25","89.25","89.25","89.25","89.25"
"ECE 213","0.0","0.0","0.0","30.15","57.45","68.45","72.0","73.1","73.55","73.55","73.55","73.55"
"ECE 340","0.0","0.0","0.0","35.3","59.85","68.9","72.35","73.55","73.9","73.95","73.95","73.95"
"ECE 330","0.0","0.0","62.85","76.85","79.1","79.4","79.45","79.45","79.45","79.45","79.45","79.45"
"ECE 321L","0.0","0.0","0.0","0.0","27.75","54.45","65.95","69.6","70.8","71.25","71.3","71.3"
"MATH 327","0.0","0.0","37.15","62.15","72.15","75.55","76.8","77.2","77.25","77.25","77.25","77.25"
"ECE 331","0.0","0.0","0.0","29.65","55.75","67.35","71.5","72.9","73.5","73.6","73.6","73.6"
"ECE 206L","0.0","0.0","0.0","31.5","58.85","69.25","72.25","73.15","73.6","73.6","73.6","73.6"
"ECE 344L","0.0","0.0","0.0","0.0","0.0","23.1","50.75","63.2","67.9","69.55","70.0","70.05"
"ECE 435","0.0","0.0","0.0","30.25","56.5","67.6","71.45","72.9","73.4","73.5","73.5","73.5"
"MATH 264","0.0","0.0","26.45","55.95","70.55","74.55","76.15","76.5","76.55","76.6","76.6","76.6"
"ECE 314","0.0","0.0","0.0","0.0","22.85","51.8","64.65","68.95","70.6","71.1","71.15","71.15"
"ECE 238L","0.0","70.65","76.9","80.75","86.7","87.9","87.95","88.05","88.05","88.05","88.05","88.05"
"ECE 335","0.0","0.0","0.0","47.85","70.05","74.3","74.5","74.55","74.55","74.55","74.55","74.55"
"ECE 437","0.0","0.0","0.0","17.55","58.9","71.8","72.9","73.0","73.0","73.0","73.0","73.0"
"ECE 440","0.0","0.0","0.0","11.25","43.2","69.25","71.9","72.1","72.1","72.1","72.1","72.1"
"PHYC 161L","0.0","71.8","85.45","86.8","88.05","88.6","88.65","88.7","88.7","88.7","88.7","88.7"
"ENGL 219","0.0","0.0","28.0","32.9","48.25","72.0","74.95","75.2","75.2","75.2","75.2","75.2"
"ECE 419","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"ECE 420","0.0","13.7","44.0","44.35","49.35","76.7","78.25","78.25","78.25","78.25","78.25","78.25"
"ECE 101","94.85","96.45","99.1","99.25","99.3","99.3","99.3","99.3","99.3","99.3","99.3","99.3"
"Basic Science","0.0","0.0","20.4","22.95","27.35","61.15","72.8","73.7","73.9","73.95","73.95","73.95"
"Basic Science Lab","90.3","93.1","97.8","98.45","98.55","98.65","98.65","98.65","98.65","98.65","98.65","98.65"
"ECON 105","0.0","0.0","0.3","5.05","9.05","38.9","63.25","69.5","70.65","70.95","70.95","70.95"
"Second Language","0.0","0.0","0.0","1.65","6.1","25.3","64.55","70.1","70.55","70.55","70.55","70.55"
"Social Sciences","0.0","0.0","0.0","1.05","3.7","10.15","59.8","69.15","70.3","70.35","70.35","70.35"
"Tech Elective","0.0","0.0","0.0","0.0","1.95","4.85","52.05","68.15","69.7","69.95","69.95","69.95"
"Humanities","0.0","0.0","0.0","0.0","1.05","2.45","40.2","65.85","69.15","69.45","69.45","69.45"
"Tech Elective","0.0","0.0","0.0","0.0","0.0","1.3","27.15","63.8","69.05","69.5","69.6","69.6"
"Fine Arts","0.0","0.0","0.0","0.0","0.0","0.65","14.1","59.85","68.3","69.3","69.35","69.35"
"Humanities","0.0","0.0","0.0","0.0","0.0","0.45","4.65","53.85","67.3","69.1","69.2","69.25"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","1.8","39.45","63.1","68.4","69.1","69.2"
