"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10"
"BUS 1000","79.2","95.7","99.2","99.8","100.0","100.0","100.0","100.0","100.0","100.0"
"ENGL 1050","80.0","96.1","99.5","99.8","100.0","100.0","100.0","100.0","100.0","100.0"
"BUS 1750","79.6","95.3","99.3","99.7","100.0","100.0","100.0","100.0","100.0","100.0"
"CIS 1020","81.3","96.0","99.2","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"MATH 1160","82.7","96.9","99.7","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"COM 1000","81.6","96.1","99.4","99.8","100.0","100.0","100.0","100.0","100.0","100.0"
"AREA 1","0.0","80.8","95.5","99.2","99.8","99.8","99.9","100.0","100.0","100.0"
"ECON 2010","0.0","78.4","96.1","99.1","100.0","100.0","100.0","100.0","100.0","100.0"
"ACTY 2100","0.0","76.6","95.6","98.9","99.6","100.0","100.0","100.0","100.0","100.0"
"ACTY 2110","0.0","0.0","60.4","89.5","97.1","99.3","99.7","99.9","100.0","100.0"
"ECON 2020","0.0","72.4","94.4","99.1","99.7","99.9","100.0","100.0","100.0","100.0"
"STAT 2160","0.0","48.5","86.8","97.0","99.5","99.9","100.0","100.0","100.0","100.0"
"BUS 2200","0.0","27.3","83.4","96.4","99.3","99.8","100.0","100.0","100.0","100.0"
"AREA 2","0.0","0.0","76.5","95.3","99.2","99.7","99.9","100.0","100.0","100.0"
"CIS 2700","0.0","0.0","66.6","92.5","98.9","99.9","99.9","100.0","100.0","100.0"
"MKTG 2500","0.0","0.0","53.1","90.0","98.2","99.6","99.9","100.0","100.0","100.0"
"BCM 3700","0.0","0.0","27.7","84.3","97.3","99.6","100.0","100.0","100.0","100.0"
"AREA 3","0.0","0.0","7.0","77.2","95.9","99.3","99.9","99.9","100.0","100.0"
"ACTY 3100","0.0","0.0","0.0","46.7","80.1","93.1","97.9","99.5","99.8","100.0"
"MGMT 2500","0.0","0.0","0.0","63.1","91.1","97.5","99.4","100.0","100.0","100.0"
"AREA 4","0.0","0.0","0.0","48.0","87.9","96.9","99.3","99.7","100.0","100.0"
"MAJOR","0.0","0.0","0.0","28.1","84.6","96.8","99.6","99.8","100.0","100.0"
"FIN 3200","0.0","0.0","0.0","10.9","76.2","93.7","98.5","99.6","100.0","100.0"
"LAW 3800","0.0","0.0","0.0","2.5","69.0","94.9","98.9","99.7","100.0","100.0"
"AREA 5","0.0","0.0","0.0","0.0","51.7","89.7","97.9","99.3","99.9","100.0"
"BUS 3750","0.0","0.0","0.0","0.0","31.5","80.8","93.2","98.7","99.9","100.0"
"ACTY 3130","0.0","0.0","0.0","0.0","16.5","64.2","86.8","95.6","99.0","99.7"
"CHEM 1100","79.2","96.5","99.8","100.5","117.4","189.1","203.9","204.6","204.8","204.8"
"CHEM 1110","0.0","0.0","0.0","0.0","5.8","68.8","94.0","99.2","99.9","100.0"
"BUS 4000","0.0","0.0","0.0","0.0","5.6","68.4","93.7","98.5","99.4","100.0"
"BUS 4500","0.0","0.0","0.0","0.0","0.6","43.5","81.9","94.8","98.9","99.9"
"ACTY 3110","0.0","0.0","0.0","0.0","0.0","34.1","79.2","93.4","98.2","99.4"
"AREA 8","0.0","0.0","0.0","0.0","0.1","25.7","81.8","96.5","98.7","99.9"
"MAJOR1","0.0","0.0","0.0","0.0","0.0","11.2","69.8","93.2","99.0","99.8"
"BUS 4750","0.0","0.0","0.0","0.0","0.0","2.1","51.4","82.7","94.6","98.6"
"ACTY 4130","0.0","0.0","0.0","0.0","0.0","1.0","41.7","77.6","92.7","97.3"
"ACTY 3220","0.0","0.0","0.0","0.0","0.0","1.2","46.5","88.0","97.9","99.7"
"Elective 1","0.0","0.0","0.0","0.0","0.0","0.3","26.8","79.5","95.9","99.1"
"ACTY 3240","0.0","0.0","0.0","0.0","0.0","0.0","10.4","70.8","93.7","98.6"
"ACTY 4160","0.0","0.0","0.0","0.0","0.0","0.0","3.6","48.0","82.7","94.5"
"ACTY 4110","0.0","0.0","0.0","0.0","0.0","0.0","1.8","43.1","81.1","95.1"
"ACTY 2000","0.0","0.0","0.0","0.0","4.9","69.3","88.0","94.9","98.4","99.8"
"AREA 7","0.0","0.0","0.0","0.0","0.0","0.1","1.5","39.4","81.6","95.5"
"Elective 2","0.0","0.0","0.0","0.0","0.0","0.0","0.5","22.1","76.1","95.9"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.2","44.6","80.3"
