"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12","TERM13","TERM14"
"MATH111","79.5","96.2","99.1","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"PSY201","79.2","96.4","99.5","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"WRI121","81.4","96.3","99.0","99.8","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"HUM","79.0","95.6","99.4","99.8","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"LAB SCI","80.4","95.4","99.3","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"BUS215","0.0","80.3","95.4","99.0","99.8","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"ECO201","0.0","63.2","90.9","96.7","99.2","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"MIS102","78.3","95.3","99.3","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"SPE111","0.0","78.9","95.7","99.4","99.8","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"WRI122","0.0","60.9","89.5","96.7","98.9","99.6","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"ELEC","0.0","53.4","90.6","97.8","99.6","99.9","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"ECO202","0.0","26.7","81.2","95.6","99.1","99.7","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"MIS275","0.0","0.0","76.6","95.4","99.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"SPE321","0.0","0.0","61.4","90.1","97.2","99.6","99.8","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"HUM","0.0","0.0","66.2","91.4","97.3","99.6","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"ELEC","0.0","0.0","45.0","88.1","97.4","99.4","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"ACC201","0.0","0.0","6.5","76.0","96.0","99.1","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"MATH361","0.0","0.0","0.0","67.2","92.4","98.8","99.8","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"MIS311","0.0","0.0","14.7","62.1","90.8","98.4","99.7","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"WRI227","0.0","0.0","0.0","36.0","83.0","95.3","98.7","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"ACC202","0.0","0.0","0.0","4.3","59.7","89.4","97.0","99.4","100.0","100.0","100.0","100.0","100.0","100.0"
"BUS223","0.0","0.0","0.1","16.5","73.4","94.5","99.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"MATH371","0.0","0.0","0.0","4.0","57.9","92.0","98.6","99.8","99.9","100.0","100.0","100.0","100.0","100.0"
"PHIL342","0.0","0.0","0.0","0.0","38.5","84.7","96.5","99.0","100.0","100.0","100.0","100.0","100.0","100.0"
"ACC203","0.0","0.0","0.0","0.0","18.0","73.4","93.5","99.4","99.9","100.0","100.0","100.0","100.0","100.0"
"ACC205","0.0","0.0","0.0","0.0","10.2","61.4","90.4","98.2","99.7","99.8","99.9","99.9","100.0","100.0"
"BUS226","0.0","0.0","0.0","0.0","4.5","52.5","88.6","98.7","99.8","100.0","100.0","100.0","100.0","100.0"
"MIS375","0.0","0.0","0.0","0.0","0.4","32.9","78.3","94.5","98.7","99.7","100.0","100.0","100.0","100.0"
"ELEC","0.0","0.0","0.0","0.0","0.6","25.9","77.7","94.9","98.8","99.8","99.9","99.9","100.0","100.0"
"ACC331","0.0","0.0","0.0","0.0","0.0","10.3","62.9","90.3","97.5","99.4","99.8","100.0","100.0","100.0"
"BUS308","0.0","0.0","0.0","0.0","0.0","7.5","57.1","89.7","98.3","99.9","100.0","100.0","100.0","100.0"
"BUS356","0.0","0.0","0.0","0.0","0.0","1.0","38.8","83.0","96.8","99.4","99.9","99.9","99.9","100.0"
"MIS312","0.0","0.0","0.0","0.0","0.0","0.0","23.4","75.9","94.3","98.7","99.9","100.0","100.0","100.0"
"ACC320","0.0","0.0","0.0","0.0","0.0","0.0","6.4","56.1","87.6","97.8","99.7","99.9","100.0","100.0"
"ACC325","0.0","0.0","0.0","0.0","0.0","0.0","1.3","38.5","84.1","96.5","99.5","99.9","100.0","100.0"
"ACC332","0.0","0.0","0.0","0.0","0.0","0.0","0.3","21.5","69.0","92.5","98.0","99.4","100.0","100.0"
"WRI327","0.0","0.0","0.0","0.0","0.0","0.0","9.9","39.8","76.6","94.8","98.3","99.6","99.9","100.0"
"ACC321","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.4","41.1","76.9","92.9","98.5","99.5","99.8"
"ACC333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2","16.3","60.1","87.6","96.4","99.2","99.9"
"ACC405","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","14.6","54.4","83.1","94.8","98.4","99.9"
"ELEC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","13.3","59.2","89.8","98.8","99.6","99.9","100.0"
"ACC411","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2","13.3","51.2","80.8","91.9","98.2"
"ACC435","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","7.7","40.1","71.9","90.3","96.5"
"ACC496","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","10.9","46.3","75.6","91.1","96.7"
"ELEC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.0","33.2","71.6","91.7","98.3","99.5","99.9"
"ACC412","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","11.7","43.7","76.1","89.2"
"ACC431","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","7.0","40.3","75.4","91.5","97.8"
"ACC497","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.6","36.6","69.8","89.4","95.6"
"ELEC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.3","13.8","49.7","72.6","90.0","97.2","99.4"
"ELEC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.0","31.6","55.0","79.7","94.0","98.9"
"ACC432","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","3.6","30.0","65.2","85.8"
"BUS478","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.2","16.5","37.0","65.0","89.0","97.6"
"PSY347","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.3","5.6","20.0","45.7","77.6","94.6"
"ELEC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","2.4","10.4","31.2","65.6","89.8"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","6.1","34.4","66.2"
