"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10"
"ACC201","81.4","96.6","99.5","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"BUS215","78.5","94.2","99.4","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"ECO201","79.0","96.0","99.6","99.8","99.9","100.0","100.0","100.0","100.0","100.0"
"MATH111","80.1","96.1","99.3","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"WRI121","81.0","95.7","98.6","99.5","99.9","100.0","100.0","100.0","100.0","100.0"
"ACC203","0.0","64.9","90.1","97.6","99.5","99.8","100.0","100.0","100.0","100.0"
"ECO202","0.0","65.0","89.0","97.0","99.4","99.9","100.0","100.0","100.0","100.0"
"MIS206","0.0","79.4","96.1","99.0","99.9","99.9","100.0","100.0","100.0","100.0"
"SPE111","0.0","72.4","93.7","98.8","99.9","100.0","100.0","100.0","100.0","100.0"
"WRI122","0.0","38.5","83.6","96.0","98.7","99.5","99.9","100.0","100.0","100.0"
"MATH361","0.0","0.0","75.1","95.9","99.3","99.7","99.9","100.0","100.0","100.0"
"MGT321","0.0","0.0","71.4","93.2","98.5","99.8","100.0","100.0","100.0","100.0"
"MGT461","0.0","0.0","58.4","90.5","98.1","99.7","100.0","100.0","100.0","100.0"
"MIS113","0.0","0.0","36.3","88.0","97.8","99.5","99.7","100.0","100.0","100.0"
"WRI227","0.0","0.0","9.1","67.4","89.8","96.8","98.8","99.9","100.0","100.0"
"ACC325","0.0","0.0","0.8","63.9","91.2","97.7","99.5","100.0","100.0","100.0"
"BUS349","0.0","0.0","0.0","60.8","92.0","98.5","99.6","99.8","100.0","100.0"
"MIS102","80.0","95.6","99.4","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"PHIL342","0.0","0.0","0.0","34.9","83.7","94.3","98.7","99.8","100.0","100.0"
"ELEC","0.0","0.0","0.0","17.7","80.5","96.3","99.4","100.0","100.0","100.0"
"BUS223","0.0","0.0","0.0","4.4","69.5","91.8","98.1","99.3","99.9","99.9"
"BUS356","0.0","0.0","0.0","0.0","49.3","87.2","96.5","99.3","99.8","100.0"
"MGT335","0.0","0.0","0.0","0.0","42.5","86.6","97.5","99.6","99.7","100.0"
"LAB SCI","0.0","0.0","0.0","0.0","17.4","78.5","96.4","99.0","100.0","100.0"
"BUS441","0.0","0.0","0.0","0.0","6.3","63.1","89.7","98.0","99.4","100.0"
"BUS457","0.0","0.0","0.0","0.0","1.6","57.2","90.4","98.3","99.6","100.0"
"BUS467","0.0","0.0","0.0","0.0","0.0","36.3","85.7","97.5","99.3","100.0"
"BUS495","0.0","0.0","0.0","0.0","0.0","33.3","75.3","92.4","97.8","99.5"
"SPE321","0.0","0.0","0.0","0.0","0.0","19.1","76.5","95.4","99.3","99.9"
"HUM","0.0","0.0","0.0","0.0","0.0","8.2","67.5","92.9","98.9","100.0"
"ANTH452","0.0","0.0","0.0","0.0","0.0","2.7","53.9","88.9","97.9","99.3"
"BUS496","0.0","0.0","0.0","0.0","0.0","0.0","24.6","64.6","86.2","94.5"
"PSY347","0.0","0.0","0.0","0.0","0.0","0.5","36.8","81.3","95.9","99.3"
"HUM","0.0","49.5","72.9","88.2","94.4","95.8","97.3","99.3","99.8","100.0"
"ELEC","0.0","0.0","0.0","0.0","0.0","0.0","20.1","76.8","94.7","98.8"
"BUS226","0.0","0.0","0.0","0.0","0.0","0.0","10.6","65.2","92.0","98.5"
"BUS478","0.0","0.0","0.0","0.0","0.0","0.0","3.9","53.8","89.2","98.1"
"WRI327","0.0","0.0","0.0","0.0","0.0","0.0","1.2","39.5","83.8","96.4"
"BUS497","0.0","0.0","0.0","0.0","0.0","0.0","0.0","13.0","51.0","77.5"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.9","37.7","70.9"
