"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10"
"MATH 121","79.3","94.9","98.8","99.8","99.9","99.9","100.0","100.0","100.0","100.0"
"ENGL 110","81.5","97.6","99.6","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"Humanities 1","80.9","95.9","99.3","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"Physical & Natural Sciences","81.5","95.4","98.6","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"MGMT 113","80.8","95.5","99.4","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"MATH 180","0.0","62.6","87.1","96.6","99.2","99.8","99.8","100.0","100.0","100.0"
"ENGL 120","0.0","66.5","90.9","98.2","99.6","100.0","100.0","100.0","100.0","100.0"
"Physical & Natural Sciences w/ Lab","0.0","81.0","96.2","99.5","99.8","100.0","100.0","100.0","100.0","100.0"
"ECON 105","79.6","95.7","98.7","99.6","99.9","100.0","100.0","100.0","100.0","100.0"
"Foreign Language","0.0","68.4","92.6","98.3","99.6","99.9","99.9","100.0","100.0","100.0"
"ENGL 219","0.0","0.0","53.0","83.0","94.6","98.5","99.6","99.9","100.0","100.0"
"Fine Arts","0.0","32.8","86.1","97.3","99.2","99.9","100.0","100.0","100.0","100.0"
"ECON 106","0.0","0.0","77.8","95.7","99.3","99.8","99.9","100.0","100.0","100.0"
"STAT 145","0.0","0.0","66.9","92.0","98.3","99.6","99.9","100.0","100.0","100.0"
"Elective 1","0.0","0.0","58.0","91.1","97.2","99.7","99.9","100.0","100.0","100.0"
"CS 150L","0.0","0.0","35.1","84.8","96.8","99.3","99.8","99.9","100.0","100.0"
"MGMT 202","0.0","0.0","10.6","80.8","94.8","98.4","99.9","100.0","100.0","100.0"
"Social & Behavior Science","0.0","0.0","0.0","70.2","94.3","98.9","99.9","100.0","100.0","100.0"
"Elective 2","0.0","0.0","0.0","57.9","92.5","98.8","99.7","99.8","100.0","100.0"
"MGMT 300","0.0","0.0","0.0","35.4","79.0","93.4","98.0","99.5","100.0","100.0"
"MGMT 303","0.0","0.0","0.0","8.1","63.8","89.3","96.0","98.7","100.0","100.0"
"MGMT 306","0.0","0.0","0.0","27.1","80.2","95.6","99.5","99.9","100.0","100.0"
"MGMT 308","0.0","0.0","0.0","8.0","72.0","93.6","99.0","99.8","100.0","100.0"
"MGMT 340","0.0","0.0","0.0","0.3","49.8","85.4","95.5","98.8","99.9","100.0"
"MGMT 398","0.0","80.5","83.6","84.2","92.7","98.4","99.6","99.7","99.9","100.0"
"MGMT 310","0.0","0.0","0.0","0.0","42.1","86.8","97.5","99.5","99.8","100.0"
"MGMT 322","0.0","0.0","0.0","1.1","27.7","78.8","95.5","98.9","99.8","100.0"
"MGMT 326","0.0","0.0","0.0","0.0","9.3","66.3","90.5","98.3","99.7","100.0"
"MGMT 341","0.0","0.0","0.0","0.0","0.0","36.4","76.6","91.0","97.1","99.1"
"MGMT 346","0.0","0.0","0.0","0.0","1.8","41.7","78.8","92.8","97.9","99.2"
"MGMT 450","0.0","0.0","0.0","0.0","0.0","11.8","53.4","82.0","94.4","98.9"
"MGMT 343","0.0","0.0","0.0","0.0","0.5","31.1","77.0","92.2","97.2","99.2"
"Upper Division Humanities","0.0","0.0","0.0","0.0","3.8","35.5","79.7","95.1","99.1","99.9"
"Elective 3","0.0","0.0","0.0","0.0","0.9","15.6","67.8","93.2","98.5","99.8"
"Elective 4","0.0","0.0","0.0","0.0","0.0","7.4","55.3","89.5","97.4","100.0"
"MGMT 328","0.0","0.0","0.0","0.0","0.0","3.6","39.2","84.7","96.4","99.6"
"MGMT 443","0.0","0.0","0.0","0.0","0.0","0.1","21.6","73.5","93.3","99.1"
"MGMT 449","0.0","0.0","0.0","0.0","0.0","0.0","12.0","63.2","90.6","97.8"
"MGMT 498","0.0","0.0","0.0","0.0","0.0","0.0","4.6","48.7","84.0","96.2"
"Elective","0.0","0.0","0.0","0.0","0.0","0.5","2.5","33.8","79.6","94.8"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","0.1","15.3","58.6","86.4"
