"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10"
"DANC 1000","77.5","95.6","99.2","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"DANC 1210","79.2","95.4","98.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"AREA 2","79.8","96.1","99.5","99.8","99.9","99.9","100.0","100.0","100.0","100.0"
"ART 2200","81.3","96.6","99.5","99.8","100.0","100.0","100.0","100.0","100.0","100.0"
"DANC 1200","78.5","95.4","99.3","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"DANC 1100","79.1","96.1","99.3","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"DANC 1950","78.4","94.9","98.6","99.5","99.8","99.9","100.0","100.0","100.0","100.0"
"AREA 3","81.7","96.2","99.1","99.7","99.9","100.0","100.0","100.0","100.0","100.0"
"DANC 2100","0.0","78.8","96.1","98.8","99.7","99.9","99.9","100.0","100.0","100.0"
"DANC 2200","0.0","79.3","95.7","99.2","99.7","99.9","100.0","100.0","100.0","100.0"
"DANC 1800","0.0","80.5","96.2","99.2","99.9","100.0","100.0","100.0","100.0","100.0"
"BIOS 1120","0.0","77.8","95.6","99.1","99.8","99.9","99.9","100.0","100.0","100.0"
"BIOS 1100","0.0","76.4","95.3","99.2","99.8","100.0","100.0","100.0","100.0","100.0"
"MUS 1500","0.0","54.9","92.0","98.6","99.8","99.9","99.9","100.0","100.0","100.0"
"DANC 1960","0.0","40.1","87.2","96.8","99.6","99.9","100.0","100.0","100.0","100.0"
"DANC 1850","0.0","12.7","82.5","95.8","99.5","99.7","99.8","100.0","100.0","100.0"
"DANC 3100","0.0","0.0","78.7","95.3","98.8","99.8","100.0","100.0","100.0","100.0"
"DANC 3200","0.0","0.0","74.7","95.2","99.4","99.9","100.0","100.0","100.0","100.0"
"AREA 4","0.0","0.0","69.9","94.2","98.4","99.8","100.0","100.0","100.0","100.0"
"DANC 1250","0.0","0.0","61.4","91.4","98.3","99.6","99.9","100.0","100.0","100.0"
"DANC 2800","0.0","0.0","8.4","66.2","89.1","97.1","99.4","99.8","99.8","100.0"
"DANC 1450","0.0","0.0","34.8","87.2","97.6","99.6","100.0","100.0","100.0","100.0"
"DANC 2250","0.0","0.0","27.6","83.0","97.7","99.7","99.9","100.0","100.0","100.0"
"DANC 2300","0.0","0.0","5.4","77.0","95.4","99.1","99.8","100.0","100.0","100.0"
"DANC 2850","0.0","0.0","0.0","71.5","94.9","99.0","99.8","100.0","100.0","100.0"
"DANC 3800","0.0","0.0","0.0","6.2","54.9","82.8","94.1","98.7","99.7","99.8"
"DANC 3300","0.0","0.0","0.0","63.7","93.6","98.5","99.8","100.0","100.0","100.0"
"DANC 3450","0.0","0.0","0.0","26.2","75.0","93.1","98.5","99.9","100.0","100.0"
"AREA 7","0.0","0.0","0.0","38.6","88.8","97.9","99.6","100.0","100.0","100.0"
"DANC 2950","0.0","0.0","0.0","8.7","75.5","95.1","99.1","99.9","100.0","100.0"
"DANC 4400","0.0","0.0","0.0","21.7","75.0","95.7","99.1","99.6","99.9","100.0"
"AREA 5","0.0","0.0","0.0","0.0","51.8","91.9","98.7","99.6","99.9","99.9"
"DANC 3890","0.0","0.0","0.0","0.0","46.0","87.9","97.7","99.6","99.9","99.9"
"DANC 2450","0.0","0.0","0.0","0.0","18.3","78.6","95.1","99.4","100.0","100.0"
"DANC 4800","0.0","0.0","0.0","0.0","1.9","40.6","73.1","89.4","96.4","98.8"
"DANC 4890","0.0","0.0","0.0","0.0","19.0","78.1","95.0","98.7","99.9","100.0"
"DANC 2960","0.0","0.0","0.0","0.0","3.3","67.2","92.7","98.6","99.6","99.9"
"AREA 8","0.0","0.0","0.0","0.0","0.2","52.8","90.5","98.1","99.8","100.0"
"DANC 4100","81.3","87.4","91.4","93.8","96.1","98.8","99.8","100.0","100.0","100.0"
"DANC 4200","0.0","22.5","41.6","55.1","65.8","86.9","97.6","99.5","99.8","99.9"
"DANC 4650","0.0","0.0","0.0","0.0","0.0","39.7","84.6","96.5","99.6","100.0"
"DANC 4450","0.0","0.0","5.5","16.3","27.7","61.9","90.1","98.5","99.4","99.8"
"DANC 4250","0.0","0.0","0.0","1.1","5.5","39.7","85.1","96.3","99.1","99.9"
"DANC 4600","0.0","0.0","0.0","0.0","0.3","25.9","83.0","96.4","99.4","99.9"
"DANC 4000","0.0","0.0","0.0","0.0","0.0","19.6","77.4","95.4","99.0","99.9"
"DANC 4300","0.0","0.0","0.0","0.0","0.0","16.2","76.8","94.3","98.4","99.5"
"ENGL 1050","0.0","0.0","0.0","0.0","0.0","3.7","64.4","92.2","98.7","100.0"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.2","19.2","63.6","89.8","97.4"
