"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10"
"ENGL 110","80.7","95.6","99.5","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"Freshman Academic Choice","77.8","94.6","98.8","99.7","99.9","100.0","100.0","100.0","100.0","100.0"
"MATH 162","80.0","96.3","99.1","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"CHEM 121","81.3","97.4","99.3","99.9","99.9","100.0","100.0","100.0","100.0","100.0"
"CHEM 123L","79.4","94.3","99.3","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"Second Language","81.5","96.5","99.7","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"ENGL 120","0.0","65.4","88.5","97.3","99.8","100.0","100.0","100.0","100.0","100.0"
"CHEM 122","0.0","51.7","83.6","95.6","98.9","99.5","100.0","100.0","100.0","100.0"
"CHEM 124L","0.0","49.2","82.2","94.8","98.8","99.7","100.0","100.0","100.0","100.0"
"BIOL 201L","0.0","62.6","90.6","98.1","99.3","99.8","100.0","100.0","100.0","100.0"
"MATH 163","0.0","66.7","90.8","97.0","99.4","100.0","100.0","100.0","100.0","100.0"
"BIOL 202L","0.0","0.0","51.1","83.9","95.1","98.8","99.6","99.9","100.0","100.0"
"CHEM 301","0.0","0.0","43.2","75.3","91.6","97.5","99.0","99.9","100.0","100.0"
"CHEM 303L","0.0","0.0","40.5","76.3","91.2","97.8","99.3","99.8","100.0","100.0"
"PHYC 151","0.0","59.3","91.0","98.3","99.4","99.7","100.0","100.0","100.0","100.0"
"PHYC 151L","0.0","21.1","81.3","95.3","99.4","99.9","99.9","99.9","100.0","100.0"
"ENGL 219","0.0","0.0","47.0","78.0","93.7","98.2","99.9","100.0","100.0","100.0"
"PHYC 152","0.0","0.0","36.5","80.3","94.9","98.3","99.6","99.9","100.0","100.0"
"PHYC 152L","0.0","0.0","31.2","79.4","94.2","98.7","99.5","100.0","100.0","100.0"
"CHEM 302","0.0","0.0","0.0","35.2","67.5","86.8","95.5","97.9","99.5","99.7"
"CHEM 304L","0.0","0.0","0.0","33.9","65.9","86.8","95.4","98.1","99.8","100.0"
"CHEM 253L","0.0","0.0","0.0","48.1","84.0","95.1","98.5","99.6","100.0","100.0"
"Fine Arts Core","0.0","9.6","33.4","71.1","93.3","99.0","99.8","99.9","100.0","100.0"
"BIOC 445","0.0","0.0","0.0","0.0","27.1","58.2","80.3","93.1","96.5","98.8"
"CHEM 315","0.0","0.0","0.0","12.2","58.9","86.2","94.7","98.9","99.8","100.0"
"Humanities Core","0.0","0.0","6.6","35.9","82.9","96.3","99.8","99.9","99.9","100.0"
"Social & Behavioral Science","0.0","0.0","1.1","16.1","61.2","92.5","98.1","99.6","99.9","100.0"
"Upper Division Elective","0.0","0.0","0.0","7.5","41.5","86.4","97.2","99.8","99.9","100.0"
"BIOC 446","0.0","0.0","0.0","0.0","0.0","21.3","51.6","73.9","89.4","94.9"
"BIOC 448L","0.0","0.0","0.0","0.0","0.0","18.1","50.1","73.8","88.9","94.5"
"BIOC 451L","0.0","0.0","0.0","0.0","0.0","13.3","48.8","74.4","89.1","94.8"
"Humanities Core","0.0","0.0","0.0","3.1","22.2","65.6","89.8","98.6","99.9","100.0"
"Social & Behavioral Science","0.0","0.0","0.0","0.9","9.4","49.7","82.8","96.0","99.2","100.0"
"BIOC Upper Division Elective","0.0","0.0","0.0","0.1","3.9","34.1","72.2","93.0","98.9","99.7"
"Upper Division Elective","0.0","0.0","0.0","0.0","1.9","22.0","61.6","88.7","97.7","99.3"
"Upper Division Elective","0.0","0.0","0.0","0.0","0.9","11.0","47.6","83.0","96.3","99.3"
"Upper Division Elective","0.0","0.0","0.0","0.0","0.3","3.2","32.8","75.5","94.3","98.6"
"Upper Division Elective","0.0","0.0","0.0","0.0","0.1","1.4","22.9","68.0","92.8","98.8"
"BIOC Upper Division Elective","0.0","0.0","0.0","0.0","0.0","0.4","11.1","54.5","89.2","97.8"
"Elective Any Level","0.0","0.0","0.0","0.0","0.0","0.2","5.0","42.7","82.1","96.8"
"Elective Any Level","0.0","0.0","0.0","0.0","0.0","0.0","1.6","30.2","73.2","94.8"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","11.3","46.7","80.2"
