"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10"
"ANTH1500","78.7","94.8","98.9","99.6","99.9","100.0","100.0","100.0","100.0","100.0"
"MUS1500","79.4","96.1","99.4","99.8","100.0","100.0","100.0","100.0","100.0","100.0"
"STAT1600","79.6","95.1","98.7","99.6","100.0","100.0","100.0","100.0","100.0","100.0"
"ENGL1050","80.0","95.5","98.9","99.6","99.9","99.9","99.9","99.9","100.0","100.0"
"PSY1000","79.2","94.9","98.8","99.6","99.9","100.0","100.0","100.0","100.0","100.0"
"PSY1400","0.0","63.9","89.0","97.1","98.8","99.7","99.9","100.0","100.0","100.0"
"PSY1401","0.0","62.8","89.3","97.6","99.2","99.8","99.9","99.9","100.0","100.0"
"SPAN1000","0.0","77.1","95.1","98.5","99.7","99.9","100.0","100.0","100.0","100.0"
"HIST2100","0.0","67.6","92.9","98.0","99.8","100.0","100.0","100.0","100.0","100.0"
"PSY3000","0.0","0.0","41.5","76.6","91.7","97.2","98.9","99.7","99.9","100.0"
"PSY3550(lab)","0.0","39.5","88.3","97.8","99.6","99.9","100.0","100.0","100.0","100.0"
"SOC2000","0.0","7.0","77.3","96.2","98.8","99.9","100.0","100.0","100.0","100.0"
"SPAN1010","0.0","0.0","54.1","87.0","95.9","99.1","99.6","100.0","100.0","100.0"
"PSY2500(Elect1)","0.0","0.0","47.4","86.9","97.5","99.3","99.6","100.0","100.0","100.0"
"PSY3300","0.0","0.0","0.0","32.9","66.6","84.9","94.8","98.3","99.6","99.9"
"SOC2600","0.0","0.0","22.0","79.3","95.0","99.4","99.7","99.9","100.0","100.0"
"SOC2820","0.0","0.0","2.1","69.0","93.0","98.9","99.7","100.0","100.0","100.0"
"SOC3200","0.0","0.0","0.9","53.0","89.4","97.2","99.3","99.7","100.0","100.0"
"SPAN2000","0.0","0.0","0.0","20.5","72.2","92.6","97.6","99.2","100.0","100.0"
"PSY3260(Elect2)","0.0","0.0","0.0","23.3","77.6","93.9","98.9","99.9","100.0","100.0"
"PSY3990","0.0","0.0","48.9","74.4","94.6","98.5","99.8","100.0","100.0","100.0"
"PSY3600","0.0","0.0","0.0","0.0","23.5","57.3","79.2","91.8","97.2","98.8"
"STAT2830","0.0","0.0","0.0","0.8","55.0","89.6","98.3","99.3","99.9","99.9"
"HNRS3201","0.0","0.0","0.0","0.3","37.5","83.7","96.6","98.9","99.9","100.0"
"HNRS4101","0.0","0.0","0.0","0.1","21.2","77.3","95.7","99.4","100.0","100.0"
"PSY3440(Elect3)","0.0","0.0","0.0","0.0","7.6","66.5","92.7","98.0","99.6","99.9"
"PSY3620","0.0","0.0","0.0","0.0","2.2","52.5","87.1","96.8","98.9","99.6"
"SOC3640","0.0","0.0","0.0","0.0","0.2","39.7","83.5","96.2","99.6","100.0"
"LANG3500","0.0","0.0","0.0","0.0","0.1","26.1","75.9","94.6","99.0","99.9"
"SOC3630","0.0","0.0","0.0","0.0","0.0","11.0","61.6","87.3","96.1","99.2"
"PSY4600","0.0","0.0","0.0","0.0","0.0","8.1","61.2","91.5","97.9","99.8"
"SOC3650","0.0","0.0","0.0","0.0","0.0","2.1","46.6","85.8","97.0","99.5"
"SOC4120","0.0","0.0","0.0","0.0","0.0","0.4","36.3","80.8","95.7","99.0"
"GEOG3810","0.0","0.0","0.0","0.0","0.0","0.0","24.1","72.4","93.7","99.1"
"PSY3970","0.0","0.0","0.0","0.0","0.0","0.0","3.7","38.3","76.4","91.1"
"SOC4220","0.0","0.0","0.0","0.0","0.0","0.0","13.4","59.7","88.7","97.0"
"SOC4540","0.0","0.0","0.0","0.0","0.0","0.0","4.0","46.9","85.9","97.2"
"ANTH2500 ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","25.1","72.5","93.6"
"PSY3844","0.0","0.0","0.0","0.0","0.0","0.0","0.4","26.2","70.6","93.7"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.0","39.6","77.1"
