"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10"
"CHEM 1100","79.2","95.8","99.1","99.7","100.0","100.0","100.0","100.0","100.0","100.0"
"CHEM 1110","79.3","95.6","99.0","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"BIOS 1600","79.2","95.5","99.3","99.8","100.0","100.0","100.0","100.0","100.0","100.0"
"MATH 1220","77.9","95.4","99.2","99.8","100.0","100.0","100.0","100.0","100.0","100.0"
"Area 1","80.5","95.8","99.3","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"CHEM 1120","0.0","50.8","82.3","95.2","99.0","100.0","100.0","100.0","100.0","100.0"
"CHEM 1130","0.0","51.0","84.3","95.4","98.5","99.8","100.0","100.0","100.0","100.0"
"BIOS 1610","0.0","63.0","89.6","96.7","98.9","99.7","99.9","100.0","100.0","100.0"
"MATH 1230","0.0","62.5","88.6","96.8","99.5","99.8","100.0","100.0","100.0","100.0"
"Area 2","81.1","95.7","99.3","99.7","100.0","100.0","100.0","100.0","100.0","100.0"
"CHEM 3750","0.0","0.0","32.2","67.6","87.4","95.4","98.2","99.5","100.0","100.0"
"CHEM 3760","0.0","0.0","31.3","68.4","87.6","95.7","98.7","99.9","100.0","100.0"
"BIOS 1620","0.0","47.6","85.3","96.0","99.2","100.0","100.0","100.0","100.0","100.0"
"MATH 2720","0.0","0.0","48.5","80.6","93.2","98.1","99.4","99.8","100.0","100.0"
"PHYS 2050","0.0","58.0","119.7","140.6","143.6","144.1","144.1","144.1","144.1","144.1"
"PHYS 2060","0.0","14.6","69.6","93.0","97.9","99.7","99.9","99.9","100.0","100.0"
"Area 3","0.0","11.4","47.4","88.1","97.8","99.7","99.9","100.0","100.0","100.0"
"CHEM 3770","0.0","0.0","0.0","20.2","53.3","77.5","92.0","96.5","99.5","100.4"
"CHEM 3780","0.0","0.0","0.0","17.6","52.5","77.3","89.3","96.2","98.8","99.8"
"PHYS 2070","0.0","0.0","0.0","35.6","69.0","89.6","97.3","99.8","100.8","101.0"
"PHYS 2080","0.0","0.0","0.0","35.0","69.4","88.3","95.8","98.9","99.6","100.0"
"CHEM 2250","0.0","0.0","27.3","83.3","116.8","127.0","129.9","130.1","130.6","130.6"
"CHEM 2260","0.0","0.0","0.9","46.8","81.5","95.6","99.0","99.6","99.9","100.0"
"CHEM 4300","0.0","0.0","0.0","0.0","18.4","50.8","77.9","91.1","97.1","98.9"
"BIOS 2500","0.0","0.0","3.0","27.1","77.4","93.3","98.6","99.6","100.0","100.0"
"Area 4","0.0","2.2","16.2","37.4","77.1","94.8","98.8","99.7","100.0","100.0"
"CHEM 4360","0.0","0.0","0.0","0.0","0.0","11.3","40.7","70.4","86.5","94.9"
"BIOS 3120","0.0","0.0","0.0","0.0","13.2","56.5","82.4","93.6","97.8","99.8"
"Area 5","0.0","0.3","6.0","18.8","57.2","88.8","97.5","99.6","100.0","100.0"
"Area 7","0.0","0.0","1.4","9.6","33.1","79.3","95.2","98.1","99.9","99.9"
"CHEM 5500","0.0","0.0","0.0","0.0","0.0","6.4","30.8","62.0","82.2","92.8"
"CHEM 5510","0.0","0.0","0.0","0.0","0.0","5.8","29.2","59.5","80.4","93.0"
"Area 8","0.0","0.0","0.2","4.2","16.2","59.7","88.8","98.3","99.6","99.9"
"CHEM 5540","0.0","0.0","0.0","0.0","0.0","0.0","5.3","25.0","53.7","77.2"
"Elective","0.0","0.0","0.0","1.7","6.9","39.5","83.1","96.1","99.4","99.8"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","3.6","21.9","50.7","75.7"
