"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10"
"ENGL 110","79.5","95.2","99.4","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"MATH 150","78.8","96.1","99.4","99.7","100.0","100.0","100.0","100.0","100.0","100.0"
"CHEM 121","78.9","95.3","98.6","99.4","99.9","100.0","100.0","100.0","100.0","100.0"
"CHEM 123L","82.6","96.5","99.3","99.7","99.7","99.9","100.0","100.0","100.0","100.0"
"Social Behavioral Science","81.3","95.8","99.1","99.8","100.0","100.0","100.0","100.0","100.0","100.0"
"Freshman Academic Choice","79.1","95.4","98.9","99.8","100.0","100.0","100.0","100.0","100.0","100.0"
"BIOL 201L","0.0","63.1","89.0","96.9","99.0","99.7","100.0","100.0","100.0","100.0"
"CHEM 122","0.0","63.8","89.3","97.1","98.8","99.8","100.0","100.0","100.0","100.0"
"CHEM 124L","0.0","63.4","89.1","97.6","98.8","99.8","100.0","100.0","100.0","100.0"
"MATH 180","0.0","62.2","89.4","96.8","99.3","99.9","100.0","100.0","100.0","100.0"
"ENGL 120","0.0","61.9","88.1","96.5","99.3","100.0","100.0","100.0","100.0","100.0"
"Second Language","0.0","58.2","91.5","98.2","99.5","99.8","100.0","100.0","100.0","100.0"
"BIOL 202L","0.0","0.0","49.5","81.4","92.9","97.5","98.9","99.8","100.0","100.0"
"CHEM 301","0.0","0.0","47.5","80.8","94.2","98.2","99.8","100.0","100.0","100.0"
"CHEM 303L","0.0","0.0","52.2","81.9","94.2","97.6","99.4","100.0","100.0","100.0"
"MATH 181","0.0","0.0","48.1","82.2","93.8","98.6","99.6","100.0","100.0","100.0"
"ENGL 219","0.0","0.0","46.2","78.1","93.2","98.1","99.8","100.0","100.0","100.0"
"BIOL 203","0.0","0.0","0.0","37.7","71.1","87.2","95.1","98.0","99.7","99.9"
"BIOL 203L","0.0","0.0","0.0","37.0","71.4","88.7","96.1","98.2","99.5","99.9"
"PHYC 151","0.0","0.0","29.4","74.2","92.6","97.8","99.5","99.8","100.0","100.0"
"Minor Requirement","0.0","14.5","29.4","80.6","96.5","99.4","100.0","100.0","100.0","100.0"
"Fine Arts","0.0","8.3","12.7","59.0","91.4","98.2","99.3","99.9","100.0","100.0"
"Social Behavioral Science","0.0","0.0","3.7","35.4","86.5","97.1","99.4","99.8","100.0","100.0"
"BIOL 204","0.0","0.0","0.0","0.0","23.6","56.1","78.6","90.8","96.6","98.5"
"BIOL 204L","0.0","0.0","0.0","0.0","22.4","55.7","78.9","91.4","96.2","98.9"
"BIOC 423","0.0","0.0","0.0","5.0","58.2","85.5","95.5","98.6","99.9","100.0"
"Minor Requirement","0.0","0.0","1.4","8.3","59.8","90.9","98.1","99.5","99.9","100.0"
"PHYC 152","0.0","0.0","0.2","3.5","37.4","85.6","98.0","99.8","100.0","100.0"
"Humanities","0.0","0.0","0.0","1.3","20.3","76.9","95.9","99.2","100.0","100.0"
"BIOL Elective","0.0","0.0","0.0","0.4","8.4","61.7","91.9","98.5","99.6","100.0"
"BIOL Elective","0.0","0.0","0.0","0.1","1.5","44.7","87.9","97.7","99.6","100.0"
"Minor Requirement","0.0","0.0","0.0","0.1","1.8","30.6","81.0","95.6","99.5","99.8"
"Minor Requirement","0.0","0.0","0.0","0.0","0.0","14.7","70.1","93.9","99.2","99.9"
"BIOL Elective","0.0","0.0","0.0","0.0","0.1","4.1","55.3","89.9","98.5","99.8"
"BIOL Elective","0.0","0.0","0.0","0.0","0.0","0.9","39.6","84.1","97.3","99.6"
"Upper Division BIOL Elective","0.0","0.0","0.0","0.0","0.0","0.1","28.4","77.8","94.7","98.6"
"Minor Requirement","0.0","0.0","0.0","0.0","0.0","0.1","17.8","70.0","93.1","98.4"
"Second Language","0.0","0.0","0.0","0.0","0.0","0.0","9.2","60.4","91.0","97.4"
"Upper Division Elective","0.0","0.0","0.0","0.0","0.0","0.0","3.2","49.4","86.7","97.6"
"Upper Division BIOL Elective","0.0","0.0","0.0","0.0","0.0","0.0","0.6","36.9","81.3","95.6"
"Minor Requirement","0.0","0.0","0.0","0.0","0.0","0.0","0.2","23.7","73.7","93.0"
"Humanities","0.0","0.0","0.0","0.0","0.0","0.0","0.0","15.9","67.2","93.6"
"Upper Division Elective","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9.0","57.0","89.1"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.9","31.9","70.0"
