"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10"
"BIOS 1600","81.8","96.4","99.5","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"MATH 1110","79.1","96.6","99.4","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"ARAB 1000","81.2","95.6","99.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"ENGL 1050","81.0","95.5","99.1","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"BIOS 1610","0.0","65.6","90.9","98.1","99.5","100.0","100.0","100.0","100.0","100.0"
"CHEM 1100","0.0","64.0","89.5","96.8","99.3","99.8","100.0","100.0","100.0","100.0"
"CHEM 1110","0.0","62.3","90.2","97.2","98.8","99.7","100.0","100.0","100.0","100.0"
"STAT 2600","79.7","95.9","99.4","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"PHIL 3250","0.0","75.5","94.4","98.8","99.6","99.9","100.0","100.0","100.0","100.0"
"BIOS 1620","0.0","38.5","85.1","97.0","99.6","99.9","100.0","100.0","100.0","100.0"
"CHEM 1120","0.0","0.0","40.9","76.4","91.1","97.3","99.4","100.5","100.5","100.5"
"CHEM 1130","0.0","0.0","38.1","75.5","90.7","96.8","98.9","99.9","99.9","100.0"
"MATH 1220","0.0","20.6","79.1","95.4","98.9","99.7","100.0","100.0","100.0","100.0"
"MUS 1480","0.0","8.4","59.5","92.0","98.4","99.6","100.0","100.0","100.0","100.0"
"BIOS 2110","0.0","0.0","22.8","76.3","94.6","98.7","99.7","100.0","100.0","100.0"
"CHEM 3750","0.0","0.0","0.0","25.1","61.4","81.5","93.4","98.2","100.5","101.1"
"CHEM 3760","0.0","0.0","0.0","24.3","59.8","82.5","93.2","97.2","99.1","99.5"
"RUSS 3100","0.0","47.2","69.7","91.0","97.9","99.9","100.0","100.0","100.0","100.0"
"ARAB 1010","0.0","0.0","6.2","59.7","90.5","98.2","99.7","99.7","100.0","100.0"
"BIOS 2300","0.0","0.0","0.0","17.1","60.8","83.8","93.4","98.0","99.7","100.0"
"BIOS 2500","0.0","0.0","0.0","4.5","52.1","83.6","94.4","97.7","99.5","99.7"
"CHEM 3770","0.0","0.0","0.0","0.0","15.2","47.0","71.5","87.7","95.3","98.8"
"CHEM 3780","0.0","0.0","0.0","0.0","13.6","43.7","69.9","86.1","93.7","97.3"
"PSCI 2000","0.0","0.0","16.3","55.3","83.7","96.6","99.0","99.8","99.9","99.9"
"BIOS 3500","0.0","0.0","0.0","13.9","46.1","83.9","95.9","99.1","99.9","100.0"
"CHEM 3550","0.0","0.0","0.0","0.0","0.0","9.1","32.0","57.9","77.8","89.4"
"CHEM 3560","0.0","0.0","0.0","0.0","0.0","9.0","32.6","58.9","76.5","89.1"
"ANTH  3390","0.0","0.0","0.2","16.4","52.9","85.0","96.9","99.0","99.7","99.9"
"BIOS 3120","0.0","0.0","0.0","0.3","15.0","58.4","90.0","97.6","99.9","100.0"
"BIOS 3000","0.0","0.0","0.0","0.0","1.8","30.5","71.9","89.7","96.2","99.3"
"PHYS 1130","0.0","0.0","6.2","38.2","87.1","150.1","208.0","223.0","224.4","224.8"
"PHYS 1140","0.0","0.0","0.0","0.0","5.5","22.7","71.1","91.0","98.7","99.8"
"BIOS 4970","0.0","0.0","0.0","0.0","1.2","12.7","55.0","87.7","98.0","99.4"
"PHYS 1150","0.0","0.0","0.0","0.0","2.0","17.6","69.0","119.8","132.8","136.4"
"PHYS 1160","0.0","0.0","0.0","0.0","0.2","3.9","31.0","76.2","93.9","98.9"
"PEGN 1710","0.0","5.1","38.7","44.1","45.0","48.8","63.6","87.1","96.8","99.6"
"ENVS 1000","0.0","0.0","0.0","0.0","0.0","2.6","19.0","65.7","91.7","98.5"
"CS 1000","0.0","0.0","0.0","0.0","0.0","1.2","10.6","55.6","88.5","97.4"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","0.7","17.6","53.9","80.9"
