"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10"
"ENGL 110","79.5","95.9","99.2","99.8","100.0","100.0","100.0","100.0","100.0","100.0"
"MATH 162","81.0","96.5","99.2","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"CBE 101","80.1","96.4","99.2","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"CHEM 121","80.1","96.5","99.2","99.8","99.9","100.0","100.0","100.0","100.0","100.0"
"CHEM 123L","79.9","94.4","98.0","99.6","100.0","100.0","100.0","100.0","100.0","100.0"
"Humanities Core","80.8","95.6","98.9","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"ENGL 120","0.0","63.4","89.1","97.2","98.9","99.7","100.0","100.0","100.0","100.0"
"MATH 163","0.0","68.4","91.1","97.5","99.3","99.9","100.0","100.0","100.0","100.0"
"PHYC 160","80.3","95.2","99.0","99.8","100.0","100.0","100.0","100.0","100.0","100.0"
"CHEM 122","0.0","50.1","81.6","93.7","98.6","99.8","100.0","100.0","100.0","100.0"
"CHEM 124L","0.0","49.2","82.8","94.4","98.2","99.4","99.9","100.0","100.0","100.0"
"Social Science","0.0","79.3","95.1","99.2","99.9","100.0","100.0","100.0","100.0","100.0"
"CBE 251","0.0","0.0","29.3","65.4","86.3","95.0","98.7","99.7","99.8","100.0"
"MATH 264","0.0","0.0","53.0","82.5","95.0","98.5","99.6","99.8","100.0","100.0"
"PHYC 161","0.0","44.8","82.1","95.2","98.6","99.9","100.0","100.0","100.0","100.0"
"CHEM 301","0.0","0.0","38.2","72.7","89.5","96.6","99.5","99.9","100.0","100.0"
"CHEM 303L","0.0","0.0","38.5","70.4","89.3","97.0","99.5","99.8","100.0","100.0"
"CBE 253","0.0","0.0","0.0","23.0","57.4","80.4","92.8","97.5","99.3","99.5"
"MATH 316","0.0","0.0","0.0","21.4","56.8","79.5","92.0","97.5","98.8","99.7"
"CBE 302","0.0","0.0","0.0","23.3","55.1","79.2","91.5","97.7","99.3","99.8"
"Advanced Science Concentration","0.0","19.0","74.3","91.8","98.2","99.8","100.0","100.0","100.0","100.0"
"ECON 105","0.0","1.4","47.4","81.5","95.9","98.9","99.8","99.9","100.0","100.0"
"CBE 311","0.0","0.0","0.0","0.0","17.3","49.2","74.9","89.1","96.0","98.5"
"CBE 317","0.0","0.0","0.0","0.0","13.8","43.6","68.6","86.5","94.7","97.7"
"CBE 361","0.0","0.0","19.9","65.8","90.2","98.4","99.8","100.0","100.0","100.0"
"CBE 318L","0.0","0.0","0.0","0.0","14.0","42.0","68.0","84.5","94.3","97.9"
"ENGL 219","0.0","0.0","4.8","48.2","83.2","96.5","99.4","100.0","100.0","100.0"
"Advanced Science Concentration","0.0","0.0","1.6","35.4","75.1","94.3","98.8","99.8","100.0","100.0"
"CBE 312","0.0","0.0","0.0","0.0","0.0","14.2","42.6","67.8","84.9","93.7"
"CBE 321","0.0","0.0","0.0","0.0","8.4","39.7","67.4","84.4","94.0","98.3"
"Advanced Science Concentration","0.0","0.0","0.1","17.8","54.3","86.5","97.3","99.5","99.9","100.0"
"CBE 319L","0.0","0.0","0.0","0.0","0.0","13.5","41.2","68.4","84.4","93.6"
"CBE 371","0.0","0.0","0.0","6.7","40.0","76.1","94.3","98.6","99.8","100.0"
"ENG 301","0.0","66.6","88.7","95.7","98.1","99.6","100.0","100.0","100.0","100.0"
"ENG 302","0.0","10.6","54.9","78.4","87.8","97.4","99.8","99.9","100.0","100.0"
"CBE 418","0.0","0.0","0.0","0.0","0.0","0.0","8.9","33.4","58.0","78.3"
"CBE 461","0.0","0.0","0.0","0.0","0.0","6.3","31.6","58.2","79.9","91.3"
"CBE 493L","0.0","0.0","0.0","0.0","0.0","0.0","8.9","32.3","57.8","78.7"
"CBE 454","0.0","0.0","0.0","0.0","0.0","4.5","33.2","62.1","81.5","92.2"
"CBE 486","0.0","0.0","1.0","24.7","54.0","80.4","95.0","99.3","99.9","100.0"
"Technical Elective","0.0","0.0","0.0","0.8","18.4","52.0","81.3","95.5","99.1","99.9"
"CBE 419L","0.0","0.0","0.0","0.0","0.0","0.0","5.4","26.6","51.4","73.4"
"CBE 451","0.0","0.0","13.3","34.6","55.5","78.2","94.1","98.7","99.9","100.0"
"CBE 494L","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.4","27.9","51.7"
"Technical Elective","0.0","0.0","0.0","0.2","8.9","33.0","70.4","91.4","98.0","99.6"
"Fine Arts","0.0","0.0","0.0","0.0","4.2","20.8","53.8","84.2","95.9","99.4"
"Foreign Language","0.0","0.0","0.0","0.0","1.5","14.2","38.0","75.0","93.6","99.2"
"Humanities","0.0","0.0","0.0","0.0","0.2","7.6","27.3","63.4","89.3","97.7"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","17.8","43.6"
