"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12","TERM13","TERM14"
"MATH 11A","78.2","95.9","99.4","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"CHEM 1A","81.4","96.6","99.7","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"MATH 11B","0.0","61.2","89.2","97.1","99.5","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"CHEM 1BM","79.5","95.9","99.4","99.8","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"MATH 21","0.0","60.7","88.6","96.7","99.4","99.7","99.9","99.9","99.9","100.0","100.0","100.0","100.0","100.0"
"CHEM 1CN","0.0","50.8","86.9","98.0","99.6","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"CHEM 8AL","0.0","0.0","40.2","77.8","94.0","98.2","99.7","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"PHYS 6AL","0.0","17.6","77.0","95.1","99.5","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"CHEM 8BM","0.0","0.0","0.0","31.4","68.2","87.5","96.6","99.0","99.6","100.0","100.0","100.0","100.0","100.0"
"MATH 22","0.0","0.0","37.3","76.4","92.7","98.3","99.4","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"CHEM 110L","0.0","0.0","0.0","0.0","25.6","59.6","81.4","92.7","97.9","99.4","100.0","100.0","100.0","100.0"
"PHYS 6BM","0.0","0.0","0.0","56.4","85.5","95.9","99.0","99.8","99.9","99.9","99.9","100.0","100.0","100.0"
"CHEM 163A","0.0","0.0","1.0","29.2","75.1","92.7","98.4","99.4","99.8","99.9","100.0","100.0","100.0","100.0"
"PHYS 6CN","0.0","0.0","0.0","0.0","37.8","76.3","93.1","98.2","99.4","99.9","100.0","100.0","100.0","100.0"
"CHEM 163B","0.0","0.0","0.0","0.0","0.0","30.6","66.7","86.9","95.9","98.8","99.9","100.0","100.0","100.0"
"CHEM 164","0.0","0.0","0.0","0.0","0.0","28.4","65.7","86.4","95.9","98.6","99.6","100.0","100.0","100.0"
"CHEM 163C","0.0","0.0","0.0","0.0","0.0","0.0","23.2","58.3","81.3","92.6","97.3","99.4","100.0","100.0"
"CHEM Elective 1","0.0","0.0","0.0","0.0","0.0","19.2","49.9","74.3","89.2","95.5","98.6","99.3","99.8","99.9"
"CHEM 103","0.0","0.0","0.0","0.0","8.4","26.7","55.5","82.5","94.9","98.6","99.6","100.0","100.0","100.0"
"CHEM 151AL","0.0","0.0","0.0","0.0","0.0","2.0","16.5","51.4","79.2","93.2","98.6","99.8","100.0","100.0"
"CHEM Elective 2","0.0","0.0","0.0","0.0","0.0","0.0","4.1","34.2","69.0","88.2","97.0","99.1","99.8","100.0"
"CHEM 146 LAB","0.0","0.0","0.0","0.0","0.0","0.0","1.5","13.2","43.0","72.8","89.4","96.3","99.3","99.7"
"Comprehensive Req","81.9","97.1","99.2","99.7","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.9","34.0","65.3","85.1","94.8","99.0","99.6"
