"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10"
"MATH 1220","82.0","97.0","99.5","99.9","99.9","100.0","100.0","100.0","100.0","100.0"
"GEOS 1300","80.9","96.1","99.3","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"CCE 1001","79.4","95.8","99.4","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"IEE 1020","82.2","96.2","99.1","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"EDMM 1420","82.5","96.4","98.6","99.8","100.0","100.0","100.0","100.0","100.0","100.0"
"MATH 1230","0.0","67.4","91.0","97.8","99.8","99.8","100.0","100.0","100.0","100.0"
"CHEM 1100","77.7","158.3","162.2","163.0","163.0","163.0","163.0","163.0","163.0","163.0"
"CHEM 1110","0.0","82.0","96.5","99.6","99.9","99.9","100.0","100.0","100.0","100.0"
"PHYS 2050","0.0","65.8","94.7","101.7","103.2","103.8","103.9","103.9","103.9","103.9"
"PHYS 2060","0.0","58.8","89.6","97.4","99.5","99.7","100.0","100.0","100.0","100.0"
"CS 1022/CS 1023","0.0","62.9","91.1","98.2","99.6","100.0","100.0","100.0","100.0","100.0"
"CCE 1002","0.0","59.4","91.8","98.3","99.5","99.9","100.0","100.0","100.0","100.0"
"MATH 2720","0.0","0.0","53.5","84.2","94.5","98.7","99.3","100.0","100.0","100.0"
"PHYS 2070","0.0","0.0","42.4","78.1","92.8","98.3","99.8","100.1","100.5","100.5"
"PHYS 2080","0.0","0.0","42.5","74.7","91.2","98.2","99.4","100.0","100.0","100.0"
"CCE 2360","0.0","0.0","71.1","93.2","98.6","99.6","99.9","100.0","100.0","100.0"
"IEE 2610","0.0","0.0","65.1","93.1","98.6","99.7","100.0","100.0","100.0","100.0"
"ME 2560","0.0","0.0","8.4","64.3","89.0","96.3","98.9","99.9","100.0","100.0"
"MATH 3740","0.0","0.0","0.0","41.7","75.3","90.4","97.5","98.6","99.4","99.9"
"CHEG 2611","0.0","0.0","3.8","64.3","91.3","98.0","99.3","99.8","100.0","100.0"
"ME 2580","0.0","0.0","0.0","6.3","54.2","83.0","94.1","98.1","99.6","99.9"
"ME 2570","0.0","0.0","0.0","6.4","51.6","80.5","92.5","97.3","99.3","100.0"
"General Education-Area 1","0.0","12.8","24.5","64.7","89.7","97.8","99.6","100.0","100.0","100.0"
"CCE 3360","0.0","0.0","0.0","0.0","4.8","41.3","73.5","88.6","95.6","98.2"
"IEE 3100","0.0","0.0","0.0","25.6","75.1","95.5","98.9","99.7","100.0","100.0"
"ME 3560","0.0","0.0","0.0","0.0","2.3","38.3","69.7","88.0","95.9","98.5"
"ECON 2010","0.0","6.6","16.2","21.5","70.1","92.6","98.8","99.6","99.8","100.0"
"PHIL 3160","0.0","0.0","4.7","9.6","49.0","87.3","97.3","99.4","100.0","100.0"
"CCE 3080","0.0","0.0","0.0","0.0","1.2","37.5","72.6","89.3","95.9","98.8"
"CCE 3300","0.0","0.0","0.0","2.1","24.4","70.9","93.6","98.5","99.7","99.9"
"CCE 3330","0.0","0.0","0.0","0.0","0.0","23.8","66.7","87.3","94.9","98.2"
"CCE 3860","0.0","0.0","0.0","0.0","0.0","14.1","60.6","86.4","94.8","98.3"
"General Education-Area 4","0.0","0.0","2.1","5.1","8.3","30.3","69.4","92.3","98.2","99.4"
"CCE 4300","0.0","0.0","0.0","0.0","0.4","14.1","52.4","85.4","96.5","99.1"
"CCE 4400","0.0","0.0","0.0","0.0","0.0","0.0","7.8","46.2","76.7","90.3"
"CCE 4830","0.0","0.0","0.0","0.0","0.0","0.0","8.9","44.6","75.6","90.6"
"CCE Construction Elective","0.0","0.0","0.9","3.2","9.8","25.4","53.7","86.0","96.6","99.2"
"CCE Elective","0.0","0.0","0.4","1.7","2.5","7.2","29.5","74.0","94.3","99.0"
"CCE 4561","0.0","0.0","0.0","0.0","0.0","0.0","3.4","43.6","78.1","91.3"
"CCE Structural Elective","0.0","0.0","0.0","0.4","1.3","3.1","13.4","48.4","85.0","97.2"
"CCE 4850","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.1","28.1","59.4"
"CCE Elective 2","0.0","0.0","0.0","0.1","0.7","1.6","7.7","34.2","78.1","95.7"
"General Education-Area 8","0.0","28.7","45.9","60.5","73.1","80.7","88.4","94.9","98.6","99.6"
"General Education-Area 3","0.0","0.0","0.0","0.0","0.1","0.2","3.1","19.6","67.9","91.9"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.3","15.2","49.0"
