"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10"
"BUS 1000","79.6","96.8","99.5","99.8","100.0","100.0","100.0","100.0","100.0","100.0"
"BUS 1750","81.1","96.4","99.3","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"ENGL 1050","79.5","96.7","99.5","99.8","100.0","100.0","100.0","100.0","100.0","100.0"
"CIS 1020","78.0","96.1","99.1","99.8","100.0","100.0","100.0","100.0","100.0","100.0"
"MATH 1160","79.0","95.9","99.0","99.6","100.0","100.0","100.0","100.0","100.0","100.0"
"STAT 2160","0.0","63.8","88.9","96.2","98.8","99.9","100.0","100.0","100.0","100.0"
"ECON 2010","80.2","95.0","99.0","99.9","99.9","100.0","100.0","100.0","100.0","100.0"
"ACTY 2100","0.0","80.8","95.8","99.0","99.6","100.0","100.0","100.0","100.0","100.0"
"AREA 1","0.0","75.9","96.3","99.0","99.7","99.9","99.9","100.0","100.0","100.0"
"COM 1000","0.0","73.4","95.2","98.8","99.7","100.0","100.0","100.0","100.0","100.0"
"CIS 2600","0.0","44.7","86.4","97.5","99.1","99.9","100.0","100.0","100.0","100.0"
"ECON 2020","0.0","32.2","87.1","97.5","99.6","100.0","100.0","100.0","100.0","100.0"
"ACTY 2110","0.0","0.0","63.4","89.3","96.8","99.3","100.0","100.0","100.0","100.0"
"MAJOR 1","0.0","0.0","75.1","95.7","99.1","99.8","100.0","100.0","100.0","100.0"
"BUS 2200","0.0","0.0","66.1","92.9","98.9","99.9","100.0","100.0","100.0","100.0"
"CIS 2700","0.0","0.0","45.9","87.3","97.5","99.5","99.9","100.0","100.0","100.0"
"MAJOR 2","0.0","0.0","25.3","83.4","96.2","99.0","99.5","99.9","100.0","100.0"
"MGMT 2500","0.0","0.0","8.2","75.2","94.5","99.1","99.9","100.0","100.0","100.0"
"MKTG 2500","0.0","0.0","0.0","68.3","93.5","98.8","99.8","100.0","100.0","100.0"
"BCM 3700","0.0","0.0","0.0","57.9","90.4","98.6","99.9","100.0","100.0","100.0"
"AREA 2","0.0","0.0","0.0","41.2","88.0","97.5","99.3","99.9","99.9","99.9"
"AREA 3","0.0","0.0","0.0","20.6","78.9","95.6","99.3","99.9","100.0","100.0"
"CIS 3600","0.0","0.0","0.0","8.1","65.2","90.4","98.0","99.3","99.9","100.0"
"BUS 3750","0.0","0.0","0.0","1.4","52.9","85.7","95.6","99.7","99.8","99.9"
"FIN 3200","0.0","0.0","0.0","0.0","56.1","89.9","98.1","99.6","100.0","100.0"
"LAW 3800","0.0","0.0","0.0","0.0","43.6","86.9","97.5","99.8","100.0","100.0"
"AREA 4","0.0","0.0","0.0","0.0","24.1","78.5","95.1","99.0","99.9","100.0"
"Elective 1","0.0","0.0","0.0","0.0","9.8","70.8","94.6","99.2","99.8","100.0"
"BUS 4000","79.7","85.5","85.8","85.8","86.4","95.1","98.5","99.8","100.0","100.0"
"AREA 5","0.0","0.0","0.0","0.0","2.4","60.8","91.1","98.6","99.8","100.0"
"BUS 4500","0.0","0.0","0.0","0.0","0.0","36.2","77.8","94.0","98.3","100.0"
"BUS 4750","0.0","0.0","0.0","0.0","0.1","25.7","70.4","90.1","97.2","99.1"
"CIS 4600","0.0","0.0","0.0","0.0","0.0","25.1","75.3","93.4","98.4","99.5"
"Elective 2","0.0","0.0","0.0","0.0","0.0","15.1","71.8","94.4","99.2","99.9"
"CIS 4640","0.0","0.0","0.0","0.0","0.0","4.7","58.7","90.6","98.2","99.8"
"Elective 3","0.0","0.0","0.0","0.0","0.0","1.6","48.3","88.0","97.5","99.3"
"CHEM 1100","0.0","27.6","32.6","33.5","34.4","42.8","79.4","137.4","153.7","155.5"
"CHEM 1110","0.0","0.0","0.0","0.0","0.0","0.1","21.0","72.0","93.4","98.3"
"Elective 4","0.0","0.0","0.0","0.0","0.0","0.0","8.8","65.7","92.0","98.1"
"CIS 4990","0.0","0.0","0.0","0.0","0.0","0.0","3.0","47.5","81.9","95.7"
"AREA 7","0.0","0.0","0.0","0.0","0.0","0.0","1.3","42.4","84.8","96.9"
"AREA 8","0.0","0.0","0.0","0.0","0.0","0.0","0.1","27.5","78.1","95.9"
"Elective 5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","16.1","70.2","92.7"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.4","43.9","80.3"
