"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10"
"CSELECTIVE","80.4","96.6","98.9","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"CS1110","81.9","96.7","99.3","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"MATH1220","78.1","95.5","99.3","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"IEE1020","80.7","95.6","98.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"CS1120","81.0","96.2","99.7","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"STAT2600","0.0","78.8","95.6","99.6","100.0","100.0","100.0","100.0","100.0","100.0"
"ECE2500","0.0","79.3","95.8","99.2","100.0","100.0","100.0","100.0","100.0","100.0"
"CS1110","0.0","58.6","87.9","96.9","99.6","99.9","100.0","100.0","100.0","100.0"
"CS1310","0.0","40.3","85.9","97.2","99.6","99.8","100.0","100.0","100.0","100.0"
"CS3500","0.0","54.8","89.9","98.0","99.4","99.9","99.9","100.0","100.0","100.0"
"CS4430","0.0","8.5","76.0","95.2","99.1","99.7","100.0","100.0","100.0","100.0"
"COM1040","0.0","0.0","73.5","94.0","99.0","99.8","99.9","100.0","100.0","100.0"
"GENEDUII","0.0","0.0","57.0","91.3","98.3","99.7","100.0","100.0","100.0","100.0"
"CS3310","0.0","0.0","36.1","86.9","97.5","99.2","99.7","100.0","100.0","100.0"
"CS2230","0.0","0.0","18.3","71.6","92.6","97.9","99.2","99.9","100.0","100.0"
"MATH2300","0.0","0.0","0.7","70.5","94.5","98.9","99.9","100.0","100.0","100.0"
"GEDEDUIII","0.0","0.0","7.7","62.2","91.0","98.7","99.8","99.8","100.0","100.0"
"ELECTIVE","0.0","0.0","0.0","36.3","85.0","96.7","99.1","99.8","99.9","100.0"
"CS4310","0.0","0.0","0.0","18.9","70.7","92.5","97.4","99.6","100.0","100.0"
"CS2240","0.0","0.0","0.0","7.5","70.6","93.9","98.8","99.7","100.0","100.0"
"ELECTIVE","0.0","0.0","0.0","2.0","57.0","90.6","98.5","99.7","100.0","100.0"
"GENEDUVI","0.0","0.0","0.0","0.0","39.2","84.8","97.9","99.5","99.7","99.9"
"GENEDUVIII","0.0","0.3","26.8","69.2","86.2","96.8","99.3","99.9","100.0","100.0"
"ELECTIVE","0.0","0.0","0.0","0.0","23.3","75.4","94.3","98.7","99.6","99.8"
"CS4540","0.0","0.0","0.0","0.0","4.2","50.6","84.5","95.5","98.9","99.9"
"GEDEDUV","0.0","0.0","0.0","0.0","6.2","59.1","90.6","97.2","99.7","100.0"
"ELECTIVE","0.0","0.0","0.0","0.0","0.9","43.2","86.1","97.4","99.4","100.0"
"ELECTIVE","0.0","0.0","0.0","0.0","0.0","26.7","78.1","95.7","99.0","99.8"
"CS4900","0.0","0.0","0.0","0.0","0.0","19.6","69.3","93.6","98.6","99.5"
"ELECTIVE","0.0","0.0","0.0","0.0","0.0","4.9","53.4","91.0","98.7","99.8"
"GENEDUV","0.0","0.0","0.0","0.0","0.0","8.2","47.5","86.9","96.7","99.2"
"ELECTIVE","0.0","0.0","0.0","0.0","0.0","0.3","29.4","76.6","95.2","99.4"
"ELECTIVE","0.0","0.0","0.0","0.0","0.0","0.0","17.8","68.9","93.3","99.0"
"CS4910","0.0","0.0","0.0","0.0","0.0","0.0","15.5","58.6","85.4","96.1"
"CS4980","0.0","0.0","0.0","0.0","0.0","0.0","8.7","51.8","86.0","96.6"
"ELECTIVE","0.0","0.0","0.0","0.0","0.0","0.0","4.0","43.3","85.4","97.5"
"GENEDUVIII","0.0","0.0","0.0","0.0","0.0","0.0","2.2","36.3","78.5","95.2"
"ELECTIVE","0.0","0.0","0.0","0.0","0.0","0.0","0.1","21.0","70.8","92.5"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9.1","43.9","80.4"
