"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10"
"SOC 2000","79.1","96.0","99.4","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"ENGL 1050","80.1","96.1","99.0","99.7","100.0","100.0","100.0","100.0","100.0","100.0"
"COM 1000","81.1","95.9","98.9","99.7","100.0","100.0","100.0","100.0","100.0","100.0"
"MATH 1140","81.4","95.7","99.0","99.5","99.9","100.0","100.0","100.0","100.0","100.0"
"Elective 1","79.8","96.3","99.0","99.9","99.9","100.0","100.0","100.0","100.0","100.0"
"SOC 2600","0.0","80.5","96.7","99.1","100.0","100.0","100.0","100.0","100.0","100.0"
"SPAN 1000","0.0","78.7","96.8","99.2","99.8","99.9","100.0","100.0","100.0","100.0"
"AREA 1","0.0","75.2","95.4","98.5","99.7","99.9","100.0","100.0","100.0","100.0"
"AREA 2","0.0","52.9","89.7","97.6","99.7","99.8","100.0","100.0","100.0","100.0"
"Elective 2","0.0","32.4","85.4","97.5","99.9","99.9","100.0","100.0","100.0","100.0"
"AREA 3","0.0","0.0","78.2","95.4","99.4","99.9","100.0","100.0","100.0","100.0"
"SOC 3620","0.0","0.0","70.5","94.0","98.7","99.6","99.8","100.0","100.0","100.0"
"SOC 2820","0.0","0.0","54.0","90.8","98.1","99.8","100.0","100.0","100.0","100.0"
"PHIL 3130","0.0","0.0","34.5","84.7","97.0","99.3","100.0","100.0","100.0","100.0"
"SPAN 1010","0.0","0.0","8.1","74.1","93.5","98.4","99.6","99.9","100.0","100.0"
"Elective 3","0.0","0.0","12.3","72.4","93.4","98.5","99.9","100.0","100.0","100.0"
"PHYS 1050","0.0","0.0","0.0","53.9","89.6","98.0","99.3","99.6","99.9","100.0"
"PHYS 1060","0.0","0.0","0.0","53.8","88.9","97.4","99.3","99.8","100.0","100.0"
"SOC 3630","0.0","0.0","0.0","33.8","79.1","94.8","98.6","99.6","100.0","100.0"
"AREA 4","0.0","0.0","0.0","22.2","78.1","96.3","99.2","99.9","100.0","100.0"
"Elective 4","0.0","0.0","0.0","6.9","68.2","92.8","98.7","99.6","99.9","99.9"
"SOC 3640","0.0","0.0","0.0","0.0","51.2","87.5","97.2","99.3","99.8","100.0"
"Elective 5","0.0","0.0","0.0","0.0","44.7","85.4","97.0","99.8","100.0","100.0"
"PSCI 3250","0.0","0.0","0.0","0.0","32.3","80.4","96.2","99.1","99.7","100.0"
"AREA 5","0.0","0.0","0.0","0.0","17.2","73.3","94.0","98.9","100.0","100.0"
"SOC 3650","0.0","0.0","0.0","0.0","5.8","61.8","90.7","98.2","99.5","99.7"
"SOC 2830","0.0","0.0","0.0","0.0","2.1","53.9","88.2","97.4","99.5","99.8"
"SOC 3140","0.0","0.0","0.0","0.0","0.2","41.0","82.6","96.0","99.1","99.9"
"Elective 6","0.0","0.0","0.0","0.0","0.0","28.9","78.8","94.8","99.0","99.9"
"AREA 7","0.0","0.0","0.0","0.0","0.0","15.6","70.0","93.4","98.1","99.5"
"Elective 7","0.0","0.0","0.0","0.0","0.0","7.5","60.5","91.2","98.1","99.6"
"SOC 4540","0.0","0.0","0.0","0.0","0.0","1.9","47.7","85.0","96.6","99.2"
"SOC 4660","0.0","0.0","0.0","0.0","0.0","0.4","32.5","73.5","92.3","97.9"
"Elective 8","0.0","0.0","0.0","0.0","0.0","0.0","29.5","76.4","94.1","98.7"
"AREA 8","80.2","80.7","89.4","92.0","95.1","95.5","96.6","98.9","99.9","100.0"
"SOC 4950","0.0","0.0","0.0","0.0","0.0","0.0","15.3","70.6","93.2","99.2"
"PSCI 3460","0.0","0.0","0.0","0.0","0.0","0.0","2.8","46.4","85.3","96.6"
"SOC 5600","0.0","0.0","0.0","0.0","0.0","0.0","4.9","48.3","85.5","96.7"
"Elective 9","0.0","0.0","0.0","0.0","0.0","0.0","0.2","24.0","72.9","93.0"
"Elective 10","0.0","0.0","0.0","0.0","0.0","0.0","0.0","13.9","64.0","90.6"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.4","42.7","78.7"
