"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12","TERM13","TERM14"
"CH200","78.1","94.9","99.1","99.8","99.8","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"MA136","82.0","96.1","99.6","99.9","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"EE1000","83.1","97.4","99.7","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"GS1001","77.3","94.5","99.1","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"MA137","0.0","66.2","90.2","97.1","99.1","99.7","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"CE1901","0.0","79.1","95.8","99.2","99.8","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"EE1910","0.0","69.6","94.9","98.6","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"GS1002","0.0","39.4","85.9","97.8","99.8","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"MA231","0.0","0.0","51.8","83.3","94.3","98.5","99.6","99.8","100.0","100.0","100.0","100.0","100.0","100.0"
"EE2050","0.0","0.0","67.6","93.7","98.8","99.7","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"CE1911","0.0","0.0","46.0","83.6","95.1","99.0","99.8","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"GS1003","0.0","0.0","24.5","81.4","96.0","99.2","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"PH2011","0.0","0.0","0.9","67.3","92.9","98.1","99.7","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"MA235","0.0","0.0","0.0","29.4","71.4","89.2","96.2","99.0","99.5","99.8","100.0","100.0","100.0","100.0"
"EE2060","0.0","0.0","0.0","28.7","75.8","93.1","97.8","99.7","99.9","100.0","100.0","100.0","100.0","100.0"
"EE2920","0.0","0.0","0.0","9.8","67.3","91.1","98.4","99.4","100.0","100.0","100.0","100.0","100.0","100.0"
"PH2021","0.0","0.0","0.0","0.5","45.8","81.0","94.5","98.8","99.8","100.0","100.0","100.0","100.0","100.0"
