"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6"
"CAD 154","80.1","95.7","98.5","99.5","99.9","99.9"
"CHEM 101","79.2","96.0","99.2","99.8","100.0","100.0"
"ENGL 101","77.1","94.1","98.5","99.3","100.0","100.0"
"ENGR 102","81.4","96.5","98.8","99.6","100.0","100.0"
"MATH 121","81.5","95.7","99.2","100.0","100.0","100.0"
"COMM 101","0.0","61.6","87.8","96.3","98.6","99.5"
"Core B Elec","0.0","80.2","96.3","99.6","100.0","100.0"
"ENGL 102","0.0","59.1","86.0","96.9","98.8","99.9"
"MATH 122","0.0","61.0","89.3","97.4","99.3","99.9"
"Transfer 1","0.0","49.8","90.0","97.8","99.3","99.7"
"CORE A","0.0","9.2","82.6","96.9","99.4","100.0"
"ENGR 213","0.0","0.0","70.5","93.1","98.3","99.5"
"MATH 221","0.0","0.0","41.2","78.7","93.1","98.3"
"PHYS 211","0.0","0.0","41.5","87.2","97.0","99.7"
"Transfer Elec 2","0.0","0.0","22.3","80.8","96.8","99.3"
"Core B Elec","0.0","0.0","1.7","73.9","95.4","99.1"
"ENGR 214","0.0","0.0","0.0","45.0","84.6","95.1"
"GE Transfer Elec","0.0","0.0","0.2","41.7","87.0","97.8"
"PE","80.6","95.9","99.4","99.9","100.0","100.0"
"PHYS 212","0.0","0.0","0.0","16.2","79.5","95.2"
"GRAD RATE","0.0","0.0","0.0","4.5","51.4","85.3"
