"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10"
"MAT 265","80.8","96.3","99.2","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"ASU 101","80.4","96.2","99.4","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"FSE 100","79.6","96.6","99.4","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"CHM 114","81.8","96.2","99.3","99.9","99.9","100.0","100.0","100.0","100.0","100.0"
"ENG 101","79.7","95.1","98.7","99.8","100.0","100.0","100.0","100.0","100.0","100.0"
"CSE 100","81.6","95.6","99.2","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"MAT 266","0.0","64.6","91.0","97.6","99.8","99.9","99.9","100.0","100.0","100.0"
"PHY 121","0.0","65.1","89.3","97.9","99.6","100.0","100.0","100.0","100.0","100.0"
"PHY 122","0.0","66.1","91.1","97.6","99.4","100.0","100.0","100.0","100.0","100.0"
"EEE 120","79.9","96.1","99.1","99.9","99.9","100.0","100.0","100.0","100.0","100.0"
"ENG 102","79.6","95.2","99.1","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"Humanities 1","81.1","95.6","99.2","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"MAT 267","0.0","0.0","51.5","82.8","94.4","98.9","99.8","99.9","100.0","100.0"
"MAT 275","0.0","0.0","50.3","81.6","94.7","98.6","99.5","99.9","100.0","100.0"
"PHY 132","0.0","0.0","42.2","76.1","92.0","97.0","99.2","99.9","100.0","100.0"
"PHY 131","0.0","0.0","42.0","75.4","92.2","98.4","99.8","100.0","100.0","100.0"
"EEE 202","0.0","0.0","38.7","75.0","91.7","97.3","99.2","99.9","100.0","100.0"
"MAT 342","0.0","0.0","0.0","19.9","56.1","81.5","93.5","98.0","99.6","100.0"
"EEE 203","0.0","0.0","0.0","19.1","56.0","81.7","93.7","98.1","99.8","100.0"
"EEE 241","0.0","0.0","0.0","32.5","65.8","86.4","95.4","98.8","99.4","99.8"
"Humanitites 2","79.4","95.6","99.5","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"PHY 241","0.0","0.0","0.0","32.8","67.2","88.4","95.7","99.1","99.9","100.0"
"EEE 350","0.0","0.0","0.0","0.0","14.6","48.8","74.7","89.1","96.3","99.4"
"EEE 230","0.0","53.2","85.4","95.8","99.6","99.8","100.0","100.0","100.0","100.0"
"EEE 334","0.0","0.0","0.0","29.8","65.8","87.2","95.6","98.5","99.7","100.0"
"EEE 333","0.0","0.0","0.0","30.9","66.6","86.2","95.5","98.7","99.6","99.9"
"EEE 304","0.0","0.0","42.2","76.3","92.2","98.0","99.5","99.7","99.9","100.0"
"EEE 335","0.0","0.0","0.0","0.0","23.6","57.8","81.8","92.6","96.6","98.7"
"EEE 341","0.0","0.0","0.0","0.0","15.2","48.6","75.0","90.5","96.2","99.0"
"ECN 211","80.6","95.5","99.1","99.8","99.9","100.0","100.0","100.0","100.0","100.0"
"EEE 488","0.0","0.0","0.0","0.0","0.0","7.2","31.4","60.7","81.1","91.7"
"Upper Division Tech Elective 1","78.0","96.0","99.3","99.7","100.0","100.0","100.0","100.0","100.0","100.0"
"Upper Division Tech Elective 2","80.9","96.3","99.3","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"Social Sciences","82.7","97.3","99.5","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"EEE 489","0.0","0.0","0.0","0.0","0.0","0.0","5.6","26.3","54.7","76.3"
"Upper Division Tech Elective 3","81.6","95.2","99.1","99.7","99.8","99.9","100.0","100.0","100.0","100.0"
"Upper Division Tech Elective 4","80.5","96.2","99.6","99.7","99.9","99.9","100.0","100.0","100.0","100.0"
"Upper Division Tech Elective 5","81.6","94.9","99.1","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"Humanities 3","81.4","96.4","99.5","99.8","100.0","100.0","100.0","100.0","100.0","100.0"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","5.5","25.9","54.4","76.2"
