"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12"
"BIOS1120","79.3","95.6","98.7","99.7","99.9","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"ED2500","78.9","96.2","99.3","99.9","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"MATH1180","77.9","95.3","99.2","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"PSY1000","79.1","96.1","99.0","99.7","99.8","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"ACTY2100","81.3","95.6","98.5","99.8","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"ART1480","0.0","82.1","96.3","99.8","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"BUS1750","0.0","75.5","94.8","99.2","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"COM1700","0.0","73.8","94.0","98.9","99.7","99.8","100.0","100.0","100.0","100.0","100.0","100.0"
"ED2900","0.0","47.4","90.3","97.8","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"ENGL1050","0.0","25.0","83.3","96.7","99.4","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"ENGL1100","0.0","0.0","74.0","96.7","99.1","99.8","100.0","100.0","100.0","100.0","100.0","100.0"
"HIST2110","0.0","0.0","68.7","93.4","98.3","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"MATH1500","0.0","0.0","44.9","87.8","98.1","99.7","100.0","100.0","100.0","100.0","100.0","100.0"
"PSCI2000","0.0","0.0","29.8","83.4","96.6","99.6","99.9","100.0","100.0","100.0","100.0","100.0"
"GEOG1020","0.0","0.0","8.0","73.8","95.5","99.1","99.8","100.0","100.0","100.0","100.0","100.0"
"HIST3030","0.0","0.0","0.0","63.0","93.2","99.1","99.7","99.9","100.0","100.0","100.0","100.0"
"MATH1510","0.0","0.0","0.0","31.9","76.6","94.2","99.0","99.9","99.9","100.0","100.0","100.0"
"PHYS1800","0.0","0.0","0.0","40.0","85.0","97.1","99.8","100.0","100.0","100.0","100.0","100.0"
"ED3100","0.0","0.0","0.0","15.9","75.1","95.2","98.8","99.5","99.9","99.9","100.0","100.0"
"ENGL3830","0.0","0.0","0.0","2.9","65.6","93.6","98.4","99.5","99.8","100.0","100.0","100.0"
"GEOS2900","0.0","0.0","0.0","0.0","49.4","88.0","97.3","99.6","99.9","100.0","100.0","100.0"
"MATH2650","0.0","0.0","0.0","0.0","29.9","79.1","95.3","99.5","99.9","100.0","100.0","100.0"
"LS3770","0.0","0.0","0.0","0.0","10.2","58.9","87.7","97.1","99.1","99.8","99.9","100.0"
"ANTH1200","0.0","0.0","0.0","0.0","12.0","65.4","91.0","98.2","99.7","100.0","100.0","100.0"
"MUS2400","0.0","0.0","0.0","0.0","1.1","52.2","89.7","97.6","99.2","99.5","99.8","100.0"
"SPED4270","0.0","0.0","0.0","0.0","0.0","35.2","82.9","96.0","99.2","99.7","100.0","100.0"
"MATH3520","0.0","0.0","0.0","0.0","0.0","21.2","73.5","96.0","99.3","100.0","100.0","100.0"
"EDT3470","0.0","22.1","24.7","59.6","68.8","84.9","96.0","99.2","99.9","100.0","100.0","100.0"
"ENGL3690","0.0","0.0","0.0","0.0","0.0","7.6","61.1","91.0","98.9","100.0","100.0","100.0"
"HPHE3520","0.0","0.0","1.2","10.7","18.4","43.3","78.3","95.2","98.9","99.9","100.0","100.0"
"LS3780","0.0","0.0","0.0","0.0","0.0","1.6","35.3","74.1","92.2","98.2","99.5","99.6"
"BIOS1700","0.0","0.0","0.0","0.0","0.0","1.4","37.6","82.5","96.3","99.5","100.0","100.0"
"ECON1000","0.0","0.0","0.0","0.0","0.0","0.0","21.0","71.9","93.4","98.8","99.5","100.0"
"ED3980","0.0","0.0","0.0","0.0","0.0","0.0","10.3","64.1","92.0","98.7","99.8","100.0"
"ED4070","0.0","0.0","0.0","0.0","0.0","0.0","5.1","53.9","87.3","97.2","99.3","99.8"
"HIST3290","0.0","0.0","0.0","0.0","0.0","0.0","1.9","42.2","82.7","96.0","98.8","99.7"
"ES3950","0.0","0.0","0.0","0.0","0.0","0.0","0.8","31.9","76.5","95.1","99.2","100.0"
"ED4300","0.0","0.0","0.0","0.0","0.0","0.0","0.0","14.4","55.5","84.6","95.6","98.6"
"ED4010","0.0","0.0","0.0","0.0","0.0","0.0","0.0","13.1","64.0","91.3","98.0","99.6"
"BIOS2700","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.7","51.2","86.2","97.9","99.7"
"ED3710","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.8","36.5","74.1","93.4","97.9"
"ED4100","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8.5","48.5","81.9","94.6"
"ENGL3770","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.2","31.6","76.2","94.6","98.9"
"GEOG3110","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","20.1","66.0","90.7","98.3"
"ED4500","0.0","0.0","0.5","0.8","2.8","8.4","29.3","43.1","52.8","78.0","93.8","99.5"
"ED4710","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.4","39.2","72.6"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.3","34.2","69.6"
