"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10"
"IEE1020","80.9","96.9","99.5","99.6","100.0","100.0","100.0","100.0","100.0","100.0"
"EDMM1420","77.5","95.3","99.8","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"EDMM1423","80.3","96.5","99.6","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"EDMM1500","80.5","96.7","99.6","99.8","100.0","100.0","100.0","100.0","100.0","100.0"
"MATH1220","80.7","95.4","99.2","99.7","99.9","100.0","100.0","100.0","100.0","100.0"
"CHEM1100","0.0","78.6","96.3","99.1","99.7","100.0","100.0","100.0","100.0","100.0"
"CHEM1110","0.0","78.2","95.2","98.8","99.9","100.0","100.0","100.0","100.0","100.0"
"EDMM1440","0.0","61.0","88.8","97.9","99.5","99.9","99.9","100.0","100.0","100.0"
"MATH1230","0.0","68.2","93.7","98.6","99.7","99.9","100.0","100.0","100.0","100.0"
"PHYS1130","0.0","32.1","85.1","97.7","99.8","100.0","100.0","100.0","100.0","100.0"
"PHYS1140","78.4","95.9","99.3","99.8","100.0","100.0","100.0","100.0","100.0","100.0"
"CS1021","0.0","67.6","94.1","98.9","99.6","99.9","100.0","100.0","100.0","100.0"
"CS1023","0.0","22.5","85.1","96.9","99.6","100.0","100.0","100.0","100.0","100.0"
"EDMM2460","0.0","0.0","73.4","95.5","98.9","100.0","100.0","100.0","100.0","100.0"
"EDMM2540","0.0","0.0","67.7","92.0","98.3","99.5","100.0","100.0","100.0","100.0"
"IEE2610","0.0","0.0","53.7","91.6","98.5","99.5","100.0","100.0","100.0","100.0"
"PHYS1150","0.0","0.0","27.0","83.7","96.6","99.4","99.8","99.9","100.0","100.0"
"PHYS1160","0.0","1.0","51.4","90.4","97.8","99.5","99.9","99.9","100.0","100.0"
"EDMM2001","0.0","0.0","0.0","21.4","71.9","92.2","98.2","99.4","99.8","100.0"
"EDMM2500","0.0","0.0","4.8","75.9","96.2","99.4","99.9","100.0","100.0","100.0"
"EDMM2810","0.0","0.0","0.0","61.1","90.9","98.5","99.7","100.0","100.0","100.0"
"EDMM3020","0.0","0.0","0.0","45.2","86.1","96.2","99.4","99.8","100.0","100.0"
"EDMM2560","0.0","0.0","0.0","19.2","77.9","94.6","98.9","99.7","99.9","100.0"
"ME2500","0.0","0.0","0.0","2.2","66.4","93.1","98.4","99.7","100.0","100.0"
"ELECTIVE","0.0","0.0","0.0","0.0","56.0","90.5","98.0","99.9","100.0","100.0"
"GeneEduVIII","0.0","0.0","7.0","23.0","70.1","94.3","99.2","99.9","100.0","100.0"
"EDMM2830","0.0","0.0","0.0","1.6","37.8","83.8","97.4","99.4","99.7","100.0"
"EDMM3460","0.0","0.0","0.0","0.0","16.8","74.0","94.2","98.8","99.9","100.0"
"EDMM3480","0.0","0.0","0.0","0.0","7.6","65.5","91.4","97.7","99.5","100.0"
"EDMM3540","0.0","0.0","0.0","0.0","2.1","55.5","87.0","97.0","99.1","99.9"
"EDMM3200","0.0","0.0","0.0","0.0","1.3","49.0","88.5","98.3","99.9","100.0"
"EDMM3440","0.0","0.0","0.0","0.0","0.2","31.0","82.9","95.9","99.2","99.9"
"EDMM3840","0.0","0.0","0.0","0.0","0.0","17.8","76.0","94.7","98.7","99.8"
"EDMM4460","0.0","0.0","0.0","0.0","0.2","8.2","66.0","92.3","99.0","99.8"
"ELECTIVE","0.0","0.0","0.0","0.0","0.0","4.0","54.4","89.7","97.8","99.3"
"GeneEdu","0.0","0.0","0.0","0.0","0.0","1.3","43.4","85.8","97.1","99.5"
"EDMM4480","0.0","0.0","0.0","0.0","0.0","0.0","16.3","65.9","87.9","96.1"
"EDMM4490","0.0","0.0","0.0","0.0","0.0","0.0","13.6","62.6","87.5","96.7"
"EDMM4910","0.0","0.0","0.0","0.0","15.1","32.1","45.8","79.4","95.4","98.9"
"ELECTIVE","0.0","0.0","0.0","0.0","0.0","0.1","10.7","63.7","91.2","98.7"
"GeneEduII","0.0","0.0","0.0","0.0","0.0","0.1","3.0","48.2","86.2","97.6"
"GeneEduIII","0.0","0.0","0.0","0.0","0.0","0.0","0.7","34.0","78.7","95.7"
"GeneEduIV","0.0","0.0","0.0","0.0","0.0","0.0","0.2","23.5","75.5","93.7"
"EDMM4920","0.0","0.0","0.0","0.0","0.0","0.8","1.7","13.0","60.0","88.1"
"EDMM4930","0.0","0.0","0.0","0.0","0.0","4.1","8.2","18.0","60.9","89.8"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.9","29.7","71.2"
