"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10"
"BIOS 1120","81.8","95.8","99.1","99.8","100.0","100.0","100.0","100.0","100.0","100.0"
"HPHE 1110","80.6","96.1","99.4","99.8","100.0","100.0","100.0","100.0","100.0","100.0"
"MATH 1110","81.7","97.4","99.5","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"AREA 1","82.9","96.5","99.0","99.7","100.0","100.0","100.0","100.0","100.0","100.0"
"PSY 1000","79.0","96.1","99.3","99.8","99.9","100.0","100.0","100.0","100.0","100.0"
"CHEM 1100","0.0","65.6","91.0","97.8","99.3","99.7","100.0","100.0","100.0","100.0"
"CHEM 1110","0.0","65.2","90.1","97.8","99.4","100.0","100.0","100.0","100.0","100.0"
"BIOS 2110","0.0","64.2","90.6","97.1","99.4","99.9","100.0","100.0","100.0","100.0"
"HPHE 1520","78.6","95.9","99.5","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"AREA 2","0.0","79.2","95.3","99.4","99.8","100.0","100.0","100.0","100.0","100.0"
"BIOS 2400","0.0","0.0","50.8","82.3","94.5","99.0","99.8","100.0","100.0","100.0"
"PHYS 1130","0.0","65.1","112.3","119.5","121.6","121.9","121.9","121.9","121.9","121.9"
"PHYS 1140","0.0","37.4","84.5","96.6","99.6","100.0","100.0","100.0","100.0","100.0"
"HPHE 2950","0.0","0.0","46.7","82.6","93.3","98.0","99.4","99.9","100.0","100.0"
"ENGL 1050","0.0","18.9","76.8","96.0","98.9","100.0","100.0","100.0","100.0","100.0"
"MATH 1160","0.0","8.9","61.1","91.7","98.7","100.0","100.0","100.0","100.0","100.0"
"COM 1000","0.0","0.9","32.3","85.9","96.5","99.2","99.8","100.0","100.0","100.0"
"AREA 3","0.0","0.0","11.9","79.0","95.3","98.9","99.7","99.9","99.9","100.0"
"HPHE 2980","0.0","0.0","0.0","35.5","72.2","88.5","97.1","99.0","99.8","100.0"
"HPHE 3150","0.0","0.0","3.0","63.7","91.6","97.8","99.6","99.9","100.0","100.0"
"AREA 4","0.0","0.0","0.6","43.2","87.1","97.3","99.9","99.9","100.0","100.0"
"HPHE 3500","0.0","33.5","51.8","75.4","94.5","98.6","99.9","100.0","100.0","100.0"
"HPHE 1810","0.0","0.0","19.1","42.2","85.3","97.0","99.5","100.0","100.0","100.0"
"HPHE 3960","0.0","0.0","0.0","0.0","28.7","62.1","82.1","93.9","98.1","99.4"
"SOC 2000","0.0","0.0","0.0","11.6","74.5","95.7","99.4","99.9","100.0","100.0"
"HPHE 3970","0.0","0.0","0.0","0.0","23.6","63.6","83.4","94.3","98.0","99.6"
"HPHP 4440","0.0","0.0","0.0","0.0","13.5","53.0","79.7","93.0","97.9","99.3"
"HSV 2250","0.0","0.0","0.0","2.8","47.4","87.5","97.6","99.6","99.9","100.0"
"AREA 7","0.0","0.0","0.0","0.4","31.9","79.3","95.5","99.6","99.8","99.9"
"MKTG 2500","0.0","0.0","0.0","0.0","17.3","68.7","93.3","98.6","99.9","99.9"
"GRN 1000","0.0","0.0","0.0","0.0","7.5","55.9","89.9","98.3","99.6","99.9"
"FCS 2660","0.0","0.0","0.0","0.0","2.4","40.7","84.7","96.5","99.4","100.0"
"PHIL 3340","0.0","0.0","0.0","0.0","0.0","14.4","71.1","94.5","99.1","100.0"
"HPHE 4450","0.0","0.0","0.0","0.0","0.0","5.5","38.1","69.9","87.7","95.3"
"HPHE 4910","0.0","0.0","0.0","0.0","0.0","1.6","32.9","70.1","89.7","96.4"
"HPHE 4980","0.0","0.0","0.0","0.0","0.0","1.6","27.5","76.3","94.5","99.1"
"SOC 3730","0.0","0.0","0.0","0.0","0.2","9.9","37.1","78.2","94.5","99.1"
"PSY 2500","0.0","0.0","0.0","0.0","0.0","0.0","9.9","58.5","91.3","98.4"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","1.7","27.8","68.5","90.4"
