"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10"
"COM1000","83.2","97.1","99.4","99.7","99.9","100.0","100.0","100.0","100.0","100.0"
"ENGL1050","79.9","96.2","99.1","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"GEOS1500","79.7","94.8","98.5","99.7","100.0","100.0","100.0","100.0","100.0","100.0"
"IME1020","80.5","96.1","99.2","99.8","99.9","100.0","100.0","100.0","100.0","100.0"
"PSY1000","79.6","96.6","99.8","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"COM2000","0.0","80.1","95.9","98.7","99.7","99.8","100.0","100.0","100.0","100.0"
"COM2800","0.0","66.4","89.8","97.3","99.3","99.8","100.0","100.0","100.0","100.0"
"ENGL2100","0.0","76.0","94.7","98.7","99.7","100.0","100.0","100.0","100.0","100.0"
"HIST2110","0.0","68.1","94.3","99.1","99.8","100.0","100.0","100.0","100.0","100.0"
"GEOG3900","0.0","31.4","84.2","96.9","99.4","99.8","100.0","100.0","100.0","100.0"
"REL2060","0.0","0.0","79.0","94.6","99.0","99.8","100.0","100.0","100.0","100.0"
"PHIL2200","0.0","0.0","70.9","94.9","98.4","99.8","99.8","100.0","100.0","100.0"
"COM1040","0.0","0.0","57.7","91.7","97.8","99.4","100.0","100.0","100.0","100.0"
"COM3320(Orgelect1)","0.0","0.0","29.1","83.4","96.1","98.8","99.6","100.0","100.0","100.0"
"GEOG1000","0.0","0.0","10.5","79.5","95.8","98.9","99.8","99.9","100.0","100.0"
"Math1000","0.0","0.0","0.0","65.6","92.6","98.4","99.5","99.9","99.9","100.0"
"COM2010","0.0","0.0","0.0","49.9","85.9","96.7","99.0","99.8","100.0","100.0"
"COM3050(Orgelect2)","0.0","0.0","0.0","32.8","83.3","96.1","99.2","99.9","100.0","100.0"
"SOC2000","0.0","0.0","0.0","16.8","76.5","94.9","99.2","99.7","99.9","100.0"
"SOC2100","0.0","0.0","0.0","3.9","66.1","92.5","98.4","99.8","100.0","100.0"
"COM3350","0.0","0.0","0.0","0.0","54.9","90.4","98.6","99.8","100.0","100.0"
"COM3070(orgelect3)","0.0","0.0","0.0","0.1","46.8","88.9","97.4","99.6","99.8","99.9"
"REL1000","0.0","0.0","0.0","0.0","18.7","73.3","93.9","98.9","99.7","100.0"
"SOC2600","0.0","0.0","0.0","0.0","15.8","67.9","93.4","99.1","99.8","100.0"
"SOC3140","0.0","0.0","0.0","0.0","1.1","53.3","88.2","97.9","99.6","100.0"
"A-S3990","0.0","0.0","0.0","0.0","0.0","40.6","83.4","97.0","99.5","99.9"
"COM4790","0.0","0.0","0.0","0.0","0.0","27.8","74.4","94.7","99.3","99.8"
"COM3540(Comelect1)","0.0","0.0","0.0","0.0","0.0","11.5","63.0","91.6","98.5","99.7"
"HIST3030","0.0","0.0","0.0","0.0","0.0","2.4","51.9","87.5","97.2","99.2"
"SOC3000","0.0","0.0","0.0","0.0","0.0","0.0","40.9","82.8","96.4","99.5"
"SOC3200","0.0","0.0","0.0","0.0","0.0","0.0","30.7","76.3","93.9","98.4"
"HEPE1110","0.0","0.0","0.0","0.0","0.0","0.0","22.8","73.5","94.5","98.7"
"ART1480","0.0","0.0","0.0","0.0","0.0","0.0","5.8","51.8","88.2","97.8"
"COM4800(Ogrelect3)","0.0","0.0","0.0","0.0","0.0","0.0","8.8","48.7","84.9","96.7"
"COM4830","0.0","0.0","0.0","0.0","0.0","0.0","0.0","29.9","76.0","95.5"
"GPS1500","0.0","0.0","0.0","0.0","0.0","0.0","0.0","21.4","67.2","93.1"
"A-S3990","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.1","47.8","85.2"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.1","32.2","73.5"
