"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10"
"BUS 1000","80.6","95.7","98.9","99.9","99.9","100.0","100.0","100.0","100.0","100.0"
"ENGL 1050","82.5","96.5","99.5","99.7","100.0","100.0","100.0","100.0","100.0","100.0"
"BUS 1750","81.5","97.0","99.4","99.8","100.0","100.0","100.0","100.0","100.0","100.0"
"CIS 1020","79.7","95.0","99.0","99.7","100.0","100.0","100.0","100.0","100.0","100.0"
"MATH 1160","79.8","96.1","99.1","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"COM 1000","80.8","96.5","99.3","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"AREA 1","0.0","82.2","96.9","99.0","99.6","100.0","100.0","100.0","100.0","100.0"
"ECON 2010","0.0","78.8","96.1","99.5","100.0","100.0","100.0","100.0","100.0","100.0"
"ACTY 2100","0.0","77.0","95.8","98.9","99.8","100.0","100.0","100.0","100.0","100.0"
"ACTY 2110","0.0","0.0","62.1","88.3","97.0","99.4","100.0","100.0","100.0","100.0"
"ECON 2020","0.0","72.7","94.2","99.1","99.9","100.0","100.0","100.0","100.0","100.0"
"STAT 2160","0.0","49.6","87.3","96.6","99.1","99.9","100.0","100.0","100.0","100.0"
"BUS 2200","0.0","26.9","84.8","97.2","99.3","99.9","100.0","100.0","100.0","100.0"
"AREA 2","0.0","0.0","74.8","94.4","98.6","99.7","99.9","99.9","99.9","100.0"
"CIS 2700","0.0","0.0","65.7","90.5","98.0","99.5","100.0","100.0","100.0","100.0"
"MKTG 2500","0.0","0.0","53.9","91.3","97.9","99.7","99.9","100.0","100.0","100.0"
"BCM 3700","0.0","0.0","26.2","85.1","96.8","98.9","99.7","99.9","99.9","100.0"
"AREA 3","0.0","0.0","7.8","79.0","96.3","99.3","100.0","100.0","100.0","100.0"
"Elective 1","0.0","0.0","0.0","70.1","94.7","99.3","100.0","100.0","100.0","100.0"
"MGMT 2500","0.0","0.0","0.0","58.9","92.7","98.3","100.0","100.0","100.0","100.0"
"AREA 4","0.0","0.0","0.0","41.3","87.3","97.2","99.8","100.0","100.0","100.0"
"MAJOR","0.0","0.0","0.0","21.9","82.9","97.4","99.2","99.8","100.0","100.0"
"FIN 3200","0.0","0.0","0.0","6.9","71.4","92.9","98.8","99.8","100.0","100.0"
"LAW 3800","0.0","0.0","0.0","1.4","66.5","92.6","98.5","99.7","99.9","100.0"
"AREA 5","0.0","0.0","0.0","0.0","54.6","90.1","97.6","99.6","99.9","100.0"
"BUS 3750","0.0","0.0","0.0","0.0","32.0","79.6","94.5","99.4","99.8","100.0"
"CHEM 1100","78.8","94.1","97.8","98.4","122.0","187.9","197.6","198.6","198.6","198.6"
"CHEM 1110","0.0","0.0","0.0","0.0","10.0","73.5","94.7","99.0","99.6","99.9"
"BUS 4000","0.0","0.0","0.0","0.0","9.0","73.1","93.4","98.3","99.7","99.9"
"BUS 4500","0.0","0.0","0.0","0.0","2.2","47.4","81.8","95.1","98.5","99.7"
"AREA 7","0.0","0.0","0.0","0.0","0.6","56.9","91.1","98.1","99.8","100.0"
"Elective 2","0.0","0.0","0.0","0.0","0.1","37.0","85.5","97.1","98.8","99.7"
"MAJOR1","0.0","0.0","0.0","0.0","0.0","18.4","78.1","95.9","99.1","99.9"
"ECON 3040","0.0","0.0","0.0","0.0","0.0","6.5","67.5","93.4","98.7","99.8"
"FIN 3300","0.0","0.0","0.0","0.0","0.0","3.7","59.5","89.0","97.7","99.6"
"FIN 3310","0.0","0.0","0.0","0.0","0.0","0.8","43.4","85.8","97.3","99.4"
"FIN 3350","0.0","0.0","0.0","0.0","0.0","0.3","29.5","80.0","96.7","99.5"
"AREA 8","0.0","0.0","0.0","0.0","0.0","3.1","38.5","82.0","96.9","99.7"
"FIN 3510","0.0","0.0","0.0","0.0","0.0","0.0","8.5","64.3","90.8","98.6"
"BUS 4750","0.0","0.0","0.0","0.0","0.0","0.0","4.5","56.1","88.3","96.8"
"FIN 3100","0.0","0.0","0.0","0.0","0.0","0.0","2.9","44.4","85.4","97.6"
"FIN 3450","0.0","0.0","0.0","0.0","0.0","0.0","0.2","33.0","82.4","96.2"
"FIN 5530","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.7","52.0","83.0"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.5","36.4","75.0"
