"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10"
"ENGL1050","81.7","94.6","99.0","99.8","99.9","100.0","100.0","100.0","100.0","100.0"
"MATH1100","80.6","96.5","99.1","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"PSY1000","81.1","95.6","98.8","99.6","100.0","100.0","100.0","100.0","100.0","100.0"
"SPAN2000","81.7","96.3","99.5","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"PHIL2200","77.4","95.2","99.1","99.7","99.9","100.0","100.0","100.0","100.0","100.0"
"PSY1400","0.0","79.7","95.8","99.2","99.9","99.9","99.9","100.0","100.0","100.0"
"SPAN2010","0.0","65.5","89.8","97.7","99.7","100.0","100.0","100.0","100.0","100.0"
"STAT1600","0.0","78.3","95.9","99.5","100.0","100.0","100.0","100.0","100.0","100.0"
"ART1200","0.0","66.2","92.7","98.8","99.4","99.8","100.0","100.0","100.0","100.0"
"GWS3400","0.0","31.7","85.5","96.7","99.6","100.0","100.0","100.0","100.0","100.0"
"HOL1000","0.0","0.0","76.9","95.4","99.6","100.0","100.0","100.0","100.0","100.0"
"PSY1600","0.0","0.0","71.3","94.8","98.5","99.6","99.9","99.9","100.0","100.0"
"REL1000","0.0","0.0","55.9","90.9","97.9","99.2","99.8","100.0","100.0","100.0"
"GEOG3820","0.0","0.0","41.1","87.4","97.3","99.5","100.0","100.0","100.0","100.0"
"PSY2500(Elect1)","0.0","0.0","8.1","78.5","94.8","98.8","99.8","99.9","100.0","100.0"
"PSY3000","0.0","0.0","0.0","65.2","90.5","98.4","99.5","99.8","100.0","100.0"
"SOC2000","0.0","0.0","0.0","59.0","90.3","98.1","99.5","100.0","100.0","100.0"
"SOC2600","0.0","0.0","0.0","46.0","88.7","96.8","99.3","99.8","100.0","100.0"
"ANTH1500","0.0","0.0","0.0","28.8","82.7","96.1","99.1","99.8","100.0","100.0"
"LANG3750","0.0","0.0","0.0","11.4","75.1","94.2","98.7","99.6","100.0","100.0"
"PSY3240(Elect2)","0.0","0.0","0.0","3.2","65.5","92.5","97.9","99.6","99.7","99.9"
"SOC2820","0.0","0.0","0.0","0.0","57.7","90.4","98.6","99.4","99.9","100.0"
"SOC3200","0.0","0.0","0.0","0.0","44.3","86.1","97.3","99.8","100.0","100.0"
"PHYS1020","0.0","0.0","0.0","0.0","25.7","80.9","95.6","99.5","99.9","100.0"
"HIST2110","0.0","0.0","0.0","0.0","11.5","72.5","93.1","98.6","99.8","100.0"
"PSY3260(Elect3)","0.0","0.0","0.0","0.0","3.3","65.6","91.7","98.6","99.8","100.0"
"SOC3620","0.0","0.0","0.0","0.0","0.5","52.5","87.7","98.1","99.6","99.9"
"SOC3640","0.0","0.0","0.0","0.0","0.0","38.0","84.6","96.3","99.2","99.9"
"GWS3500","0.0","0.0","0.0","0.0","0.0","24.4","78.7","95.4","99.2","100.0"
"PSY3300","0.0","0.0","0.0","0.0","0.0","11.8","67.3","92.7","98.4","99.7"
"PSY3517(Elect5)","0.0","0.0","0.0","0.0","0.0","0.8","47.8","86.8","97.2","99.8"
"SOC3650","0.0","0.0","0.0","0.0","0.0","0.1","36.1","82.5","97.1","99.4"
"SOC4120","0.0","0.0","0.0","0.0","0.0","4.4","38.1","78.6","95.0","99.3"
"SWRK2100","0.0","0.0","0.0","0.0","0.0","0.0","12.5","67.6","92.7","98.3"
"SWRK3000","0.0","0.0","0.0","0.0","0.0","0.0","5.0","54.0","87.5","97.7"
"INTL2000","0.0","0.0","0.0","0.0","0.0","0.0","1.2","37.8","82.1","96.4"
"LWIR3000","0.0","0.0","0.0","0.0","0.0","0.0","0.1","28.1","74.4","95.1"
"PHYS1050(Lab)","79.7","95.2","97.8","99.4","99.4","99.4","99.7","99.9","100.0","100.0"
"SOC4540","0.0","0.0","0.0","0.0","0.0","0.0","0.0","20.8","71.1","94.5"
"PSY3780(Elect5)","0.0","0.0","0.0","0.0","0.0","0.0","0.0","11.5","60.9","88.5"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.4","34.6","76.7"
