"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10"
"GEOG 101","81.5","97.0","99.5","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"GEOG 105L","79.1","95.9","99.3","99.9","99.9","100.0","100.0","100.0","100.0","100.0"
"ENGL 110","80.9","95.8","98.5","99.7","100.0","100.0","100.0","100.0","100.0","100.0"
"MATH Core","78.1","95.4","99.1","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"Fine Arts Core","80.5","96.7","99.8","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"Humanities Core","80.4","96.8","99.6","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"GEOG 102","0.0","80.3","95.2","98.8","99.7","100.0","100.0","100.0","100.0","100.0"
"GEOG 281","0.0","81.3","95.5","98.8","99.9","100.0","100.0","100.0","100.0","100.0"
"Minor Requirement","0.0","78.5","95.6","99.3","99.7","99.9","100.0","100.0","100.0","100.0"
"ENGL 120","0.0","61.8","88.8","96.3","99.0","99.8","99.8","99.9","100.0","100.0"
"Second Language","0.0","58.1","92.1","98.4","99.8","100.0","100.0","100.0","100.0","100.0"
"GEOG 195","0.0","27.1","86.6","98.2","99.7","99.9","100.0","100.0","100.0","100.0"
"GEOG Elective","0.0","0.0","81.0","96.4","99.5","100.0","100.0","100.0","100.0","100.0"
"Minor Requirement","0.0","0.0","75.9","95.8","99.2","100.0","100.0","100.0","100.0","100.0"
"ENGL 219","0.0","0.0","45.6","81.0","93.4","97.5","99.5","99.7","99.8","99.9"
"Physical & Natural Science Core","0.0","0.0","55.0","90.8","98.3","99.5","100.0","100.0","100.0","100.0"
"GEOG 381L","0.0","0.0","9.3","78.4","95.7","98.9","99.7","100.0","100.0","100.0"
"GEOG Elective","0.0","0.0","20.3","79.7","96.6","99.1","99.8","100.0","100.0","100.0"
"Minor Requirement","0.0","0.0","0.0","60.2","90.9","98.7","99.8","100.0","100.0","100.0"
"Social & Behavioral Science","0.0","0.0","0.0","43.6","88.5","98.1","99.8","100.0","100.0","100.0"
"Upper Division Elective","0.0","0.0","0.0","23.2","82.4","96.7","99.4","99.9","100.0","100.0"
"GEOG 481L","0.0","0.0","0.0","4.8","71.0","93.8","99.1","99.8","99.9","100.0"
"GEOG Elective","0.0","0.0","0.0","3.8","63.6","91.7","98.6","99.9","100.0","100.0"
"Minor Requirement","0.0","0.0","0.0","0.0","43.3","87.5","96.9","99.1","99.8","100.0"
"Humanities Core","0.0","0.0","0.0","0.0","24.0","78.1","96.7","99.3","99.9","100.0"
"Upper Division Elective","0.0","0.0","0.0","0.0","11.1","73.5","94.7","98.8","99.5","99.8"
"GEOG 4**","0.0","0.0","0.0","0.0","4.0","65.6","91.1","99.1","99.9","100.0"
"Minor Requirement","0.0","0.0","0.0","0.0","1.5","54.1","87.9","97.2","99.2","99.7"
"Minor Requirement","0.0","0.0","0.0","0.0","0.0","39.8","84.5","97.5","99.5","99.8"
"Upper Division Elective","0.0","0.0","0.0","0.0","0.0","25.7","79.1","96.7","99.4","99.9"
"Any Elective","0.0","0.0","0.0","0.0","0.0","12.5","68.8","93.0","99.0","99.9"
"GEOG 4**","0.0","0.0","0.0","0.0","0.0","5.1","61.5","91.8","97.6","99.7"
"GEOG 471","0.0","0.0","0.0","0.0","0.0","1.4","49.4","87.6","97.6","99.7"
"Minor Requirement","0.0","0.0","0.0","0.0","0.0","0.5","37.2","83.3","97.6","99.4"
"Upper Division Elective","0.0","0.0","0.0","0.0","0.0","0.0","21.8","76.2","94.3","98.9"
"Any Elective","0.0","0.0","0.0","0.0","0.0","0.0","12.3","69.2","93.4","98.7"
"GEOG 4**","0.0","0.0","0.0","0.0","0.0","0.0","6.3","57.5","88.7","97.9"
"Minor Requirement","0.0","0.0","0.0","0.0","0.0","0.0","1.9","47.6","86.0","97.3"
"Upper Division Elective","0.0","0.0","0.0","0.0","0.0","0.0","0.9","33.8","81.0","96.2"
"Upper Division Elective","0.0","0.0","0.0","0.0","0.0","0.0","0.1","22.3","75.9","95.7"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8.1","50.2","85.5"
