"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10"
"ANTH1100","80.4","96.2","99.2","99.8","100.0","100.0","100.0","100.0","100.0","100.0"
"ART1040","80.4","96.6","99.3","99.8","100.0","100.0","100.0","100.0","100.0","100.0"
"ART1050","81.8","95.6","98.8","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"ENGL1050","79.5","95.3","99.3","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"MATH1160","78.3","95.2","99.1","99.8","100.0","100.0","100.0","100.0","100.0","100.0"
"ART1070","0.0","78.8","96.7","99.7","100.0","100.0","100.0","100.0","100.0","100.0"
"ART1080","0.0","79.6","95.5","99.0","99.9","100.0","100.0","100.0","100.0","100.0"
"ART2210","0.0","76.5","94.7","99.1","99.8","100.0","100.0","100.0","100.0","100.0"
"PEGN1740","79.8","95.6","99.3","99.8","100.0","100.0","100.0","100.0","100.0","100.0"
"PHYS1050","0.0","76.2","95.3","99.3","99.8","100.0","100.0","100.0","100.0","100.0"
"PHYS1060","0.0","56.3","91.6","98.5","99.6","99.8","100.0","100.0","100.0","100.0"
"ART2160","0.0","25.7","84.7","97.2","99.2","99.8","100.0","100.0","100.0","100.0"
"ART2200","0.0","0.0","79.6","95.6","98.8","99.8","99.9","100.0","100.0","100.0"
"ART2210","0.0","0.0","71.5","93.7","98.1","99.7","100.0","100.0","100.0","100.0"
"COM1000","0.0","0.0","63.5","92.5","98.2","99.8","100.0","100.0","100.0","100.0"
"LANG3500","0.0","0.0","49.2","89.6","97.9","99.5","99.9","100.0","100.0","100.0"
"ART2400","0.0","0.0","19.7","74.8","94.1","98.5","99.9","99.9","100.0","100.0"
"ART2500","0.0","0.0","0.0","55.2","86.8","95.7","99.0","99.9","99.9","100.0"
"ART2510","0.0","0.0","9.1","76.1","94.8","98.7","99.8","100.0","100.0","100.0"
"ART2600","0.0","0.0","0.0","46.1","83.4","94.9","98.7","99.8","100.0","100.0"
"ART2610","0.0","0.0","0.0","0.0","43.3","79.4","92.5","97.4","99.3","99.9"
"ART3250","0.0","0.0","0.0","0.0","45.5","79.3","91.8","97.4","99.3","99.9"
"ART3470","0.0","0.0","0.0","46.6","85.1","96.6","99.1","100.0","100.0","100.0"
"ART3500","0.0","0.0","0.0","7.3","61.8","88.5","96.1","99.2","99.9","100.0"
"ART3510","0.0","0.0","0.0","35.2","78.1","94.9","99.0","99.8","100.0","100.0"
"ART3600","0.0","0.0","0.0","0.0","0.0","34.2","68.8","88.5","95.8","98.6"
"ART3610","0.0","0.0","0.0","0.0","6.3","50.5","80.3","92.7","97.4","99.2"
"ART3710","0.0","0.0","0.0","0.0","5.5","49.5","80.4","93.2","97.9","99.8"
"ART3830(Elective)","0.0","0.0","0.0","10.6","56.0","87.5","96.4","99.0","99.9","99.9"
"ART3850(Elective)","0.0","0.0","0.0","1.9","35.2","78.2","95.5","99.4","99.9","99.9"
"ART4600","0.0","0.0","0.0","0.0","0.0","4.9","39.1","71.7","88.7","95.4"
"ART4610","0.0","0.0","0.0","6.5","21.9","65.2","91.4","98.5","99.8","100.0"
"ART4920","0.0","0.0","0.0","0.0","3.3","25.2","74.9","94.6","99.1","100.0"
"ART5000(Elective)","0.0","0.0","0.0","1.4","6.6","31.6","73.7","93.9","98.4","100.0"
"ART5700","0.0","0.0","0.0","0.0","0.0","0.2","16.5","62.2","87.7","94.9"
"HNRS2900","0.0","0.0","0.0","0.0","0.6","5.4","43.1","79.6","96.0","99.2"
"ART5710","0.0","0.0","0.0","0.0","0.0","0.0","1.8","27.2","62.5","82.3"
"GEOS3120","0.0","0.0","0.0","0.0","0.1","1.0","18.6","62.4","90.5","97.8"
"HIST2100","0.0","0.0","0.0","0.0","0.0","0.4","9.1","49.8","85.4","96.4"
"HIST3020","0.0","0.0","0.0","0.0","0.0","0.2","4.2","35.2","79.8","97.0"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","0.1","6.4","39.0","73.0"
