"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11","TERM12","TERM13","TERM14"
"BIO200","79.3","96.5","99.4","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"BUS101","80.3","96.0","99.4","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"MATH111","78.8","94.7","98.9","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"PSY201","80.5","95.7","99.4","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"WRI121","82.1","95.9","98.9","99.8","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"BUS223","81.1","95.0","99.1","99.8","99.9","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"ECO201","0.0","64.7","88.4","96.8","99.7","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"MIS102","0.0","82.6","96.9","99.6","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"SPE111","0.0","79.1","96.4","99.3","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"WRI122","0.0","66.7","89.9","97.4","99.3","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"ECO202","0.0","55.4","86.8","96.7","99.3","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"SOC204","0.0","47.5","88.5","97.5","99.6","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"SPE321","0.0","0.0","64.7","89.6","97.4","99.2","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"WRI227","0.0","0.0","53.7","81.9","94.6","97.9","99.4","99.8","100.0","100.0","100.0","100.0","100.0","100.0"
"ELEC","0.0","7.3","78.3","95.8","98.8","99.9","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"ACC201","0.0","0.0","48.4","87.8","98.0","99.6","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"BUS313","0.0","0.0","0.0","44.2","75.3","92.3","97.2","99.0","99.8","100.0","100.0","100.0","100.0","100.0"
"BIO103","0.0","0.0","17.3","78.6","95.4","99.4","99.8","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"MIS113","0.0","0.0","15.7","74.1","93.9","99.2","99.9","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"BUS256","0.0","0.0","0.0","48.6","86.9","97.7","99.5","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"BUS316","0.0","0.0","0.0","28.7","81.8","96.0","99.6","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"COM205","0.0","0.0","0.0","11.5","73.7","93.7","99.0","99.8","100.0","100.0","100.0","100.0","100.0","100.0"
"MATH361","0.0","0.0","0.0","0.5","59.5","91.7","98.4","99.6","100.0","100.0","100.0","100.0","100.0","100.0"
"HUM","0.0","0.0","0.0","5.2","51.7","86.8","97.2","99.6","99.9","100.0","100.0","100.0","100.0","100.0"
"ACC203","0.0","0.0","0.0","0.0","23.8","77.2","94.8","98.8","99.7","100.0","100.0","100.0","100.0","100.0"
"BUS317","0.0","0.0","0.0","0.0","10.2","71.8","94.0","98.8","99.5","99.9","100.0","100.0","100.0","100.0"
"SOC225","0.0","0.0","0.0","0.0","3.9","56.4","90.2","97.2","99.1","99.9","100.0","100.0","100.0","100.0"
"ELEC","0.0","0.0","0.0","0.0","0.8","40.7","85.4","96.2","98.7","99.8","100.0","100.0","100.0","100.0"
"ELEC","0.0","0.0","0.0","0.0","0.0","24.3","78.7","95.5","99.2","99.9","100.0","100.0","100.0","100.0"
"ACC325","0.0","0.0","0.0","0.0","0.0","10.8","59.8","88.3","97.3","99.2","99.9","100.0","100.0","100.0"
"BUS308","0.0","0.0","0.0","0.0","0.0","9.6","62.2","91.5","98.7","99.8","99.9","100.0","100.0","100.0"
"MGT321","0.0","0.0","0.0","0.0","0.0","1.6","39.9","81.9","94.3","98.1","99.3","100.0","100.0","100.0"
"PSY336","0.0","0.0","0.0","0.0","0.0","0.4","31.9","80.9","96.2","99.0","99.9","100.0","100.0","100.0"
"BUS ELEC","0.0","0.0","0.0","0.0","0.0","0.0","16.7","72.7","95.0","99.3","99.9","99.9","100.0","100.0"
"BUS349","0.0","0.0","0.0","0.0","0.0","0.0","9.2","57.7","91.2","98.1","99.6","100.0","100.0","100.0"
"COM346","0.0","0.0","0.0","0.0","0.0","0.0","5.6","49.4","86.3","97.4","99.3","99.9","100.0","100.0"
"PHIL342","0.0","0.0","0.0","0.0","0.0","0.0","2.0","38.5","83.9","96.6","99.4","100.0","100.0","100.0"
"SOC325","0.0","0.0","0.0","0.0","0.0","0.0","0.4","27.3","73.2","94.5","98.8","99.8","100.0","100.0"
"STAT414","0.0","0.0","0.0","0.0","0.0","0.0","0.0","10.0","57.8","91.1","98.7","99.7","100.0","100.0"
"BUS356","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.4","47.1","84.6","97.3","99.5","99.8","100.0"
"BUS397","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.6","32.3","77.2","92.6","98.2","99.9","99.9"
"MGT335","0.0","0.0","0.0","0.0","0.0","0.0","0.1","6.1","33.7","76.1","95.0","98.9","99.8","100.0"
"SOC335","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.3","17.6","62.4","90.9","97.7","99.5","99.9"
"HUM","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8.4","49.5","86.2","97.6","99.7","100.0"
"BUS441","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","37.8","81.0","95.4","99.5","99.9"
"BUS457","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.1","33.5","77.7","94.4","99.2","99.7"
"BUS467","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.6","23.6","66.1","91.5","98.3","99.5"
"BUS495","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","16.8","62.8","88.9","97.2","99.3"
"ELEC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2","9.4","52.8","86.3","97.2","99.7"
"MIS345","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","4.3","41.9","80.9","95.7","98.8"
"BUS442","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.8","26.3","67.3","89.1","97.4"
"BUS496","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","13.0","51.5","81.4","94.0"
"ELEC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","1.2","24.2","68.8","92.2","98.0"
"ELEC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.3","13.7","54.7","87.8","97.8"
"ELEC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","5.5","42.3","81.5","96.2"
"BUS478","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.4","31.6","76.2","93.8"
"BUS497","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9.5","41.9","74.2"
"PSY347","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.8","22.4","66.7","90.5"
"WRI410","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.2","13.7","54.6","87.5"
"ELEC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","6.4","39.8","82.5"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.1","15.1","53.9"
