"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11"
"ACC201","78.8","96.0","99.8","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"BIO231","81.4","97.1","99.5","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"SPE111","80.5","96.8","99.5","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"WRI121","80.6","96.4","99.2","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"BIO232","0.0","64.4","90.5","98.0","99.8","100.0","100.0","100.0","100.0","100.0","100.0"
"MATH111","80.1","95.6","99.4","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"MIS102","0.0","78.9","95.1","98.6","99.5","100.0","100.0","100.0","100.0","100.0","100.0"
"WRI122","0.0","63.5","89.8","97.4","99.5","99.8","100.0","100.0","100.0","100.0","100.0"
"ELEC","0.0","79.1","95.6","98.7","99.7","100.0","100.0","100.0","100.0","100.0","100.0"
"ACC203","0.0","49.8","86.3","97.1","99.6","99.9","100.0","100.0","100.0","100.0","100.0"
"BIO233","0.0","0.0","50.1","81.8","94.9","98.5","99.7","100.0","100.0","100.0","100.0"
"BUS226","0.0","62.5","92.1","97.8","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"BUS317","0.0","0.0","72.3","93.8","98.4","99.4","99.9","99.9","100.0","100.0","100.0"
"WRI227","0.0","0.0","45.0","82.2","94.9","98.6","99.4","99.8","99.9","100.0","100.0"
"ACC325","0.0","0.0","36.0","76.3","93.0","98.8","99.5","100.0","100.0","100.0","100.0"
"BUS308","0.0","0.0","39.0","84.2","96.1","99.3","99.9","100.0","100.0","100.0","100.0"
"BUS313","0.0","0.0","0.0","35.7","72.8","90.9","96.8","98.6","99.6","99.9","100.0"
"MIS113","0.0","0.0","2.8","71.4","94.0","98.7","99.7","99.9","100.0","100.0","100.0"
"PSY201","0.0","0.0","1.4","50.0","90.3","98.2","99.3","99.8","100.0","100.0","100.0"
"BIO200","0.0","3.5","7.0","56.1","90.2","98.3","99.6","99.8","99.9","100.0","100.0"
"BUS349","0.0","0.0","0.0","22.3","74.3","94.0","97.9","99.7","99.9","100.0","100.0"
"ECO201","0.0","0.0","0.0","8.1","67.4","93.9","98.7","99.8","100.0","100.0","100.0"
"MATH243","0.0","0.0","0.0","0.4","50.5","90.0","98.4","99.9","99.9","100.0","100.0"
"PHIL342","0.0","0.0","0.0","0.0","40.3","84.4","97.6","99.6","100.0","100.0","100.0"
"BUS356","0.0","0.0","0.0","0.0","16.5","72.0","94.0","98.5","99.8","99.9","100.0"
"BUS223","0.0","0.0","0.0","0.4","7.1","61.6","92.6","98.7","99.7","99.9","100.0"
"BUS495","0.0","0.0","57.1","76.2","90.0","96.9","99.0","99.7","99.8","99.9","100.0"
"COM205","0.0","0.0","0.0","0.1","1.4","47.8","88.5","97.6","99.5","100.0","100.0"
"ECO202","0.0","0.0","0.0","0.0","0.1","33.2","83.6","97.5","99.4","99.8","100.0"
"SPE321","0.0","0.0","0.0","0.0","0.0","17.9","73.3","94.6","99.2","99.8","99.9"
"BUS441","0.0","0.0","0.0","0.0","0.0","8.8","62.0","88.6","97.2","99.1","99.8"
"BUS457","0.0","0.0","0.0","0.0","0.0","6.7","54.2","89.1","97.6","99.0","99.9"
"BUS467","0.0","0.0","0.0","0.0","0.0","1.7","44.6","85.0","97.1","99.7","99.9"
"BUS496","0.0","0.0","0.0","0.5","18.6","42.6","70.3","91.9","98.5","99.6","99.8"
"MIS345","0.0","0.0","0.0","0.0","0.0","0.0","25.0","73.9","93.1","98.6","99.7"
"BUS316","0.0","0.0","0.0","0.0","0.0","0.2","15.3","68.8","92.4","98.3","99.5"
"BUS497","0.0","0.0","0.0","0.0","0.0","0.0","2.0","43.3","81.2","94.9","98.7"
"ELEC","0.0","0.0","0.0","0.0","0.0","0.0","5.5","50.2","85.5","97.3","99.5"
"ELEC","0.0","0.0","0.0","0.0","0.0","0.0","2.7","38.4","82.7","96.3","99.2"
"HUM","0.0","0.0","0.0","0.0","0.0","0.0","0.6","27.0","76.9","94.5","98.7"
"BUS478","0.0","0.0","0.0","0.0","0.0","0.0","0.0","14.6","65.2","93.4","98.8"
"PSY347","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.9","55.1","89.4","97.9"
"WRI410","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.7","43.4","84.1","96.6"
"HUM","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.5","31.4","79.0","95.8"
"ELEC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.4","20.7","69.5","93.9"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","8.5","46.5","82.4"
