"COUSE","TERM1","TERM2","TERM3","TERM4","TERM5","TERM6","TERM7","TERM8","TERM9","TERM10","TERM11"
"ACC201","82.1","96.3","99.5","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"MIS113","80.2","96.5","99.3","99.6","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"SPE111","80.1","96.0","99.1","99.9","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"WRI121","80.5","95.8","98.9","99.5","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"BIO200","79.8","95.6","98.9","99.8","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"MATH111","0.0","78.5","95.8","99.4","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"MIS102","79.7","96.5","99.0","99.9","99.9","100.0","100.0","100.0","100.0","100.0","100.0"
"SPE321","0.0","64.7","89.9","96.8","99.1","99.9","99.9","100.0","100.0","100.0","100.0"
"WRI122","0.0","66.4","90.1","96.6","98.4","99.8","100.0","100.0","100.0","100.0","100.0"
"ACC203","0.0","63.7","90.0","97.4","99.6","100.0","100.0","100.0","100.0","100.0","100.0"
"BUS223","0.0","53.6","91.9","98.4","99.5","99.9","100.0","100.0","100.0","100.0","100.0"
"ECO201","0.0","0.0","79.3","95.9","99.1","99.6","99.8","100.0","100.0","100.0","100.0"
"WRI227","0.0","0.0","52.2","82.5","94.0","97.4","99.1","99.9","99.9","100.0","100.0"
"ACC325","0.0","0.0","39.2","76.2","93.7","98.3","99.7","99.9","100.0","100.0","100.0"
"BIO103","0.0","0.0","62.9","91.7","98.2","99.5","100.0","100.0","100.0","100.0","100.0"
"BUS313","0.0","0.0","0.0","40.9","74.4","88.8","95.4","98.5","99.8","99.9","100.0"
"MATH243","0.0","0.0","24.1","82.7","96.7","99.6","100.0","100.0","100.0","100.0","100.0"
"ECO202","0.0","0.0","3.1","69.4","94.6","99.5","100.0","100.0","100.0","100.0","100.0"
"PSY201","0.0","0.0","0.0","52.0","89.4","98.2","99.5","99.9","100.0","100.0","100.0"
"MS ELEC","0.0","0.0","0.0","25.1","81.9","95.0","99.6","100.0","100.0","100.0","100.0"
"HUM","0.0","0.0","0.0","7.3","71.6","94.3","98.7","99.8","100.0","100.0","100.0"
"BUS226","0.0","0.0","0.0","6.0","62.0","92.7","98.6","99.8","100.0","100.0","100.0"
"BUS317","0.0","0.0","0.0","0.0","47.0","87.2","97.3","99.6","100.0","100.0","100.0"
"BUS356","0.0","0.0","0.0","0.0","18.1","74.5","95.1","98.8","99.7","100.0","100.0"
"BUS495","79.8","92.0","95.8","97.9","99.6","99.8","99.9","100.0","100.0","100.0","100.0"
"ELEC","0.0","0.0","0.0","0.0","24.6","74.0","95.2","99.0","99.9","99.9","99.9"
"BUS308","0.0","0.0","0.0","0.0","3.5","57.0","91.1","98.5","99.4","99.7","99.8"
"BUS457","0.0","0.0","0.0","0.0","0.0","32.3","73.8","92.3","98.0","100.0","100.0"
"BUS496","0.0","9.7","19.3","40.5","67.3","90.8","97.6","99.4","100.0","100.0","100.0"
"MIS345","0.0","0.0","0.0","0.0","0.0","21.6","65.2","87.6","96.1","99.2","99.8"
"BUS316","0.0","0.0","0.0","0.0","1.3","28.2","77.8","94.9","99.1","100.0","100.0"
"BUS497","0.0","0.0","0.0","0.0","0.0","11.3","61.7","89.1","96.5","99.6","99.9"
"PHIL342","0.0","0.0","0.0","0.0","0.0","7.5","57.2","89.7","97.9","99.7","99.9"
"PSY347","0.0","0.0","0.0","0.0","0.0","2.9","44.1","85.9","97.5","98.9","99.9"
"BUS478","0.0","0.0","0.0","0.0","0.0","0.7","30.6","78.8","95.4","98.6","99.8"
"RDSC365","0.0","0.0","0.0","0.0","0.0","0.3","19.3","72.0","93.4","98.4","99.5"
"WRI410","0.0","0.0","0.0","0.0","0.0","0.0","10.4","60.0","90.7","98.3","99.8"
"HUM","0.0","0.0","0.0","0.0","0.0","0.2","4.9","49.8","85.8","96.9","99.3"
"GRAD RATE","0.0","0.0","0.0","0.0","0.0","0.0","1.3","25.0","65.2","90.0","97.6"
